url,home_team,away_team,datetime,home_team_manager,away_team_manager,stadium,attendance
https://fbref.com/en/matches/46d9048f/Huddersfield-Town-Burnley-July-29-2022-Championship,Huddersfield Town,Burnley,1659121200,Danny Schofield,Vincent Kompany,"The John Smith's Stadium, Huddersfield",20206
https://fbref.com/en/matches/03cea9be/Hull-City-Bristol-City-July-30-2022-Championship,Hull City,Bristol City,1659189600,Shota Arveladze,Nigel Pearson,"MKM Stadium, Hull",16667
https://fbref.com/en/matches/78f52c96/Rotherham-United-Swansea-City-July-30-2022-Championship,Rotherham United,Swansea City,1659189600,Paul Warne,Russell Martin,"AESSEAL New York Stadium, Rotherham",10454
https://fbref.com/en/matches/8cdd19be/Millwall-Stoke-City-July-30-2022-Championship,Millwall,Stoke City,1659189600,Gary Rowett,Michael O'Neill,"The Den, London",15341
https://fbref.com/en/matches/a0240431/Luton-Town-Birmingham-City-July-30-2022-Championship,Luton Town,Birmingham City,1659189600,Nathan Jones,John Eustace,"Kenilworth Road Stadium, Luton",9921
https://fbref.com/en/matches/a0b364df/Blackburn-Rovers-Queens-Park-Rangers-July-30-2022-Championship,Blackburn Rovers,Queens Park Rangers,1659189600,Jon Dahl Tomasson,Michael Beale,"Ewood Park, Blackburn",14315
https://fbref.com/en/matches/a4b6453f/Wigan-Athletic-Preston-North-End-July-30-2022-Championship,Wigan Athletic,Preston North End,1659189600,Leam Richardson ,Ryan Lowe,"The DW Stadium, Wigan",15429
https://fbref.com/en/matches/ca95a18c/Blackpool-Reading-July-30-2022-Championship,Blackpool,Reading,1659189600,Michael Appleton,Paul Ince,"Bloomfield Road, Blackpool",10831
https://fbref.com/en/matches/d116aa74/Cardiff-City-Norwich-City-July-30-2022-Championship,Cardiff City,Norwich City,1659189600,Steve Morison,Dean Smith,"Cardiff City Stadium, Cardiff",19969
https://fbref.com/en/matches/f6132023/Middlesbrough-West-Bromwich-Albion-July-30-2022-Championship,Middlesbrough,West Bromwich Albion,1659198600,Chris Wilder,Steve Bruce,"Riverside Stadium, Middlesbrough",26567
https://fbref.com/en/matches/5a68e6de/Sunderland-Coventry-City-July-31-2022-Championship,Sunderland,Coventry City,1659265200,Alex Neil,Mark Robins,"Stadium of Light, Sunderland",40851
https://fbref.com/en/matches/70a64f0a/Watford-Sheffield-United-August-1-2022-Championship,Watford,Sheffield United,1659380400,Rob Edwards,Paul Heckingbottom,"Vicarage Road Stadium, Watford",19536
https://fbref.com/en/matches/0b6ec9c5/Birmingham-City-Huddersfield-Town-August-5-2022-Championship,Birmingham City,Huddersfield Town,1659725100,John Eustace,Danny Schofield,"St Andrew's Trillion Trophy Stadium, Birmingham",17065
https://fbref.com/en/matches/f0c8e3db/Norwich-City-Wigan-Athletic-August-6-2022-Championship,Norwich City,Wigan Athletic,1659785400,Dean Smith,Leam Richardson ,"Carrow Road, Norwich",25595
https://fbref.com/en/matches/0c610922/Queens-Park-Rangers-Middlesbrough-August-6-2022-Championship,Queens Park Rangers,Middlesbrough,1659794400,Michael Beale,Chris Wilder,"Kiyan Prince Foundation Stadium, London",15796
https://fbref.com/en/matches/2c85ce1a/Preston-North-End-Hull-City-August-6-2022-Championship,Preston North End,Hull City,1659794400,Ryan Lowe,Shota Arveladze,"Deepdale Stadium, Preston",15816
https://fbref.com/en/matches/7b64b74c/Stoke-City-Blackpool-August-6-2022-Championship,Stoke City,Blackpool,1659794400,Michael O'Neill,Michael Appleton,"Bet365 Stadium, Stoke-on-Trent",23612
https://fbref.com/en/matches/813eddcd/Sheffield-United-Millwall-August-6-2022-Championship,Sheffield United,Millwall,1659794400,Paul Heckingbottom,Gary Rowett,"Bramall Lane, Sheffield",27738
https://fbref.com/en/matches/8a646f2a/Swansea-City-Blackburn-Rovers-August-6-2022-Championship,Swansea City,Blackburn Rovers,1659794400,Russell Martin,Jon Dahl Tomasson,"Swansea.com Stadium, Swansea",16632
https://fbref.com/en/matches/bf32a77b/Burnley-Luton-Town-August-6-2022-Championship,Burnley,Luton Town,1659794400,Vincent Kompany,Nathan Jones,"Turf Moor, Burnley",19628
https://fbref.com/en/matches/c7d19d79/Reading-Cardiff-City-August-6-2022-Championship,Reading,Cardiff City,1659794400,Paul Ince,Steve Morison,"Select Car Leasing Stadium, Reading",13866
https://fbref.com/en/matches/f3b3073c/Bristol-City-Sunderland-August-6-2022-Championship,Bristol City,Sunderland,1659794400,Nigel Pearson,Alex Neil,"Ashton Gate Stadium, Bristol",24543
https://fbref.com/en/matches/e852efad/West-Bromwich-Albion-Watford-August-8-2022-Championship,West Bromwich Albion,Watford,1659985200,Steve Bruce,Rob Edwards,"The Hawthorns, West Bromwich",22365
https://fbref.com/en/matches/2fb23b8f/Watford-Burnley-August-12-2022-Championship,Watford,Burnley,1660330800,Rob Edwards,Vincent Kompany,"Vicarage Road Stadium, Watford",19225
https://fbref.com/en/matches/c430983b/Cardiff-City-Birmingham-City-August-13-2022-Championship,Cardiff City,Birmingham City,1660390200,Steve Morison,John Eustace,"Cardiff City Stadium, Cardiff",18893
https://fbref.com/en/matches/04249b82/Sunderland-Queens-Park-Rangers-August-13-2022-Championship,Sunderland,Queens Park Rangers,1660399200,Alex Neil,Michael Beale,"Stadium of Light, Sunderland",37884
https://fbref.com/en/matches/0d73300d/Millwall-Coventry-City-August-13-2022-Championship,Millwall,Coventry City,1660399200,Gary Rowett,Mark Robins,"The Den, London",13880
https://fbref.com/en/matches/530d1770/Luton-Town-Preston-North-End-August-13-2022-Championship,Luton Town,Preston North End,1660399200,Nathan Jones,Ryan Lowe,"Kenilworth Road Stadium, Luton",9740
https://fbref.com/en/matches/7bf10507/Hull-City-Norwich-City-August-13-2022-Championship,Hull City,Norwich City,1660399200,Shota Arveladze,Dean Smith,"MKM Stadium, Hull",17028
https://fbref.com/en/matches/b0ba7052/Huddersfield-Town-Stoke-City-August-13-2022-Championship,Huddersfield Town,Stoke City,1660399200,Danny Schofield,Michael O'Neill,"The John Smith's Stadium, Huddersfield",18618
https://fbref.com/en/matches/ba41f245/Blackpool-Swansea-City-August-13-2022-Championship,Blackpool,Swansea City,1660399200,Michael Appleton,Russell Martin,"Bloomfield Road, Blackpool",11519
https://fbref.com/en/matches/bc89a13b/Wigan-Athletic-Bristol-City-August-13-2022-Championship,Wigan Athletic,Bristol City,1660399200,Leam Richardson ,Nigel Pearson,"The DW Stadium, Wigan",9822
https://fbref.com/en/matches/d34b5683/Rotherham-United-Reading-August-13-2022-Championship,Rotherham United,Reading,1660399200,Paul Warne,Paul Ince,"AESSEAL New York Stadium, Rotherham",9263
