home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Necaxa,Toluca,1656799200,mx MEX,25-122,90,3,3,0,33.3,1.9,4,7,57.1,25,5,20.0,33.0,3,66.7,61.0,6,1,16.7,0,10.5,48bd91d4,Luis Ángel Malagón,Necaxa,True
Guadalajara,FC Juárez,1656799200,mx MEX,32-110,90,1,0,1,100.0,0.0,5,7,71.4,13,4,23.1,27.9,11,36.4,35.5,14,2,14.3,1,11.5,9c06f135,Miguel Jiménez Ponce,Guadalajara,True
Mazatlán,Puebla,1656727500,uy URU,38-086,90,7,4,3,42.9,3.6,5,9,55.6,29,3,20.7,27.1,8,37.5,33.8,8,0,0.0,3,22.6,88f918b9,Nicolás Vikonis,Mazatlán,True
Pumas UNAM,Tijuana,1656867600,mx MEX,31-071,90,2,1,1,100.0,1.1,2,3,66.7,15,5,6.7,26.1,3,66.7,47.0,7,1,14.3,2,18.0,0124a43a,Julio José González,Pumas UNAM,True
Atlético,León,1656885600,ar ARG,38-135,90,8,2,6,75.0,2.3,2,3,66.7,9,2,11.1,24.9,8,25.0,27.1,7,0,0.0,0,4.5,868c0f75,Marcelo Barovero,Atlético,True
UANL,Cruz Azul,1656806700,mx MEX,27-080,90,4,3,1,50.0,2.6,2,10,20.0,24,2,37.5,35.7,4,25.0,34.5,4,0,0.0,0,15.0,aa41e29e,Miguel Ortega,UANL,True
América,Atlas,1656813900,mx MEX,36-354,90,1,0,1,100.0,0.1,7,17,41.2,41,3,29.3,33.7,10,50.0,48.6,12,1,8.3,3,18.1,1e9bde92,Guillermo Ochoa,América,True
Santos Laguna,Monterrey,1656893100,mx MEX,26-075,90,8,3,5,75.0,3.4,7,16,43.8,14,2,78.6,49.9,6,83.3,60.7,14,0,0.0,0,10.0,0810e384,Carlos Acevedo,Santos Laguna,True
Pachuca,Querétaro,1656986400,ar ARG,36-001,45,1,,1,,0.1,2,7,28.6,11,1,45.5,34.2,8,25.0,34.4,4,,,,13.0,40e417fa,Óscar Ustari,Pachuca,True
Pachuca,Querétaro,1656986400,mx MEX,24-156,45,0,0,0,,0.0,0,5,0.0,11,4,36.4,35.8,3,33.3,25.7,4,0,0.0,2,27.0,b931ac44,Carlos Moreno,Pachuca,True
Mazatlán,UANL,1657324800,uy URU,38-093,90,6,1,5,83.3,2.6,7,14,50.0,22,4,50.0,36.5,8,37.5,35.6,9,1,11.1,0,4.5,88f918b9,Nicolás Vikonis,Mazatlán,True
Tijuana,FC Juárez,1657332300,mx MEX,36-057,90,3,2,1,33.3,1.9,4,9,44.4,19,3,31.6,32.6,4,75.0,59.3,17,1,5.9,1,13.0,8c6ca532,Jonathan Orozco,Tijuana,True
Puebla,Santos Laguna,1657332300,py PAR,38-131,90,1,0,1,100.0,0.1,9,28,32.1,34,4,61.8,47.1,8,87.5,67.5,6,0,0.0,1,8.5,949bc248,Antony Silva,Puebla,True
Toluca,Atlas,1657472400,br BRA,31-203,90,7,2,5,71.4,2.4,7,18,38.9,30,4,33.3,34.1,11,72.7,57.5,27,2,7.4,1,10.5,fba79ac8,Tiago Volpi,Toluca,True
Querétaro,Necaxa,1657490400,uy URU,29-078,90,6,2,4,66.7,1.2,5,17,29.4,24,5,45.8,36.3,12,50.0,45.8,15,0,0.0,1,19.0,19da9ece,Washington Aguerre,Querétaro,True
León,Pumas UNAM,1657411200,mx MEX,35-006,90,7,3,4,71.4,2.5,2,8,25.0,28,6,21.4,29.3,3,66.7,44.7,10,2,20.0,1,13.2,a4a5868e,Rodolfo Cota,León,True
Guadalajara,Atlético,1657411500,mx MEX,32-117,90,1,1,0,0.0,0.8,3,5,60.0,16,5,25.0,32.1,6,16.7,29.7,8,1,12.5,0,16.0,9c06f135,Miguel Jiménez Ponce,Guadalajara,True
Monterrey,América,1657418700,mx MEX,28-297,90,3,2,1,33.3,1.4,12,23,52.2,22,2,63.6,43.9,9,100.0,68.3,22,0,0.0,0,7.7,a1dea252,Luis Cárdenas,Monterrey,True
Cruz Azul,Pachuca,1657418700,mx MEX,24-284,90,6,2,4,66.7,1.4,6,24,25.0,20,0,80.0,52.8,9,88.9,68.9,17,0,0.0,0,6.7,c882a4e6,Sebastián Jurado,Cruz Azul,True
América,Toluca,1657764000,mx MEX,37-000,90,2,0,2,100.0,0.7,2,7,28.6,14,4,35.7,29.5,5,40.0,39.4,5,0,0.0,1,11.0,1e9bde92,Guillermo Ochoa,América,True
Atlas,Cruz Azul,1658008800,co COL,33-129,90,4,2,2,50.0,0.7,7,9,77.8,31,5,29.0,28.9,6,0.0,19.2,9,3,33.3,1,7.8,004e3d0f,Camilo Vargas,Atlas,True
Puebla,León,1657929600,py PAR,38-138,90,3,1,2,66.7,0.7,3,5,60.0,17,4,29.4,30.4,3,0.0,22.0,12,0,0.0,3,20.6,949bc248,Antony Silva,Puebla,True
FC Juárez,Querétaro,1657937100,mx MEX,39-300,90,3,1,2,66.7,0.4,5,6,83.3,15,8,13.3,29.3,8,50.0,35.6,5,1,20.0,0,10.7,5c7fc905,Alfredo Talavera,FC Juárez,True
Pumas UNAM,Necaxa,1658077200,mx MEX,31-085,90,2,0,2,100.0,0.1,9,20,45.0,25,5,52.0,40.7,8,87.5,53.4,13,1,7.7,0,10.0,0124a43a,Julio José González,Pumas UNAM,True
Atlético,Monterrey,1658095200,ar ARG,38-149,90,5,1,4,100.0,1.5,2,9,22.2,11,3,18.2,30.1,14,50.0,47.4,10,0,0.0,0,,868c0f75,Marcelo Barovero,Atlético,True
Santos Laguna,Guadalajara,1658016300,mx MEX,26-088,90,6,1,5,83.3,1.7,10,19,52.6,22,7,50.0,36.0,11,72.7,53.1,6,0,0.0,0,14.3,0810e384,Carlos Acevedo,Santos Laguna,True
UANL,Tijuana,1658102400,ar ARG,36-157,90,2,0,2,100.0,0.3,2,6,33.3,26,5,19.2,31.6,4,25.0,26.0,12,0,0.0,2,22.3,d8f11068,Nahuel Guzmán,UANL,True
Pachuca,Mazatlán,1658188800,ar ARG,36-015,90,6,1,5,83.3,0.5,4,9,44.4,21,4,38.1,37.1,3,33.3,46.3,4,1,25.0,2,17.2,40e417fa,Óscar Ustari,Pachuca,True
Guadalajara,León,1658369100,mx MEX,32-128,90,4,0,4,100.0,0.9,4,16,25.0,11,2,54.5,46.3,12,83.3,62.8,14,0,0.0,0,11.0,9c06f135,Miguel Jiménez Ponce,Guadalajara,True
Querétaro,Monterrey,1658455200,uy URU,29-089,90,6,3,3,50.0,1.3,6,12,50.0,22,4,45.5,38.4,9,22.2,27.2,7,1,14.3,0,8.0,19da9ece,Washington Aguerre,Querétaro,True
Toluca,Santos Laguna,1658613600,br BRA,31-216,90,5,1,4,80.0,0.7,9,17,52.9,39,3,35.9,37.4,4,75.0,73.0,11,0,0.0,0,12.0,fba79ac8,Tiago Volpi,Toluca,True
Mazatlán,Atlético,1658534400,uy URU,38-107,90,11,1,10,90.9,2.2,1,3,33.3,13,3,23.1,28.8,8,0.0,23.3,23,0,0.0,2,14.2,88f918b9,Nicolás Vikonis,Mazatlán,True
Necaxa,FC Juárez,1658541900,mx MEX,25-142,90,4,0,4,100.0,1.1,17,26,65.4,28,3,57.1,48.2,11,90.9,69.5,21,0,0.0,0,9.7,48bd91d4,Luis Ángel Malagón,Necaxa,True
Tijuana,América,1658624700,mx MEX,36-072,90,1,0,1,100.0,0.1,8,20,40.0,31,2,54.8,39.0,3,100.0,59.0,15,0,0.0,0,15.0,8c6ca532,Jonathan Orozco,Tijuana,True
Cruz Azul,Puebla,1658621100,mx MEX,24-298,90,5,2,3,60.0,1.3,2,9,22.2,25,5,24.0,30.4,6,50.0,42.8,13,0,0.0,0,16.0,c882a4e6,Sebastián Jurado,Cruz Azul,True
UANL,Atlas,1658628300,ar ARG,36-163,90,0,0,0,,0.0,1,4,25.0,22,3,18.2,26.8,3,0.0,27.0,6,3,50.0,6,22.8,d8f11068,Nahuel Guzmán,UANL,True
Pachuca,Pumas UNAM,1658707200,ar ARG,36-021,90,3,0,3,100.0,0.5,0,6,0.0,15,3,26.7,31.9,6,33.3,40.5,11,0,0.0,0,9.5,40e417fa,Óscar Ustari,Pachuca,True
