home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Malmö,Braga,1662655500,ml MLI,27-301,90,6,2,4,83.3,2.6,13,22,59.1,27,6,59.3,44.9,9,66.7,42.2,18,2,11.1,0,10.5,a9107589,Ismael Diawara,Malmö,True
Union Berlin,Union SG,1662655500,dk DEN,30-035,90,3,1,2,66.7,0.3,0,2,0.0,26,3,3.8,20.8,4,25.0,36.0,6,1,16.7,4,17.8,a70b8345,Frederik Rønnow,Union Berlin,True
Zürich,Arsenal,1662655500,ch SUI,29-106,90,8,2,6,75.0,2.6,4,19,21.1,26,7,46.2,40.0,12,58.3,51.0,16,1,6.3,0,10.0,6115fddd,Yanick Brecher,Zürich,True
PSV Eindhoven,Bodø/Glimt,1662655500,ar ARG,29-232,90,4,1,3,75.0,1.4,1,3,33.3,14,1,21.4,24.9,6,0.0,20.2,6,0,0.0,1,33.0,8a2248b4,Walter Benítez,PSV Eindhoven,True
Ludogorets Razgrad,Roma,1662655500,nl NED,32-094,90,5,1,4,80.0,0.9,4,11,36.4,35,3,14.3,30.1,11,54.5,46.4,17,0,0.0,0,3.0,be855308,Sergio Padt,Ludogorets Razgrad,True
Fenerbahçe,Dynamo Kyiv,1662655500,tr TUR,24-147,90,3,1,2,66.7,1.0,2,5,40.0,14,3,21.4,30.8,4,50.0,54.0,7,0,0.0,0,,072e68ed,Altay Bayındır,Fenerbahçe,True
HJK Helsinki,Real Betis,1662655500,nir NIR,24-187,90,5,2,3,80.0,2.3,4,10,40.0,29,3,24.1,29.9,11,27.3,31.6,12,2,16.7,0,9.0,10161491,Conor Hazard,HJK Helsinki,True
AÉK Lárnaka,Rennes,1662655500,ba BIH,28-063,90,8,2,6,75.0,1.8,12,22,54.5,25,4,60.0,42.5,11,63.6,48.4,19,1,5.3,1,10.8,00b86f5e,Kenan Pirić,AÉK Lárnaka,True
Manchester United,Real Sociedad,1662663600,es ESP,31-305,90,3,1,2,100.0,1.2,0,5,0.0,23,3,17.4,28.8,4,25.0,31.0,7,0,0.0,0,14.0,7ba6d84e,David de Gea,Manchester United,True
Sturm Graz,Midtjylland,1662663600,at AUT,32-233,90,2,0,2,100.0,0.5,2,14,14.3,20,3,50.0,43.5,11,36.4,37.0,10,0,0.0,1,13.7,b69dfb42,Jörg Siebenhandl,Sturm Graz,True
Freiburg,Qarabağ Ağdam,1662663600,nl NED,29-087,90,6,1,5,83.3,1.4,14,25,56.0,28,5,53.6,40.0,12,83.3,61.1,6,0,0.0,2,23.5,a92ab7be,Mark Flekken,Freiburg,True
Ferencváros,Trabzonspor,1662663600,hu HUN,31-296,90,8,2,6,75.0,3.1,9,22,40.9,20,1,70.0,45.1,10,80.0,55.5,26,0,0.0,0,7.0,4030c7ae,Dénes Dibusz,Ferencváros,True
Red Star Belgrade,Monaco,1662663600,ca CAN,34-320,90,3,1,2,100.0,1.1,8,24,33.3,30,4,63.3,44.5,11,45.5,34.3,11,0,0.0,0,,5e8936be,Milan Borjan,Red Star Belgrade,True
Lazio,Feyenoord,1662663600,it ITA,28-175,90,4,2,2,75.0,2.1,3,3,100.0,28,4,7.1,26.3,8,12.5,27.0,8,0,0.0,0,12.0,277da414,Ivan Provedel,Lazio,True
Nantes,Olympiacos,1662663600,fr FRA,23-228,90,0,1,0,,0.0,2,8,25.0,17,2,35.3,36.1,3,66.7,54.3,4,0,0.0,3,19.2,4e7db402,Alban Lafont,Nantes,True
AC Omonia,Sheriff Tiraspol,1662663600,br BRA,34-191,45,2,1,1,50.0,0.7,1,1,100.0,6,2,0.0,17.3,6,16.7,21.2,3,1,33.3,,4.0,54bb5c3f,Fabiano,AC Omonia,True
AC Omonia,Sheriff Tiraspol,1662663600,ng NGA,23-315,45,2,2,0,50.0,1.6,0,2,0.0,8,2,25.0,28.3,1,0.0,24.0,7,1,14.3,0,11.0,cfd68aa7,Francis Uzoho,AC Omonia,True
Real Sociedad,AC Omonia,1663260300,es ESP,27-175,90,1,1,0,0.0,0.9,8,13,61.5,30,2,40.0,38.6,1,100.0,64.0,2,0,0.0,1,17.3,374ee424,Álex Remiro,Real Sociedad,True
Midtjylland,Lazio,1663260300,dk DEN,33-226,90,2,1,1,50.0,0.7,4,9,44.4,25,3,32.0,35.1,8,12.5,27.1,9,0,0.0,0,3.0,939bc634,Jonas Lössl,Midtjylland,True
Feyenoord,Sturm Graz,1663260300,nl NED,24-236,90,3,0,3,100.0,0.2,4,13,30.8,38,5,28.9,30.7,7,28.6,31.1,5,2,40.0,0,9.7,53d93280,Justin Bijlow,Feyenoord,True
Monaco,Ferencváros,1663260300,de GER,25-350,90,3,1,2,66.7,1.4,2,6,33.3,19,4,26.3,26.5,7,14.3,32.6,8,0,0.0,0,20.0,afb0c500,Alexander Nübel,Monaco,True
Trabzonspor,Red Star Belgrade,1663260300,tr TUR,26-163,90,2,1,1,50.0,0.8,6,13,46.2,25,5,40.0,35.5,6,50.0,46.3,14,0,0.0,1,12.0,f63a8347,Uğurcan Çakır,Trabzonspor,True
Olympiacos,Freiburg,1663260300,cz CZE,33-170,90,8,3,5,62.5,2.4,0,4,0.0,34,7,8.8,24.1,7,14.3,25.1,11,3,27.3,1,10.3,7b456af7,Tomáš Vaclík,Olympiacos,True
Sheriff Tiraspol,Manchester United,1663260300,ua UKR,29-280,90,3,2,1,66.7,1.7,7,21,33.3,20,1,85.0,55.2,8,50.0,44.3,11,0,0.0,0,13.0,60713cb3,Maksym Koval,Sheriff Tiraspol,True
Braga,Union Berlin,1663268400,br BRA,30-058,90,5,0,5,100.0,0.8,2,12,16.7,25,5,32.0,36.1,8,50.0,35.0,16,2,12.5,0,8.0,ef3909cd,Matheus,Braga,True
Qarabağ Ağdam,Nantes,1663260300,az AZE,28-095,90,4,0,4,100.0,0.7,5,14,35.7,32,5,18.8,28.8,8,100.0,69.3,17,0,0.0,2,16.3,595ccab1,Məhəmmədəliyev Şahruddin Maqomedoviç,Qarabağ Ağdam,True
Union SG,Malmö,1663268400,lu LUX,32-139,90,2,2,0,0.0,0.6,2,8,25.0,22,2,27.3,31.5,5,40.0,44.0,9,1,11.1,0,10.0,99351886,Anthony Moris,Union SG,True
