url,home_team,away_team,datetime,home_team_manager,away_team_manager,stadium,attendance
https://fbref.com/en/matches/ccb3880d/Benfica-Vitoria-Guimaraes-August-10-2018-Primeira-Liga,Benfica,Vitória Guimarães,1533929400,Rui Vitória,Luís Castro,"Estádio do Sport Lisboa e Benfica, Lisboa",55219
https://fbref.com/en/matches/cedf97d7/Vitoria-Setubal-Aves-August-11-2018-Primeira-Liga,Vitória Setúbal,Aves,1534001400,Lito Vidigal,José Mota,"Estádio do Bonfim, Setúbal",5182
https://fbref.com/en/matches/ef13f774/Tondela-Belenenses-SAD-August-11-2018-Primeira-Liga,Tondela,Belenenses SAD,1534010400,Pepa,Silas,"Estádio João Cardoso, Tondela",2010
https://fbref.com/en/matches/daaffbed/Porto-Chaves-August-11-2018-Primeira-Liga,Porto,Chaves,1534017600,Sérgio Conceição,Daniel Ramos,"Estádio Do Dragão, Porto",46509
https://fbref.com/en/matches/af740880/Maritimo-Santa-Clara-August-12-2018-Primeira-Liga,Marítimo,Santa Clara,1534086000,Cláudio Braga,João Nunes Henriques,"Estádio dos Barreiros, Funchal",5893
https://fbref.com/en/matches/b8905632/Feirense-Rio-Ave-August-12-2018-Primeira-Liga,Feirense,Rio Ave,1534086000,Nuno Manta,José Manuel Gomes,"Estádio Marcolino de Castro, Santa Maria da Feira",2646
https://fbref.com/en/matches/79c6a71c/Moreirense-Sporting-CP-August-12-2018-Primeira-Liga,Moreirense,Sporting CP,1534095000,Ivo Vieira,José Peseiro,"P.D. Comendador Joaquim de Almeida Freitas, Moreira de Cónegos",4886
https://fbref.com/en/matches/3a72d467/Braga-Nacional-August-12-2018-Primeira-Liga,Braga,Nacional,1534102200,Abel Ferreira,Costinha,"Estádio Municipal de Braga, Braga",12387
https://fbref.com/en/matches/19cb4ad4/Portimonense-Boavista-August-13-2018-Primeira-Liga,Portimonense,Boavista,1534187700,António Folha,Jorge Simão,"Estádio do Portimonense SC, Portimão",3990
https://fbref.com/en/matches/edc8a385/Aves-Tondela-August-17-2018-Primeira-Liga,Aves,Tondela,1534534200,José Mota,Pepa,"Estádio Clube Desportivo das Aves, Vila das Aves",1872
https://fbref.com/en/matches/b36965d5/Chaves-Portimonense-August-18-2018-Primeira-Liga,Chaves,Portimonense,1534606200,Daniel Ramos,António Folha,"Estádio Municipal Eng. Manuel Branco Teixeira, Chaves",5240
https://fbref.com/en/matches/5db1b77e/Boavista-Benfica-August-18-2018-Primeira-Liga,Boavista,Benfica,1534615200,Jorge Simão,Rui Vitória,"Estádio do Bessa Século XXI, Porto",15189
https://fbref.com/en/matches/fe37204b/Sporting-CP-Vitoria-Setubal-August-18-2018-Primeira-Liga,Sporting CP,Vitória Setúbal,1534622400,José Peseiro,Lito Vidigal,"Estádio José Alvalade, Lisboa",40611
