url,home_team,away_team,datetime,home_team_manager,away_team_manager,stadium,attendance
https://fbref.com/en/matches/c6005f97/Juventus-Cagliari-August-19-2017-Serie-A,Juventus,Cagliari,1503158400,Massimiliano Allegri,Massimo Rastelli,"Allianz Stadium, Torino",39226
https://fbref.com/en/matches/3a95d279/Hellas-Verona-Napoli-August-19-2017-Serie-A,Hellas Verona,Napoli,1503168300,Fabio Pecchia,Maurizio Sarri,"Stadio Marc'Antonio Bentegodi, Verona",15215
https://fbref.com/en/matches/634f9715/Atalanta-Roma-August-20-2017-Serie-A,Atalanta,Roma,1503244800,Gian Piero Gasperini,Eusebio Di Francesco,"Stadio Atleti Azzurri d'Italia, Bergamo",19108
https://fbref.com/en/matches/41ef2446/Udinese-Chievo-August-20-2017-Serie-A,Udinese,Chievo,1503254700,Luigi Delneri,Rolando Maran,"Dacia Arena, Udine",13000
https://fbref.com/en/matches/607c6fb5/Internazionale-Fiorentina-August-20-2017-Serie-A,Internazionale,Fiorentina,1503254700,Luciano Spalletti,Stefano Pioli,"Stadio Giuseppe Meazza, Milano",51752
https://fbref.com/en/matches/7697c084/Bologna-Torino-August-20-2017-Serie-A,Bologna,Torino,1503254700,Roberto Donadoni,Siniša Mihajlović,"Stadio Renato Dall'Ara, Bologna",19033
https://fbref.com/en/matches/9456e693/Sampdoria-Benevento-August-20-2017-Serie-A,Sampdoria,Benevento,1503254700,Marco Giampaolo,Marco Baroni,"Stadio Comunale Luigi Ferraris, Genova",19223
https://fbref.com/en/matches/9bd2e3b1/Crotone-Milan-August-20-2017-Serie-A,Crotone,Milan,1503254700,Davide  Nicola,Vincenzo Montella,"Stadio Ezio Scida, Crotone",13478
https://fbref.com/en/matches/c91aae8f/Lazio-SPAL-August-20-2017-Serie-A,Lazio,SPAL,1503254700,Simone Inzaghi,Leonardo Semplici,"Stadio Olimpico, Roma",25000
https://fbref.com/en/matches/eafae14e/Sassuolo-Genoa-August-20-2017-Serie-A,Sassuolo,Genoa,1503254700,Cristian Bucchi,Ivan Jurić,"Stadio Città del Tricolore, Reggio Emilia",8134
https://fbref.com/en/matches/bcf8af9e/Genoa-Juventus-August-26-2017-Serie-A,Genoa,Juventus,1503763200,Ivan Jurić,Massimiliano Allegri,"Stadio Comunale Luigi Ferraris, Genova",26296
https://fbref.com/en/matches/cc6d08ce/Benevento-Bologna-August-26-2017-Serie-A,Benevento,Bologna,1503763200,Marco Baroni,Roberto Donadoni,"Stadio Ciro Vigorito, Benevento",11054
https://fbref.com/en/matches/b8f79753/Roma-Internazionale-August-26-2017-Serie-A,Roma,Internazionale,1503773100,Eusebio Di Francesco,Luciano Spalletti,"Stadio Olimpico, Roma",49388
https://fbref.com/en/matches/35ece6cc/Torino-Sassuolo-August-27-2017-Serie-A,Torino,Sassuolo,1503849600,Siniša Mihajlović,Cristian Bucchi,"Stadio Olimpico di Torino, Torino",18289
https://fbref.com/en/matches/588d7ade/SPAL-Udinese-August-27-2017-Serie-A,SPAL,Udinese,1503859500,Leonardo Semplici,Luigi Delneri,"Stadio Paolo Mazza, Ferrara",11000
https://fbref.com/en/matches/5ad1604c/Napoli-Atalanta-August-27-2017-Serie-A,Napoli,Atalanta,1503859500,Maurizio Sarri,Gian Piero Gasperini,"Stadio San Paolo, Napoli",35102
https://fbref.com/en/matches/637558a1/Crotone-Hellas-Verona-August-27-2017-Serie-A,Crotone,Hellas Verona,1503859500,Davide  Nicola,Fabio Pecchia,"Stadio Ezio Scida, Crotone",9158
https://fbref.com/en/matches/75ebe4c6/Milan-Cagliari-August-27-2017-Serie-A,Milan,Cagliari,1503859500,Vincenzo Montella,Massimo Rastelli,"Stadio Giuseppe Meazza, Milano",49525
https://fbref.com/en/matches/c0a267bc/Fiorentina-Sampdoria-August-27-2017-Serie-A,Fiorentina,Sampdoria,1503859500,Stefano Pioli,Marco Giampaolo,"Stadio Artemio Franchi, Firenze",25611
https://fbref.com/en/matches/fe1b3ecb/Chievo-Lazio-August-27-2017-Serie-A,Chievo,Lazio,1503859500,Rolando Maran,Simone Inzaghi,"Stadio Marc'Antonio Bentegodi, Verona",10000
https://fbref.com/en/matches/1025d70b/Juventus-Chievo-September-9-2017-Serie-A,Juventus,Chievo,1504972800,Massimiliano Allegri,Rolando Maran,"Allianz Stadium, Torino",39457
https://fbref.com/en/matches/8815cfb6/Internazionale-SPAL-September-10-2017-Serie-A,Internazionale,SPAL,1505039400,Luciano Spalletti,Leonardo Semplici,"Stadio Giuseppe Meazza, Milano",57235
https://fbref.com/en/matches/42c18e6c/Udinese-Genoa-September-10-2017-Serie-A,Udinese,Genoa,1505048400,Luigi Delneri,Ivan Jurić,"Dacia Arena, Udine",2370
https://fbref.com/en/matches/434dd57a/Cagliari-Crotone-September-10-2017-Serie-A,Cagliari,Crotone,1505048400,Massimo Rastelli,Davide  Nicola,"Stadio Sant'Elia, Cagliari",14076
https://fbref.com/en/matches/5fdee516/Atalanta-Sassuolo-September-10-2017-Serie-A,Atalanta,Sassuolo,1505048400,Gian Piero Gasperini,Cristian Bucchi,"Stadio Atleti Azzurri d'Italia, Bergamo",16120
https://fbref.com/en/matches/e337b2c7/Hellas-Verona-Fiorentina-September-10-2017-Serie-A,Hellas Verona,Fiorentina,1505048400,Fabio Pecchia,Stefano Pioli,"Stadio Marc'Antonio Bentegodi, Verona",18181
https://fbref.com/en/matches/991aafeb/Lazio-Milan-September-10-2017-Serie-A,Lazio,Milan,1505052000,Simone Inzaghi,Vincenzo Montella,"Stadio Olimpico, Roma",30000
https://fbref.com/en/matches/ffc59c89/Benevento-Torino-September-10-2017-Serie-A,Benevento,Torino,1505059200,Marco Baroni,Siniša Mihajlović,"Stadio Ciro Vigorito, Benevento",11416
https://fbref.com/en/matches/80cb1759/Bologna-Napoli-September-10-2017-Serie-A,Bologna,Napoli,1505069100,Roberto Donadoni,Maurizio Sarri,"Stadio Renato Dall'Ara, Bologna",22398
https://fbref.com/en/matches/c1705a6c/Crotone-Internazionale-September-16-2017-Serie-A,Crotone,Internazionale,1505566800,Davide  Nicola,Luciano Spalletti,"Stadio Ezio Scida, Crotone",13422
https://fbref.com/en/matches/a7c7efe2/Derby-dellAppennino-Fiorentina-Bologna-September-16-2017-Serie-A,Fiorentina,Bologna,1505577600,Stefano Pioli,Roberto Donadoni,"Stadio Artemio Franchi, Firenze",23802
https://fbref.com/en/matches/04d25fa7/Roma-Hellas-Verona-September-16-2017-Serie-A,Roma,Hellas Verona,1505587500,Eusebio Di Francesco,Fabio Pecchia,"Stadio Olimpico, Roma",29045
https://fbref.com/en/matches/8b8a0f49/Sassuolo-Juventus-September-17-2017-Serie-A,Sassuolo,Juventus,1505644200,Cristian Bucchi,Massimiliano Allegri,"Stadio Città del Tricolore, Reggio Emilia",21584
https://fbref.com/en/matches/483b9018/SPAL-Cagliari-September-17-2017-Serie-A,SPAL,Cagliari,1505653200,Leonardo Semplici,Massimo Rastelli,"Stadio Paolo Mazza, Ferrara",10979
https://fbref.com/en/matches/a72bc592/Torino-Sampdoria-September-17-2017-Serie-A,Torino,Sampdoria,1505653200,Siniša Mihajlović,Marco Giampaolo,"Stadio Olimpico di Torino, Torino",19879
https://fbref.com/en/matches/c92738a9/Milan-Udinese-September-17-2017-Serie-A,Milan,Udinese,1505653200,Vincenzo Montella,Luigi Delneri,"Stadio Giuseppe Meazza, Milano",49473
https://fbref.com/en/matches/c9e2e615/Napoli-Benevento-September-17-2017-Serie-A,Napoli,Benevento,1505653200,Maurizio Sarri,Marco Baroni,"Stadio San Paolo, Napoli",49137
https://fbref.com/en/matches/9150c653/Chievo-Atalanta-September-17-2017-Serie-A,Chievo,Atalanta,1505664000,Rolando Maran,Gian Piero Gasperini,"Stadio Marc'Antonio Bentegodi, Verona",10000
https://fbref.com/en/matches/249894c0/Genoa-Lazio-September-17-2017-Serie-A,Genoa,Lazio,1505673900,Ivan Jurić,Simone Inzaghi,"Stadio Comunale Luigi Ferraris, Genova",19065
https://fbref.com/en/matches/211de580/Bologna-Internazionale-September-19-2017-Serie-A,Bologna,Internazionale,1505846700,Roberto Donadoni,Luciano Spalletti,"Stadio Renato Dall'Ara, Bologna",26067
https://fbref.com/en/matches/7774872f/Benevento-Roma-September-20-2017-Serie-A,Benevento,Roma,1505923200,Marco Baroni,Eusebio Di Francesco,"Stadio Ciro Vigorito, Benevento",14839
https://fbref.com/en/matches/32953cae/Hellas-Verona-Sampdoria-September-20-2017-Serie-A,Hellas Verona,Sampdoria,1505933100,Fabio Pecchia,Marco Giampaolo,"Stadio Marc'Antonio Bentegodi, Verona",14690
https://fbref.com/en/matches/5fd718e6/Udinese-Torino-September-20-2017-Serie-A,Udinese,Torino,1505933100,Luigi Delneri,Siniša Mihajlović,"Dacia Arena, Udine",14793
https://fbref.com/en/matches/6e58c3a7/Lazio-Napoli-September-20-2017-Serie-A,Lazio,Napoli,1505933100,Simone Inzaghi,Maurizio Sarri,"Stadio Olimpico, Roma",28000
https://fbref.com/en/matches/a5a2e924/Milan-SPAL-September-20-2017-Serie-A,Milan,SPAL,1505933100,Vincenzo Montella,Leonardo Semplici,"Stadio Giuseppe Meazza, Milano",45343
https://fbref.com/en/matches/ba1981a2/Atalanta-Crotone-September-20-2017-Serie-A,Atalanta,Crotone,1505933100,Gian Piero Gasperini,Davide  Nicola,"Stadio Atleti Azzurri d'Italia, Bergamo",16378
https://fbref.com/en/matches/df63c31b/Juventus-Fiorentina-September-20-2017-Serie-A,Juventus,Fiorentina,1505933100,Massimiliano Allegri,Stefano Pioli,"Allianz Stadium, Torino",35652
https://fbref.com/en/matches/e03443c5/Cagliari-Sassuolo-September-20-2017-Serie-A,Cagliari,Sassuolo,1505933100,Massimo Rastelli,Cristian Bucchi,"Stadio Sant'Elia, Cagliari",13898
https://fbref.com/en/matches/ff8c255e/Genoa-Chievo-September-20-2017-Serie-A,Genoa,Chievo,1505933100,Ivan Jurić,Rolando Maran,"Stadio Comunale Luigi Ferraris, Genova",18376
https://fbref.com/en/matches/9eb2cc14/Roma-Udinese-September-23-2017-Serie-A,Roma,Udinese,1506171600,Eusebio Di Francesco,Luigi Delneri,"Stadio Olimpico, Roma",32457
https://fbref.com/en/matches/4e8318b9/SPAL-Napoli-September-23-2017-Serie-A,SPAL,Napoli,1506182400,Leonardo Semplici,Maurizio Sarri,"Stadio Paolo Mazza, Ferrara",12650
https://fbref.com/en/matches/f24d21f2/Juventus-Torino-September-23-2017-Serie-A,Juventus,Torino,1506192300,Massimiliano Allegri,Siniša Mihajlović,"Allianz Stadium, Torino",40856
https://fbref.com/en/matches/b5bb505a/Sampdoria-Milan-September-24-2017-Serie-A,Sampdoria,Milan,1506249000,Marco Giampaolo,Vincenzo Montella,"Stadio Comunale Luigi Ferraris, Genova",21896
https://fbref.com/en/matches/1ab3a943/Cagliari-Chievo-September-24-2017-Serie-A,Cagliari,Chievo,1506258000,Massimo Rastelli,Rolando Maran,"Stadio Sant'Elia, Cagliari",14287
https://fbref.com/en/matches/438e40d7/Crotone-Benevento-September-24-2017-Serie-A,Crotone,Benevento,1506258000,Davide  Nicola,Marco Baroni,"Stadio Ezio Scida, Crotone",8827
https://fbref.com/en/matches/89a6b7bd/Hellas-Verona-Lazio-September-24-2017-Serie-A,Hellas Verona,Lazio,1506258000,Fabio Pecchia,Simone Inzaghi,"Stadio Marc'Antonio Bentegodi, Verona",16316
https://fbref.com/en/matches/94b341b0/Internazionale-Genoa-September-24-2017-Serie-A,Internazionale,Genoa,1506258000,Luciano Spalletti,Ivan Jurić,"Stadio Giuseppe Meazza, Milano",50037
https://fbref.com/en/matches/dad2b40f/Sassuolo-Bologna-September-24-2017-Serie-A,Sassuolo,Bologna,1506268800,Cristian Bucchi,Roberto Donadoni,"Stadio Città del Tricolore, Reggio Emilia",10805
https://fbref.com/en/matches/f8779b70/Fiorentina-Atalanta-September-24-2017-Serie-A,Fiorentina,Atalanta,1506278700,Stefano Pioli,Gian Piero Gasperini,"Stadio Artemio Franchi, Firenze",21390
