home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,player_id,player,squad,start
Heerenveen,Sparta Rotterdam,1659722400,9,se SWE,FW,21-147,90,31,0,2,20,10,3,31,3,2,66.7,1,33.3,22,137,27,1,4,0,2,2,27,10,d5326924,Amin Sarr,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,17,nl NED,FW,22-180,90,32,2,2,20,10,4,32,0,0,,0,,14,59,0,0,0,0,3,1,27,10,5b418e15,Sydney van Hooijdonk,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,7,de GER,CM,24-095,90,46,0,13,14,19,3,46,1,1,100.0,0,0.0,17,83,18,0,0,0,2,1,30,11,3015d86e,Mats Köhlert,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,33,nl NED,CM,27-177,85,82,2,14,46,23,1,82,1,0,0.0,1,100.0,32,214,103,3,4,0,1,0,60,3,1d110865,Thom Haye,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,19,se SWE,CM,24-325,5,6,0,0,4,2,0,6,0,0,,0,,1,12,9,0,0,0,0,0,4,0,0a4a1821,Simon Olsson,Heerenveen,False
Heerenveen,Sparta Rotterdam,1659722400,26,be BEL,CM,27-082,90,54,0,23,23,9,0,54,3,2,66.7,1,33.3,17,118,20,0,0,0,1,2,29,0,e43e11a0,Anas Tahiri,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,13,tn TUN,LB,25-089,77,63,2,22,21,21,0,63,4,1,25.0,2,50.0,22,158,77,3,3,0,5,0,33,2,74804a09,Rami Kaib,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,10,hr CRO,LB,27-140,13,5,0,1,3,1,0,5,0,0,,0,,2,8,0,0,0,0,2,1,3,0,e8acf576,Tibor Halilović,Heerenveen,False
Heerenveen,Sparta Rotterdam,1659722400,3,nl NED,CB,28-084,90,86,15,46,38,2,0,86,1,1,100.0,0,0.0,36,302,185,1,0,0,0,1,56,1,b4706f20,Joost van Aken,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,5,pl POL,CB,26-187,90,71,10,34,36,1,1,71,0,0,,0,,31,194,136,2,0,0,0,0,42,0,9bf068be,Paweł Bochniewicz,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,4,nl NED,CB,28-008,90,95,11,46,47,4,0,95,0,0,,0,,45,399,292,3,1,0,1,0,68,0,49312f11,Sven van Beek,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,27,nl NED,RB,21-331,90,51,4,15,24,15,0,51,2,1,50.0,1,50.0,22,198,72,1,3,0,1,0,30,4,58448fbb,Milan van Ewijk,Heerenveen,True
Heerenveen,Sparta Rotterdam,1659722400,44,nl NED,GK,28-120,90,54,50,54,0,0,0,54,0,0,,0,,24,76,28,0,0,0,0,0,42,0,2dc9d6fb,Andries Noppert,Heerenveen,True
Fortuna Sittard,Ajax,1659796200,11,nl NED,FW,30-141,90,27,1,1,16,10,3,27,0,0,,0,,11,55,36,2,2,1,3,0,19,4,326e96ff,Paul Gladon,Fortuna Sittard,True
Fortuna Sittard,Ajax,1659796200,10,nl NED,LW,30-111,90,25,3,7,12,7,0,25,4,2,50.0,2,50.0,13,121,69,1,1,1,4,1,12,2,db159803,Mats Seuntjens,Fortuna Sittard,True
Fortuna Sittard,Ajax,1659796200,77,nl NED,RW,23-030,65,24,5,11,9,8,1,24,4,2,50.0,2,50.0,14,113,74,2,3,1,3,0,9,4,2f067cf2,Tijjani Noslin,Fortuna Sittard,True
