home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,player_id,player,squad,start
Bayern Munich,Hoffenheim,1535135400,9,pl POL,FW,30-003,90,1,0,1,1,4,0,0,0,25,0,1,0,1.0,0.3,0.4,3,0,12,17,70.6,1,15,1,0,0,8d78e732,Robert Lewandowski,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,7,fr FRA,LM,35-139,82,0,0,0,0,0,0,0,0,47,0,1,1,0.0,0.0,0.1,3,1,31,39,79.5,3,27,5,4,2,f61c7c4e,Franck Ribéry,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,11,co COL,AM,27-043,8,0,0,0,0,1,1,0,0,6,0,0,0,0.3,0.3,0.1,3,0,5,5,100.0,2,7,1,0,0,715bf047,James Rodríguez,Bayern Munich,False
Bayern Munich,Hoffenheim,1535135400,6,es ESP,"DM,CM",27-135,90,0,0,0,0,2,0,0,0,83,1,3,0,0.1,0.1,0.0,2,0,62,76,81.6,9,36,0,0,0,77e84962,Thiago Alcántara,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,25,de GER,"LW,CM",28-345,90,1,1,0,0,1,1,1,0,64,2,0,1,0.3,0.3,0.7,3,1,44,53,83.0,4,21,2,2,1,3c6089ab,Thomas Müller,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,29,fr FRA,RM,22-072,44,0,0,0,0,1,1,0,0,24,0,0,0,0.5,0.5,0.0,4,1,20,23,87.0,0,20,8,2,2,042e8a49,Kingsley Coman,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,10,nl NED,"RW,RM",34-213,46,1,0,0,0,3,1,0,0,19,1,0,0,0.3,0.3,0.0,0,0,7,14,50.0,3,7,1,0,0,09586899,Arjen Robben,Bayern Munich,False
Bayern Munich,Hoffenheim,1535135400,8,es ESP,DM,29-356,66,0,0,0,0,0,0,0,0,44,4,1,1,0.0,0.0,0.0,1,0,32,35,91.4,4,15,0,0,0,7f97771d,Javi Martínez,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,18,de GER,DM,23-199,24,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,5,0,0,0,cc86b9a3,Leon Goretzka,Bayern Munich,False
Bayern Munich,Hoffenheim,1535135400,27,at AUT,LB,26-061,90,0,0,0,0,1,0,0,0,83,0,0,0,0.0,0.0,0.0,2,1,61,80,76.3,7,35,2,2,2,05439de2,David Alaba,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,17,de GER,CB,29-355,90,0,0,0,0,1,0,0,0,65,1,1,0,0.1,0.1,0.0,1,0,46,57,80.7,0,27,0,0,0,2db2fd7b,Jérôme Boateng,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,4,de GER,CB,22-355,90,0,0,0,0,0,0,0,0,78,0,0,1,0.0,0.0,0.0,0,0,71,75,94.7,3,35,0,0,0,e33c06cf,Niklas Süle,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,32,de GER,RB,23-197,90,0,1,0,0,0,0,0,0,102,2,2,0,0.0,0.0,0.5,7,2,77,93,82.8,6,43,5,1,0,49296448,Joshua Kimmich,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,1,de GER,GK,32-150,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,1,0,43,46,93.5,1,30,0,0,0,8778c910,Manuel Neuer,Bayern Munich,True
Düsseldorf,Augsburg,1535203800,28,de GER,FW,30-362,74,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,2,0,14,17,82.4,1,7,0,0,0,17611373,Rouwen Hennings,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,10,de GER,FW,24-171,16,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,2,0,6,11,54.5,0,8,0,0,0,638a4d71,Marvin Ducksch,Düsseldorf,False
Düsseldorf,Augsburg,1535203800,9,be BEL,LW,23-291,78,1,0,0,0,2,2,0,0,34,5,2,2,0.4,0.4,0.0,0,0,11,21,52.4,2,20,2,2,1,867501bf,Benito Raman,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,20,be BEL,LW,20-335,12,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,1,6,0,1,1,0c61c77c,Dodi Lukebakio,Düsseldorf,False
Düsseldorf,Augsburg,1535203800,39,de GER,RW,24-262,90,0,0,0,0,1,1,0,0,47,1,1,0,0.0,0.0,0.2,2,0,21,34,61.8,6,32,3,3,1,912e63b5,Jean Zimmer,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,22,at AUT,AM,24-363,66,0,0,0,0,2,1,0,0,39,2,1,1,0.4,0.4,0.0,1,0,16,31,51.6,2,22,2,0,0,e5649a78,Kevin Stöger,Düsseldorf,True
