home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Athletico Paranaense,Cuiabá,1638568800,br BRA,34-015,90,3,1,2,66.7,0.1,10,16,62.5,15,2,53.3,39.3,11,72.7,46.4,20,0,0.0,0,7.7,8bae322b,Walter,,True
Sport Recife,Flamengo,1638572400,br BRA,22-306,90,8,1,7,87.5,0.7,0,1,0.0,18,11,5.6,17.8,9,0.0,12.4,14,2,14.3,0,10.3,c02e5af1,Hugo Souza,,True
Chapecoense,Atlético Goianiense,1638572400,br BRA,36-304,90,0,0,0,,0.0,4,8,50.0,18,8,38.9,34.1,5,20.0,34.2,21,2,9.5,0,10.3,f1f06658,Fernando Miguel,,True
Fortaleza,Juventude,1638576000,br BRA,32-356,90,4,1,3,75.0,1.4,7,16,43.8,22,4,50.0,38.9,9,55.6,42.2,16,1,6.3,2,17.3,8789242d,Douglas Friedrich,,True
Atlético Mineiro,Bragantino,1638730800,br BRA,24-108,90,6,4,2,33.3,2.2,8,14,57.1,33,5,36.4,37.2,7,28.6,35.3,11,0,0.0,0,13.3,d24ae824,Cleiton Schwengber,,True
Bahia,Fluminense,1638730800,br BRA,25-236,90,6,2,4,83.3,1.9,3,5,60.0,15,7,20.0,26.1,5,40.0,33.2,25,1,4.0,1,16.6,453bdfb9,Marcos Felipe,,True
Corinthians,Grêmio,1638730800,br BRA,21-251,90,3,1,2,66.7,1.1,6,16,37.5,12,0,83.3,52.3,6,100.0,64.2,13,2,15.4,0,8.3,a24714b4,Gabriel Chapecó,,True
Ceará,América (MG),1638741600,br BRA,35-131,90,2,0,2,100.0,0.3,8,25,32.0,23,2,73.9,47.9,8,100.0,57.9,13,1,7.7,2,11.4,8470f026,Matheus Cavichioli,,True
Cuiabá,Fortaleza,1638831600,br BRA,37-008,90,1,1,0,100.0,1.0,5,9,55.6,21,1,42.9,34.1,6,0.0,15.8,8,0,0.0,1,25.0,069cb4f8,Marcelo Boeck,,True
Athletico Paranaense,Palmeiras,1638828000,br BRA,27-253,90,3,0,3,100.0,0.2,12,34,35.3,24,0,83.3,52.5,14,100.0,63.9,24,0,0.0,2,17.5,1944518a,Vinicius Silvestre,,True
São Paulo,Juventude,1638828000,br BRA,32-359,90,6,3,3,50.0,2.5,2,5,40.0,15,8,33.3,32.5,6,0.0,19.2,13,0,0.0,0,3.0,8789242d,Douglas Friedrich,,True
Flamengo,Santos,1638831600,br BRA,26-160,90,4,0,4,100.0,1.4,7,20,35.0,27,4,51.9,43.4,8,75.0,50.5,17,1,5.9,0,9.0,d0102ca0,João Paulo,,True
Internacional,Atlético Goianiense,1638831600,br BRA,36-307,90,6,1,5,83.3,0.9,3,15,20.0,27,8,25.9,30.1,14,57.1,42.7,35,0,0.0,0,11.7,f1f06658,Fernando Miguel,,True
Chapecoense,Sport Recife,1638835200,br BRA,25-108,90,6,0,6,100.0,1.0,1,2,50.0,22,16,9.1,24.1,7,0.0,20.6,15,9,60.0,0,6.0,c573e883,Mailson,,True
Fluminense,Chapecoense,1639096200,br BRA,20-276,90,8,3,5,62.5,2.0,5,16,31.3,20,2,45.0,39.2,13,53.8,46.5,32,2,6.3,0,5.4,83aa40cd,João Paulo,,True
Atlético Goianiense,Flamengo,1639096200,br BRA,22-312,90,3,2,1,33.3,0.7,3,6,50.0,26,7,23.1,29.6,5,0.0,3.2,17,1,5.9,0,8.8,c02e5af1,Hugo Souza,,True
Juventude,Corinthians,1639096200,br BRA,34-186,90,6,1,5,100.0,1.5,5,10,50.0,15,4,40.0,33.4,8,50.0,31.8,16,1,6.3,0,17.5,d42f6326,Cássio,,True
Grêmio,Atlético Mineiro,1639096200,br BRA,32-169,90,4,4,0,0.0,2.8,0,8,0.0,18,1,38.9,31.2,3,33.3,37.0,5,0,0.0,0,11.0,539f6761,Rafael Pires,,True
América (MG),São Paulo,1639096200,br BRA,30-355,90,4,2,2,50.0,2.6,5,18,27.8,36,1,33.3,33.6,9,66.7,53.1,13,0,0.0,2,15.7,fba79ac8,Tiago Volpi,,True
Bragantino,Internacional,1639096200,br BRA,34-356,90,4,1,3,75.0,0.6,12,23,52.2,25,2,60.0,40.9,13,61.5,39.5,17,0,0.0,0,11.0,e4835e3c,Marcelo Lomba,,True
Palmeiras,Ceará,1639096200,br BRA,33-094,90,2,1,1,50.0,1.2,1,1,100.0,13,1,0.0,24.0,8,12.5,29.1,7,0,0.0,1,18.7,4729d71a,João Ricardo Riedi,,True
Fortaleza,Bahia,1639096200,br BRA,33-250,90,6,2,4,100.0,2.2,6,18,33.3,25,4,64.0,46.5,4,50.0,40.0,18,1,5.6,1,9.0,ed05acdc,Danilo Fernandes,,True
Sport Recife,Athletico Paranaense,1639096200,br BRA,22-182,90,6,1,4,83.3,2.4,1,9,11.1,20,5,30.0,33.6,11,27.3,33.0,17,1,5.9,1,14.5,5d699228,Bento,,True
Santos,Cuiabá,1639096200,br BRA,34-021,90,4,1,3,75.0,1.0,9,16,56.3,14,3,57.1,41.6,10,80.0,49.8,19,1,5.3,0,6.3,8bae322b,Walter,,True
