home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Fluminense,Santos,1649532600,br BRA,41-191,90,1,0,1,100.0,0.1,1,2,50.0,9,4,22.2,23.3,4,0.0,12.5,6,2,33.3,0,6.0,15825726,Fábio,Fluminense,True
Atlético Goianiense,Flamengo,1649541600,br BRA,29-003,90,3,1,2,66.7,1.2,3,11,27.3,23,6,30.4,34.5,13,30.8,32.5,25,0,0.0,0,4.0,96aa89c4,Luan Polli,Atlético Goianiense,True
Coritiba,Goiás,1649599200,br BRA,32-151,90,0,0,0,,0.0,6,14,42.9,21,1,61.9,43.7,8,12.5,21.8,10,0,0.0,2,26.3,38082f12,Alex Muralha,Coritiba,True
Atlético Mineiro,Internacional,1649617200,br BRA,31-262,90,1,0,1,100.0,0.4,5,12,41.7,38,3,31.6,34.4,3,0.0,16.3,12,1,8.3,0,4.5,a59c090b,Éverson,Atlético Mineiro,True
Botafogo (RJ),Corinthians,1649617200,py PAR,34-012,90,8,3,5,62.5,2.6,3,10,30.0,26,3,34.6,32.9,5,20.0,21.4,7,0,0.0,2,26.5,9a82f79a,Gatito Fernández,Botafogo (RJ),True
Fortaleza,Cuiabá,1649624400,br BRA,28-169,90,4,1,3,75.0,0.8,1,1,100.0,8,2,0.0,19.0,3,33.3,25.3,5,0,0.0,0,,6411a48d,Max Walef,Fortaleza,True
Avaí,América (MG),1649628000,br BRA,33-119,90,1,0,1,100.0,0.0,2,6,33.3,20,6,25.0,29.6,5,20.0,21.8,7,1,14.3,5,17.1,8789242d,Douglas Friedrich,Avaí,True
São Paulo,Athletico Paranaense,1649628000,br BRA,29-040,90,0,0,0,,0.0,6,12,50.0,46,4,23.9,31.1,3,33.3,36.3,11,0,0.0,1,16.8,85ea4399,Jandrei,São Paulo,True
Palmeiras,Ceará,1649548800,br BRA,34-117,90,8,3,6,62.5,1.8,6,10,60.0,21,7,42.9,35.9,7,14.3,21.7,17,1,5.9,0,8.3,81be82e9,Wéverton,Palmeiras,True
Juventude,Bragantino,1649718000,br BRA,27-054,90,2,2,1,0.0,0.5,0,9,0.0,15,2,60.0,40.2,5,0.0,21.6,10,1,10.0,1,15.6,76d4135b,César Reis,Juventude,True
