home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Bayern Munich,Hertha BSC,1565980200,de GER,33-142,90,3,2,1,33.3,1.4,1,5,20.0,23,6,21.7,25.2,6,0.0,24.2,6,0,0.0,2,20.0,8778c910,Manuel Neuer,Bayern Munich,True
Wolfsburg,Köln,1566048600,be BEL,27-053,90,2,1,1,50.0,0.9,8,18,44.4,36,7,38.9,36.4,7,57.1,47.6,20,1,5.0,0,11.0,db401046,Koen Casteels,Wolfsburg,True
Freiburg,Mainz 05,1566048600,de GER,27-076,90,5,0,5,100.0,0.4,4,9,44.4,34,10,11.8,26.8,9,55.6,47.4,11,0,0.0,2,18.8,0d55d942,Alexander Schwolow,Freiburg,True
Dortmund,Augsburg,1566048600,ch SUI,31-333,90,1,1,0,0.0,0.8,0,0,,15,1,0.0,17.5,4,0.0,16.3,5,0,0.0,1,16.5,2e7ff968,Marwin Hitz,Dortmund,True
Bayer Leverkusen,Paderborn 07,1566048600,fi FIN,29-266,90,5,2,3,60.0,1.3,6,13,46.2,51,4,21.6,28.9,7,28.6,35.0,8,0,0.0,2,22.3,ad3389d5,Lukáš Hrádecký,Bayer Leverkusen,True
Werder Bremen,Düsseldorf,1566048600,cz CZE,27-125,90,7,3,4,57.1,2.0,3,3,100.0,12,4,16.7,28.0,8,12.5,25.9,11,0,0.0,0,10.5,0a1cb833,Jiří Pavlenka,Werder Bremen,True
Mönchengladbach,Schalke 04,1566059400,ch SUI,30-243,90,1,0,1,100.0,0.0,0,4,0.0,48,7,6.3,23.4,6,16.7,22.0,7,1,14.3,1,15.5,420c18a1,Yann Sommer,Mönchengladbach,True
Eintracht Frankfurt,Hoffenheim,1566135000,de GER,29-041,90,1,0,1,100.0,0.3,5,21,23.8,25,1,68.0,44.8,6,66.7,47.8,8,1,12.5,0,10.8,ce17b5eb,Kevin Trapp,Eintracht Frankfurt,True
Union Berlin,RB Leipzig,1566144000,pl POL,31-296,90,8,4,4,50.0,3.3,9,18,50.0,34,5,32.4,31.9,7,100.0,64.9,9,0,0.0,1,16.3,17376543,Rafał Gikiewicz,Union Berlin,True
Köln,Dortmund,1566585000,de GER,26-103,90,6,3,3,50.0,2.9,3,9,33.3,17,1,52.9,43.7,6,0.0,16.0,12,0,0.0,0,6.0,3cd9e95a,Timo Horn,Köln,True
Paderborn 07,Freiburg,1566653400,de GER,25-131,90,4,3,1,50.0,2.3,3,8,37.5,28,7,25.0,30.4,5,20.0,24.2,10,0,0.0,1,17.0,e8fd2e5b,Jannik Huth,Paderborn 07,True
Düsseldorf,Bayer Leverkusen,1566653400,us USA,24-144,90,6,3,4,50.0,1.5,11,21,52.4,22,4,50.0,38.6,12,83.3,56.7,9,0,0.0,1,10.7,42130443,Zack Steffen,Düsseldorf,True
Hoffenheim,Werder Bremen,1566653400,de GER,29-083,90,5,2,3,60.0,1.3,3,8,37.5,30,4,23.3,28.8,5,20.0,26.6,12,0,0.0,1,31.0,47064058,Oliver Baumann,Hoffenheim,True
Augsburg,Union Berlin,1566653400,cz CZE,26-363,90,2,1,1,50.0,1.1,6,24,25.0,37,5,45.9,37.5,8,87.5,58.0,16,0,0.0,1,21.5,dc366c36,Tomáš Koubek,Augsburg,True
Mainz 05,Mönchengladbach,1566653400,de GER,21-284,90,6,3,3,50.0,1.7,7,14,50.0,26,3,46.2,37.5,3,66.7,52.7,11,0,0.0,1,16.8,cbac6ec9,Florian Müller,Mainz 05,True
Schalke 04,Bayern Munich,1566664200,de GER,22-328,90,6,3,3,66.7,2.6,5,9,55.6,16,4,31.3,32.8,6,66.7,43.7,12,0,0.0,0,7.5,afb0c500,Alexander Nübel,Schalke 04,True
RB Leipzig,Eintracht Frankfurt,1566739800,hu HUN,29-111,90,5,1,4,80.0,0.8,4,16,25.0,29,6,37.9,38.2,8,62.5,45.3,8,1,12.5,1,12.7,bcb2ccd8,Péter Gulácsi,RB Leipzig,True
Hertha BSC,Wolfsburg,1566748800,no NOR,34-330,90,4,3,1,50.0,1.6,5,8,62.5,23,5,34.8,29.3,5,0.0,24.4,9,1,11.1,0,11.0,27d2618c,Rune Jarstein,Hertha BSC,True
Mönchengladbach,RB Leipzig,1567189800,ch SUI,30-256,90,6,3,3,50.0,3.7,3,4,75.0,34,2,11.8,24.9,10,0.0,19.9,14,0,0.0,3,20.9,420c18a1,Yann Sommer,Mönchengladbach,True
Wolfsburg,Paderborn 07,1567258200,be BEL,27-067,90,3,1,2,66.7,0.3,3,3,100.0,25,6,8.0,25.7,6,16.7,26.0,5,1,20.0,1,21.7,db401046,Koen Casteels,Wolfsburg,True
Schalke 04,Hertha BSC,1567258200,de GER,22-335,90,3,0,3,100.0,0.2,3,9,33.3,25,4,16.0,25.8,11,45.5,36.1,9,0,0.0,0,20.0,afb0c500,Alexander Nübel,Schalke 04,True
Bayer Leverkusen,Hoffenheim,1567258200,fi FIN,29-280,90,1,0,1,100.0,0.3,2,5,40.0,31,5,16.1,26.0,7,0.0,24.6,2,0,0.0,7,24.1,ad3389d5,Lukáš Hrádecký,Bayer Leverkusen,True
Freiburg,Köln,1567258200,de GER,27-090,90,3,2,1,33.3,1.1,5,12,41.7,16,5,31.3,31.3,12,58.3,49.2,15,0,0.0,2,18.0,0d55d942,Alexander Schwolow,Freiburg,True
