home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Watford,Middlesbrough,1599849900,eng ENG,37-161,90,4,0,4,100.0,0.6,6,23,26.1,22,4,50.0,38.8,13,92.3,56.6,20,1,5.0,3,16.0,d0b3ceb9,Ben Foster,Watford,True
Birmingham City,Brentford,1599910200,eng ENG,19-127,90,4,0,4,100.0,1.0,15,34,44.1,30,0,83.3,56.1,9,100.0,71.3,12,0,0.0,1,12.0,f7299b39,Zach Jeacock,Birmingham City,True
Wycombe Wanderers,Rotherham United,1599910200,eng ENG,28-087,90,2,1,1,50.0,0.8,8,31,25.8,28,1,92.9,53.6,5,100.0,62.4,17,2,11.8,0,5.0,af615123,Ryan Allsop,Wycombe Wanderers,True
Barnsley,Luton Town,1599919200,eng ENG,22-142,90,1,1,0,0.0,0.6,4,13,30.8,18,5,61.1,42.9,14,14.3,19.1,16,0,0.0,0,8.0,3df50652,Jack Walton,Barnsley,True
Derby County,Reading,1599919200,sct SCO,35-191,90,3,2,1,33.3,1.2,2,7,28.6,36,3,19.4,27.1,7,0.0,20.7,8,0,0.0,0,,4d93d433,David Marshall,Derby County,True
Cardiff City,Sheffield Wednesday,1599919200,eng ENG,30-191,90,4,2,2,50.0,1.9,10,22,45.5,30,7,50.0,40.6,7,100.0,60.7,12,1,8.3,1,10.0,bb91617c,Alex Smithies,Cardiff City,True
Bristol City,Coventry City,1599919200,eng ENG,27-061,90,4,1,3,75.0,0.5,4,14,28.6,33,6,27.3,34.6,6,83.3,67.0,16,0,0.0,2,20.3,68db6358,Daniel Bentley,Bristol City,True
Huddersfield Town,Norwich City,1599919200,eng ENG,32-297,90,5,1,4,80.0,1.1,12,17,70.6,25,3,28.0,31.7,14,71.4,49.3,14,0,0.0,0,15.0,d822a850,Ben Hamer,Huddersfield Town,True
Preston North End,Swansea City,1599919200,eng ENG,27-212,90,1,1,0,0.0,0.5,7,20,35.0,29,1,44.8,37.5,11,63.6,46.7,12,0,0.0,1,13.3,7b5cb32e,Connor Ripley,Preston North End,True
Queens Park Rangers,Nottingham Forest,1599919200,eng ENG,25-210,90,0,0,0,,0.0,7,15,46.7,29,8,34.5,35.3,5,100.0,71.4,14,2,14.3,0,6.5,bdf3a08e,Joe Lumley,Queens Park Rangers,True
Bournemouth,Blackburn Rovers,1599919200,ie IRL,21-117,90,2,2,0,0.0,0.4,3,19,15.8,22,4,54.5,44.7,13,53.8,43.4,11,0,0.0,0,4.0,fe558029,Mark Travers,Bournemouth,True
Millwall,Stoke City,1599919200,pl POL,33-068,90,4,0,4,100.0,0.6,9,22,40.9,19,5,57.9,42.8,11,100.0,60.2,20,1,5.0,2,15.8,4b5e809f,Bartosz Białkowski,Millwall,True
