home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,player_id,player,squad,start
Sevilla,Red Bull Salzburg,1631637900,15,ma MAR,FW,24-105,49,5,6,83.3,64,12,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,04e17fd5,Youssef En-Nesyri,Sevilla,True
Sevilla,Red Bull Salzburg,1631637900,24,ar ARG,LW,33-211,57,20,28,71.4,384,83,12,16,75.0,5,6,83.3,3,5,60.0,0,0.0,0.1,1,0,1,0,2,6e4df551,Papu Gómez,Sevilla,True
Sevilla,Red Bull Salzburg,1631637900,17,ar ARG,"RW,LW",29-194,33,8,12,66.7,176,80,2,4,50.0,4,5,80.0,2,2,100.0,0,0.1,0.1,2,0,1,0,1,abe66106,Érik Lamela,Sevilla,False
Sevilla,Red Bull Salzburg,1631637900,7,es ESP,RW,27-299,45,18,24,75.0,352,67,10,14,71.4,5,6,83.3,3,4,75.0,0,0.0,0.0,0,3,0,0,3,4e219ad2,Suso,Sevilla,True
Sevilla,Red Bull Salzburg,1631637900,5,ar ARG,"LW,RW",27-065,45,7,11,63.6,158,28,4,5,80.0,1,2,50.0,2,4,50.0,0,0.0,0.0,0,1,0,0,0,a08b974a,Lucas Ocampos,Sevilla,False
Sevilla,Red Bull Salzburg,1631637900,10,hr CRO,LM,33-188,65,30,34,88.2,563,100,14,14,100.0,9,12,75.0,5,6,83.3,0,0.0,0.0,0,4,0,0,2,89f951b5,Ivan Rakitić,Sevilla,True
Sevilla,Red Bull Salzburg,1631637900,12,es ESP,FW,24-088,25,1,8,12.5,30,0,0,1,0.0,0,5,0.0,1,1,100.0,0,0.0,0.0,1,0,0,0,0,bbf5c11b,Rafa Mir,Sevilla,False
Sevilla,Red Bull Salzburg,1631637900,25,br BRA,"CM,LM",34-051,90,31,35,88.6,575,169,12,12,100.0,15,17,88.2,3,5,60.0,0,0.0,0.0,1,0,0,0,1,41f32541,Fernando,Sevilla,True
Sevilla,Red Bull Salzburg,1631637900,8,es ESP,RM,27-070,45,26,29,89.7,465,68,12,13,92.3,11,11,100.0,2,4,50.0,0,0.0,0.1,0,0,3,0,5,2a0c8ba4,Joan Jordán,Sevilla,True
Sevilla,Red Bull Salzburg,1631637900,18,dk DEN,RM,30-011,45,5,9,55.6,136,55,0,1,0.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0,2,0,0,1,fe641c1a,Thomas Delaney,Sevilla,False
