home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Rennes,Celtic,1568912100,sn SEN,27-202,90,2,1,1,100.0,1.0,2,7,28.6,27,4,22.2,30.0,7,14.3,25.6,7,1,14.3,0,8.5,33887998,Edouard Mendy,Rennes,True
PSV Eindhoven,Sporting CP,1568912100,nl NED,28-256,90,9,2,7,88.9,1.9,10,24,41.7,26,5,65.4,42.8,10,70.0,51.3,16,0,0.0,0,12.0,cc1a0c57,Jeroen Zoet,PSV Eindhoven,True
Basel,Krasnodar,1568912100,ch SUI,25-252,90,6,0,6,100.0,1.1,4,15,26.7,32,2,34.4,34.4,16,25.0,33.3,9,1,11.1,0,9.0,c631f952,Jonas Omlin,Basel,True
FC Copenhagen,Lugano,1568912100,se SWE,29-234,90,1,0,1,100.0,0.1,8,21,38.1,29,2,58.6,40.2,12,33.3,38.5,12,0,0.0,2,21.3,a56bd2ee,Karl-Johan Johnsson,FC Copenhagen,True
Standard Liège,Vitória Guimarães,1568912100,rs SRB,22-211,90,5,0,5,100.0,1.0,8,20,40.0,25,6,40.0,39.8,16,62.5,53.1,15,1,6.7,0,5.0,9fa26bc2,Vanja Milinković-Savić,Standard Liège,True
Getafe,Trabzonspor,1568912100,ar ARG,29-176,90,0,0,0,,0.0,10,26,38.5,28,1,60.7,46.0,9,100.0,73.9,9,0,0.0,1,19.0,8d957256,Leandro Chichizola,Getafe,True
Eintracht Frankfurt,Arsenal,1568912100,de GER,29-073,90,6,3,3,50.0,2.9,4,10,40.0,25,3,28.0,29.9,9,33.3,32.0,12,0,0.0,1,16.3,ce17b5eb,Kevin Trapp,Eintracht Frankfurt,True
LASK,Rosenborg,1568912100,at AUT,23-230,90,1,0,1,100.0,0.1,14,32,43.8,25,1,92.0,56.8,10,90.0,64.5,12,0,0.0,0,13.0,6fe5c35b,Alexander Schlager,LASK,True
CFR Cluj,Lazio,1568912100,lt LTU,31-292,90,5,1,4,80.0,1.8,8,21,38.1,21,4,57.1,45.8,10,90.0,59.0,12,0,0.0,2,23.0,1858bbf7,Giedrius Arlauskis,CFR Cluj,True
APOEL,F91 Dudelange,1568912100,si SVN,29-105,90,8,4,4,50.0,3.4,1,5,20.0,16,1,25.0,37.6,6,16.7,28.5,8,0,0.0,0,,4f8ce0e1,Vid Belec,APOEL,True
Dynamo Kyiv,Malmö,1568912100,ua UKR,31-233,90,2,0,2,100.0,0.3,10,17,58.8,24,5,54.2,41.9,4,100.0,68.0,6,0,0.0,0,12.0,1e064bfb,Denys Boyko,Dynamo Kyiv,True
Wolverhampton Wanderers,Braga,1568919600,pt POR,31-216,90,2,1,1,50.0,0.9,2,6,33.3,16,4,18.8,29.1,5,60.0,46.2,8,0,0.0,0,16.0,79b0d6a0,Rui Patrício,Wolverhampton Wanderers,True
Porto,Young Boys,1568919600,ar ARG,31-187,90,3,1,2,100.0,1.1,10,26,38.5,33,2,57.6,41.5,8,87.5,58.0,11,2,18.2,3,18.4,853b7c48,Agustín Marchesín,Porto,True
