home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,player_id,player,squad,start
Bayern Munich,Hoffenheim,1535135400,9,pl POL,FW,30-003,90,17,17,0,0,0,0,0,0,0,0,0,0,12,0,1,8d78e732,Robert Lewandowski,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,7,fr FRA,LM,35-139,82,39,38,0,0,0,0,0,0,0,0,0,0,31,1,2,f61c7c4e,Franck Ribéry,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,11,co COL,AM,27-043,8,5,5,0,0,0,1,0,0,0,0,0,0,5,0,0,715bf047,James Rodríguez,Bayern Munich,False
Bayern Munich,Hoffenheim,1535135400,6,es ESP,"DM,CM",27-135,90,76,68,8,5,0,1,5,0,3,3,0,0,62,0,1,77e84962,Thiago Alcántara,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,25,de GER,"LW,CM",28-345,90,53,46,5,1,0,0,1,2,0,0,0,0,44,2,0,3c6089ab,Thomas Müller,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,29,fr FRA,RM,22-072,44,23,23,0,0,0,0,2,0,0,0,0,0,20,0,1,042e8a49,Kingsley Coman,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,10,nl NED,"RW,RM",34-213,46,14,12,2,0,0,0,1,1,1,1,0,0,7,0,1,09586899,Arjen Robben,Bayern Munich,False
Bayern Munich,Hoffenheim,1535135400,8,es ESP,DM,29-356,66,35,34,1,1,0,1,0,0,0,0,0,0,32,0,1,7f97771d,Javi Martínez,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,18,de GER,DM,23-199,24,8,7,1,1,0,0,0,0,0,0,0,0,8,0,0,cc86b9a3,Leon Goretzka,Bayern Munich,False
Bayern Munich,Hoffenheim,1535135400,27,at AUT,LB,26-061,90,80,65,15,2,0,1,4,13,0,0,0,0,61,0,0,05439de2,David Alaba,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,17,de GER,CB,29-355,90,57,53,4,4,0,1,0,0,0,0,0,0,46,0,2,2db2fd7b,Jérôme Boateng,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,4,de GER,CB,22-355,90,75,74,1,1,0,1,0,0,0,0,0,0,71,0,0,e33c06cf,Niklas Süle,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,32,de GER,RB,23-197,90,93,71,21,6,0,0,6,12,3,1,1,0,77,1,1,49296448,Joshua Kimmich,Bayern Munich,True
Bayern Munich,Hoffenheim,1535135400,1,de GER,GK,32-150,90,46,43,3,1,0,0,0,0,0,0,0,0,43,0,0,8778c910,Manuel Neuer,Bayern Munich,True
Düsseldorf,Augsburg,1535203800,28,de GER,FW,30-362,74,17,15,2,0,0,0,0,0,0,0,0,0,14,0,1,17611373,Rouwen Hennings,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,10,de GER,FW,24-171,16,11,10,1,0,0,0,2,0,1,0,1,0,6,0,1,638a4d71,Marvin Ducksch,Düsseldorf,False
Düsseldorf,Augsburg,1535203800,9,be BEL,LW,23-291,78,21,21,0,0,1,2,1,0,0,0,0,0,11,0,2,867501bf,Benito Raman,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,20,be BEL,LW,20-335,12,9,9,0,0,1,1,1,0,0,0,0,0,6,0,1,0c61c77c,Dodi Lukebakio,Düsseldorf,False
Düsseldorf,Augsburg,1535203800,39,de GER,RW,24-262,90,34,30,4,0,0,0,6,1,3,2,1,0,21,0,2,912e63b5,Jean Zimmer,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,22,at AUT,AM,24-363,66,31,28,3,0,1,1,3,0,3,3,0,0,16,0,1,e5649a78,Kevin Stöger,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,11,tr TUR,AM,24-173,24,13,12,1,0,0,0,0,0,0,0,0,0,10,0,1,8f0f2230,Kenan Karaman,Düsseldorf,False
Düsseldorf,Augsburg,1535203800,31,de GER,DM,24-122,90,39,38,1,1,0,0,0,0,0,0,0,0,30,0,1,664590fa,Marcel Sobottka,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,6,us USA,DM,28-105,90,41,40,1,1,0,1,3,0,0,0,0,0,32,0,2,ff45add5,Alfredo Morales,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,23,de GER,LB,26-333,90,75,59,16,2,0,5,2,14,0,0,0,0,60,0,2,7242b495,Niko Gießelmann,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,3,de GER,CB,25-178,90,58,56,2,2,0,0,0,0,0,0,0,0,54,0,0,34b306a1,André Hoffmann,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,5,tr TUR,CB,23-288,90,61,59,2,2,0,2,0,0,0,0,0,0,56,0,0,2200181e,Kaan Ayhan,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,25,de GER,RB,26-070,90,44,33,11,3,0,0,1,8,0,0,0,0,33,0,0,e199d5b0,Matthias Zimmermann,Düsseldorf,True
Düsseldorf,Augsburg,1535203800,1,de GER,GK,34-103,90,43,31,11,3,0,0,0,0,0,0,0,0,29,1,0,c476b0c0,Michael Rensing,Düsseldorf,True
Hertha BSC,Nürnberg,1535203800,19,ba BIH,FW,34-019,87,17,16,1,0,0,1,1,0,0,0,0,0,13,0,0,c3fd9887,Vedad Ibišević,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,15,rs SRB,"CM,FW",22-134,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8b8e759d,Marko Grujić,Hertha BSC,False
Hertha BSC,Nürnberg,1535203800,17,de GER,LW,21-160,71,21,21,0,0,0,0,2,0,0,0,0,0,15,0,1,88d4144a,Maximilian Mittelstädt,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,32,pl POL,LW,18-186,19,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,6bba916f,Dennis Jastrzembski,Hertha BSC,False
Hertha BSC,Nürnberg,1535203800,8,ci CIV,RW,33-020,87,25,25,0,0,0,0,2,0,0,0,0,0,15,0,0,2042d931,Salomon Kalou,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,24,hu HUN,RW,19-123,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,db7161ed,Palkó Dárdai,Hertha BSC,False
Hertha BSC,Nürnberg,1535203800,21,de GER,LM,26-211,90,43,29,14,3,0,1,6,8,3,0,2,1,31,0,1,f7aa75bd,Marvin Plattenhardt,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,10,sk SVK,"CM,FW",23-263,90,53,53,0,0,0,0,0,0,0,0,0,0,47,0,1,79ca3e23,Ondrej Duda,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,23,de GER,CM,19-229,90,56,55,1,1,0,0,2,0,0,0,0,0,45,0,3,ab700320,Arne Maier,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,20,at AUT,RM,22-154,90,57,39,18,3,0,1,7,10,5,4,1,0,35,0,1,016ff750,Valentino Lazaro,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,25,de GER,CB,21-018,90,50,49,1,1,0,1,0,0,0,0,0,0,41,0,0,f86cabbd,Jordan Torunarigha,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,4,nl NED,CB,23-266,90,65,63,2,2,0,0,0,0,0,0,0,0,62,0,0,3376a776,Karim Rekik,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,5,de GER,CB,23-133,90,56,56,0,0,0,0,0,0,0,0,0,0,46,0,1,aad48be9,Niklas Stark,Hertha BSC,True
Hertha BSC,Nürnberg,1535203800,22,no NOR,GK,33-330,90,38,25,13,0,0,0,0,0,0,0,0,0,24,0,0,27d2618c,Rune Jarstein,Hertha BSC,True
Werder Bremen,Hannover 96,1535203800,10,de GER,FW,30-159,51,31,25,6,3,0,3,2,2,0,0,0,0,27,0,0,f9446dcd,Max Kruse,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,11,xk KVX,"RW,FW",22-058,39,18,16,2,0,0,0,6,1,1,1,0,0,13,0,0,6c6a3300,Milot Rashica,Werder Bremen,False
Werder Bremen,Hannover 96,1535203800,7,at AUT,LW,25-305,66,30,27,3,0,0,0,6,0,3,0,3,0,19,0,0,94c18565,Florian Kainz,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,4,pe PER,LW,39-326,24,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0,54b6ee79,Claudio Pizarro,Werder Bremen,False
Werder Bremen,Hannover 96,1535203800,8,jp JPN,"RW,FW",28-099,90,42,42,0,0,1,0,2,0,0,0,0,0,28,0,1,f69fba57,Yuya Osako,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,30,nl NED,LM,25-185,90,44,44,0,0,0,0,0,0,0,0,0,0,37,0,0,15fd5593,Davy Klaassen,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,44,de GER,CM,29-175,81,64,64,0,0,0,0,0,0,0,0,0,0,54,0,0,3f7cd8f1,Philipp Bargfrede,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,24,de GER,CM,20-109,9,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,d571df78,Johannes Eggestein,Werder Bremen,False
Werder Bremen,Hannover 96,1535203800,35,de GER,RM,21-260,90,42,40,2,1,0,0,4,1,0,0,0,0,33,0,0,beb882a8,Maximilian Eggestein,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,5,se SWE,LB,24-126,90,65,49,16,2,0,1,2,14,0,0,0,0,55,0,5,9fec8860,Ludwig Augustinsson,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,18,fi FIN,CB,32-330,90,89,89,0,0,0,1,0,0,0,0,0,0,81,0,2,00844823,Niklas Moisander,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,13,rs SRB,CB,22-333,90,68,67,1,1,0,3,0,0,0,0,0,0,57,0,0,a5ae8f8e,Miloš Veljković,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,23,cz CZE,RB,31-244,90,68,54,14,1,0,0,2,13,0,0,0,0,54,0,1,3f65898c,Theodor Gebre Selassie,Werder Bremen,True
Werder Bremen,Hannover 96,1535203800,1,cz CZE,GK,26-133,90,21,15,6,0,0,0,0,0,0,0,0,0,16,0,0,0a1cb833,Jiří Pavlenka,Werder Bremen,True
Wolfsburg,Schalke 04,1535203800,9,nl NED,FW,26-018,74,20,19,1,0,0,0,0,0,0,0,0,0,10,0,0,c4e87b8b,Wout Weghorst,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,33,de GER,FW,27-134,16,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,e5f63987,Daniel Ginczek,Wolfsburg,False
Wolfsburg,Schalke 04,1535203800,8,ch SUI,LW,26-295,90,26,25,0,0,0,0,1,0,0,0,0,0,16,1,2,dd669209,Renato Steffen,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,7,hr CRO,RW,20-063,85,42,34,8,3,0,2,3,1,4,2,0,0,31,0,1,d4a2533d,Josip Brekalo,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,14,ch SUI,RW,27-162,5,6,6,0,0,0,0,0,0,0,0,0,0,3,0,2,b500b384,Admir Mehmedi,Wolfsburg,False
Wolfsburg,Schalke 04,1535203800,27,de GER,LM,24-090,90,34,29,5,2,0,1,7,0,3,2,0,0,23,0,0,86e119e0,Maximilian Arnold,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,4,es ESP,CM,28-113,90,44,41,2,2,2,0,1,0,0,0,0,0,34,1,1,8ed9b33a,Ignacio Camacho,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,23,fr FRA,RM,27-340,45,12,12,0,0,0,0,2,0,0,0,0,0,6,0,0,e6c43eec,Josuha Guilavogui,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,13,de GER,RM,24-165,45,14,14,0,0,0,0,0,0,0,0,0,0,7,0,1,62ab9184,Yannick Gerhardt,Wolfsburg,False
Wolfsburg,Schalke 04,1535203800,15,fr FRA,LB,25-231,90,56,46,10,1,0,1,1,9,0,0,0,0,43,0,2,13203c45,Jérôme Roussillon,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,25,us USA,CB,25-209,90,59,56,3,3,0,2,0,0,0,0,0,0,51,0,0,e27da244,John Brooks,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,31,de GER,CB,26-095,90,53,53,0,0,0,0,0,0,0,0,0,0,47,0,0,6bd5cd5d,Robin Knoche,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,2,br BRA,RB,23-144,90,64,53,11,0,0,2,2,11,0,0,0,0,43,0,3,d4d0a9ad,William,Wolfsburg,True
Wolfsburg,Schalke 04,1535203800,1,be BEL,GK,26-061,90,44,33,11,2,0,0,0,0,0,0,0,0,38,0,0,db401046,Koen Casteels,Wolfsburg,True
Freiburg,Eintracht Frankfurt,1535203800,18,de GER,FW,29-262,90,22,21,1,0,0,0,1,0,0,0,0,0,12,0,1,f93e6e94,Nils Petersen,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,7,de GER,FW,27-305,72,16,13,2,0,0,1,1,0,0,0,0,0,9,1,1,d6862409,Florian Niederlechner,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,9,de GER,FW,24-046,18,7,7,0,0,0,0,1,0,0,0,0,0,6,0,0,ca618d23,Lucas Höler,Freiburg,False
Freiburg,Eintracht Frankfurt,1535203800,8,de GER,LM,31-315,90,15,14,1,0,0,0,2,1,0,0,0,0,5,0,0,482b70ad,Mike Frantz,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,20,de GER,CM,30-060,90,38,35,3,2,0,0,2,0,1,1,0,0,26,0,2,49ffe0f2,Jérôme Gondorf,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,11,de GER,RM,22-098,68,17,16,0,0,0,0,0,0,0,0,0,0,15,1,0,e5a35ae9,Luca Waldschmidt,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,13,de GER,RM,27-132,22,14,7,7,2,0,0,6,0,5,1,4,0,5,0,1,7e689867,Marco Terrazzino,Freiburg,False
Freiburg,Eintracht Frankfurt,1535203800,27,de GER,DM,28-169,90,54,51,2,2,0,0,1,0,0,0,0,0,48,1,0,5d8e331f,Nicolas Höfler,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,30,de GER,LB,25-178,90,53,35,18,0,0,1,4,18,0,0,0,0,37,0,3,8593f88c,Christian Günter,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,23,de GER,CB,25-010,90,57,57,0,0,0,1,0,0,0,0,0,0,46,0,0,699fb8db,Dominique Heintz,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,5,de GER,CB,27-194,90,70,68,1,1,0,2,0,0,0,0,0,0,57,1,3,25ab9c9c,Manuel Gulde,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,15,de GER,RB,22-158,90,53,43,10,0,0,4,1,10,0,0,0,0,44,0,0,99f7e9aa,Pascal Stenzel,Freiburg,True
Freiburg,Eintracht Frankfurt,1535203800,1,de GER,GK,26-084,90,56,41,15,4,0,0,0,0,0,0,0,0,34,0,0,0d55d942,Alexander Schwolow,Freiburg,True
Mönchengladbach,Bayer Leverkusen,1535214600,11,br BRA,FW,33-150,78,29,27,2,0,0,0,0,1,0,0,0,0,26,0,0,791af558,Raffael,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,14,fr FRA,FW,25-168,12,6,6,0,0,0,0,1,0,0,0,0,0,3,0,1,bc6bd723,Alassane Pléa,Mönchengladbach,False
Mönchengladbach,Bayer Leverkusen,1535214600,19,us USA,"LW,RW",30-257,82,19,19,0,0,0,0,1,0,0,0,0,0,11,0,1,76e5da9d,Fabian Johnson,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,7,de GER,RM,27-194,8,6,5,1,0,0,0,0,1,0,0,0,0,2,0,1,dfb6490a,Patrick Herrmann,Mönchengladbach,False
Mönchengladbach,Bayer Leverkusen,1535214600,10,be BEL,"RW,LW,LM",25-149,90,54,46,8,1,1,0,10,1,6,3,2,0,35,0,4,50871bcc,Thorgan Hazard,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,23,de GER,"LM,CM",26-042,90,50,45,5,2,1,0,1,0,3,0,0,1,45,0,0,2903a856,Jonas Hofmann,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,5,de GER,"CM,DM",28-105,90,34,32,2,2,0,2,0,0,0,0,0,0,30,0,0,17780d2b,Tobias Strobl,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,32,de GER,"RM,CM",21-162,87,36,36,0,0,1,0,1,0,0,0,0,0,32,0,1,36a59ba4,Florian Neuhaus,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,8,ch SUI,CM,21-278,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,384d58d9,Denis Zakaria,Mönchengladbach,False
Mönchengladbach,Bayer Leverkusen,1535214600,17,se SWE,LB,32-305,90,75,69,5,0,0,0,3,5,0,0,0,0,55,1,1,b69261a0,Oscar Wendt,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,24,de GER,CB,28-140,90,73,72,1,1,0,0,0,0,0,0,0,0,68,0,0,34b54da7,Tony Jantschke,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,28,de GER,CB,24-218,90,54,54,0,0,0,2,0,0,0,0,0,0,52,0,1,f521b80a,Matthias Ginter,Mönchengladbach,True
Mönchengladbach,Bayer Leverkusen,1535214600,15,de GER,RB,18-098,90,50,38,12,2,0,0,1,10,0,0,0,0,43,0,2,9af1f9ff,Jordan Beyer,Mönchengladbach,True
