home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,player_id,player,squad,start
Necaxa,UANL,1595637000,10,ar ARG,FW,22-236,90,34,1,3,19,13,1,34,2,2,100.0,0,0.0,25,174,70,1,2,1,2,3,24,6,c3c12758,Maximiliano Salas,Necaxa,True
Necaxa,UANL,1595637000,17,mx MEX,FW,29-010,90,30,2,3,19,8,4,30,1,0,0.0,1,100.0,15,47,7,0,1,0,1,4,24,6,8ae9001b,Martín Barragán,Necaxa,True
Necaxa,UANL,1595637000,35,mx MEX,CM,21-314,65,16,0,4,10,2,0,16,1,0,0.0,1,100.0,12,61,11,0,1,0,0,0,9,2,e0ba1c09,José Cobián,Necaxa,True
Necaxa,UANL,1595637000,24,es ESP,CM,27-164,25,16,1,1,6,9,2,16,0,0,,0,,11,58,33,2,1,1,0,1,12,5,040e5ca4,Ian Gonzalez Nieto,Necaxa,False
Necaxa,UANL,1595637000,20,cl CHI,CM,22-040,45,23,1,6,16,1,0,23,0,0,,0,,13,78,43,0,0,0,1,2,13,1,b4bbb408,Yerko Leiva,Necaxa,True
Necaxa,UANL,1595637000,19,co COL,CM,24-066,45,26,0,1,17,10,1,26,2,1,50.0,1,50.0,23,193,89,3,1,1,2,2,23,9,84b7c924,Joao Rodríguez,Necaxa,False
Necaxa,UANL,1595637000,7,mx MEX,CM,30-321,90,68,3,16,44,9,0,68,1,1,100.0,0,0.0,44,201,72,1,0,0,0,1,48,1,23f60edd,David Cabrera Pujol,Necaxa,True
Necaxa,UANL,1595637000,18,mx MEX,LB,20-188,45,15,2,7,7,2,0,15,0,0,,0,,8,49,8,0,0,0,0,1,7,0,d88d0a41,Raúl Sandoval,Necaxa,True
Necaxa,UANL,1595637000,16,mx MEX,LB,28-148,45,26,1,7,16,4,0,26,0,0,,0,,20,114,42,1,1,0,1,1,21,0,6c5549b7,Jairo González,Necaxa,False
Necaxa,UANL,1595637000,3,es ESP,CB,26-171,90,63,13,38,24,1,1,63,0,0,,0,,34,117,43,0,0,0,0,0,36,0,aa98e19a,Unai Bilbao,Necaxa,True
