home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,player_id,player,squad,start
Brentford,Arsenal,1628881200,17,eng ENG,FW,25-150,90,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0,e09f279b,Ivan Toney,Brentford,True
Brentford,Arsenal,1628881200,19,cm CMR,FW,22-006,85,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0,6afaebf2,Bryan Mbeumo,Brentford,True
Brentford,Arsenal,1628881200,9,fi FIN,FW,22-056,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,82c215a0,Marcus Forss,Brentford,False
Brentford,Arsenal,1628881200,27,de GER,CM,23-095,90,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,2,0,8449d35e,Vitaly Janelt,Brentford,True
Brentford,Arsenal,1628881200,6,dk DEN,CM,27-156,90,2,1,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,df0a4c90,Christian Nørgaard,Brentford,True
Brentford,Arsenal,1628881200,15,ng NGA,CM,23-224,79,2,2,0,2,0,1,3,33.3,2,0,0,0,0,2,1,0,2944f86f,Frank Onyeka,Brentford,True
Brentford,Arsenal,1628881200,28,dk DEN,CM,20-169,11,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,407db0d5,Mads Bidstrup,Brentford,False
Brentford,Arsenal,1628881200,3,eng ENG,WB,24-036,90,3,3,1,2,0,2,2,100.0,0,2,1,1,0,3,1,0,8a3c1dc7,Rico Henry,Brentford,True
Brentford,Arsenal,1628881200,7,es ESP,WB,24-192,90,7,3,6,1,0,5,6,83.3,1,1,1,0,3,10,1,0,1137759d,Sergi Canós,Brentford,True
Brentford,Arsenal,1628881200,5,jm JAM,CB,28-076,90,0,0,0,0,0,0,2,0.0,2,2,2,0,3,3,4,0,e541326e,Ethan Pinnock,Brentford,True
