home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
Zwolle,Heerenveen,1533924000,a47f3cb4,Dave Bulthuis, Heerenveen,0.04,,Blocked,32,Left Foot,,a47f3cb4,Dave Bulthuis,Take-On,,,,2,False
Zwolle,Heerenveen,1533924000,095e4199,Arber Zeneli, Heerenveen,0.05,,Blocked,16,Right Foot,,d1b49282,Morten Thorsby,Pass (Live),ad22007c,Nemanja Mihajlović,Pass (Live),8,False
Zwolle,Heerenveen,1533924000,b3f36e72,Zian Flemming, Zwolle,0.04,,Blocked,25,Right Foot,,,,,,,,14,False
Zwolle,Heerenveen,1533924000,b3f36e72,Zian Flemming, Zwolle,0.05,,Blocked,11,Head,,66e43504,Clint Leemans,Pass (Dead),,,,17,False
Zwolle,Heerenveen,1533924000,eebacc07,Gustavo Hamer, Zwolle,0.03,,Off Target,29,Left Foot,,,,,,,,22,False
Zwolle,Heerenveen,1533924000,76b2817e,Kingsley Ehizibue, Zwolle,0.35,,Off Target,14,Right Foot,,eebacc07,Gustavo Hamer,Pass (Live),66e43504,Clint Leemans,Pass (Live),23,False
Zwolle,Heerenveen,1533924000,d7d78a54,Mike van Duinen, Zwolle,0.79,0.90,Goal,13,Right Foot,,4b8b9e6c,Vito van Crooy,Fouled,badcdcae,Denis Genreau,Pass (Live),28,True
Zwolle,Heerenveen,1533924000,d1b49282,Morten Thorsby, Heerenveen,0.14,0.26,Goal,7,Head,,095e4199,Arber Zeneli,Pass (Dead),c283ddef,Sam Lammers,Take-On,32,False
Zwolle,Heerenveen,1533924000,ad22007c,Nemanja Mihajlović, Heerenveen,0.09,,Off Target,12,Left Foot,,ad22007c,Nemanja Mihajlović,Take-On,,,,38,False
Zwolle,Heerenveen,1533924000,d1b49282,Morten Thorsby, Heerenveen,0.03,0.17,Goal,24,Right Foot,Volley,095e4199,Arber Zeneli,Take-On,02760e49,Michel Vlap,Pass (Live),39,False
Zwolle,Heerenveen,1533924000,095e4199,Arber Zeneli, Heerenveen,0.05,0.77,Goal,12,Right Foot,Deflected,d1b49282,Morten Thorsby,Pass (Live),c283ddef,Sam Lammers,Pass (Live),43,False
Zwolle,Heerenveen,1533924000,c283ddef,Sam Lammers, Heerenveen,0.15,,Off Target,5,Head,,095e4199,Arber Zeneli,Pass (Dead),c283ddef,Sam Lammers,Fouled,45,False
Zwolle,Heerenveen,1533924000,d7d78a54,Mike van Duinen, Zwolle,0.53,,Blocked,8,Left Foot,,76b2817e,Kingsley Ehizibue,Pass (Live),76b2817e,Kingsley Ehizibue,Take-On,54,False
Zwolle,Heerenveen,1533924000,d7d78a54,Mike van Duinen, Zwolle,0.79,0.91,Goal,13,Right Foot,,,,Fouled,d7d78a54,Mike van Duinen,Shot,56,True
Zwolle,Heerenveen,1533924000,d7d78a54,Mike van Duinen, Zwolle,0.56,0.67,Saved,10,Left Foot,,66e43504,Clint Leemans,Pass (Live),76b2817e,Kingsley Ehizibue,Pass (Live),58,False
Zwolle,Heerenveen,1533924000,d7d78a54,Mike van Duinen, Zwolle,0.06,,Off Target,9,Right Foot,Volley,eebacc07,Gustavo Hamer,Pass (Live),1a672e2d,Younes Namli,Pass (Live),59,False
Zwolle,Heerenveen,1533924000,66e43504,Clint Leemans, Zwolle,0.03,0.03,Saved,22,Left Foot,,1a672e2d,Younes Namli,Pass (Live),eebacc07,Gustavo Hamer,Pass (Dead),62,False
Zwolle,Heerenveen,1533924000,b3f36e72,Zian Flemming, Zwolle,0.08,0.29,Saved,10,Head,,d7d78a54,Mike van Duinen,Pass (Live),4b8b9e6c,Vito van Crooy,Pass (Live),62,False
Zwolle,Heerenveen,1533924000,66e43504,Clint Leemans, Zwolle,0.05,,Blocked,34,Left Foot,Free kick,d7d78a54,Mike van Duinen,Fouled,894cfe3d,Bram van Polen,Interception,64,False
Zwolle,Heerenveen,1533924000,eebacc07,Gustavo Hamer, Zwolle,0.03,,Off Target,32,Right Foot,,d7d78a54,Mike van Duinen,Pass (Live),894cfe3d,Bram van Polen,Pass (Live),65,False
Zwolle,Heerenveen,1533924000,eebacc07,Gustavo Hamer, Zwolle,0.03,,Blocked,30,Right Foot,,66e43504,Clint Leemans,Pass (Live),4b8b9e6c,Vito van Crooy,Pass (Dead),68,False
Zwolle,Heerenveen,1533924000,66e43504,Clint Leemans, Zwolle,0.03,,Blocked,31,Left Foot,,1a672e2d,Younes Namli,Pass (Live),eebacc07,Gustavo Hamer,Pass (Live),71,False
Zwolle,Heerenveen,1533924000,b3f36e72,Zian Flemming, Zwolle,0.41,,Blocked,8,Left Foot,Deflected,1a672e2d,Younes Namli,Pass (Live),eebacc07,Gustavo Hamer,Pass (Live),71,False
