home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
Rennes,Celtic,1568912100,0562b7f1,Odsonne Édouard, Celtic,0.06,,Off Target,12,Right Foot,Volley,e73659d3,James Forrest,Pass (Live),c2304da8,Hatem Abd Elhamed,Pass (Dead),11,False
Rennes,Celtic,1568912100,8b298f56,Clément Grenier, Rennes,0.27,,Off Target,11,Head,,3423f250,Raphinha,Pass (Live),,,,13,False
Rennes,Celtic,1568912100,0be28faf,Scott Brown, Celtic,0.07,,Off Target,12,Right Foot,Volley,26ce2263,Ryan Christie,Pass (Dead),26ce2263,Ryan Christie,Fouled,17,False
Rennes,Celtic,1568912100,26ce2263,Ryan Christie, Celtic,0.02,,Blocked,37,Left Foot,,c603ad6a,Boli Bolingoli-Mbombo,Pass (Live),,,,21,False
Rennes,Celtic,1568912100,3423f250,Raphinha, Rennes,0.03,0.24,Saved,24,Left Foot,,a4b1028a,Hamari Traoré,Pass (Live),20e73fac,Benjamin Bourigeaud,Pass (Live),31,False
Rennes,Celtic,1568912100,2054d037,M'Baye Niang, Rennes,0.79,0.97,Goal,13,Right Foot,,2054d037,M'Baye Niang,Fouled,a4b1028a,Hamari Traoré,Pass (Live),38,True
Rennes,Celtic,1568912100,20e73fac,Benjamin Bourigeaud, Rennes,0.05,,Blocked,20,Right Foot,,3423f250,Raphinha,Pass (Live),a4b1028a,Hamari Traoré,Pass (Live),45,False
Rennes,Celtic,1568912100,0be28faf,Scott Brown, Celtic,0.08,,Off Target,8,Head,,26ce2263,Ryan Christie,Pass (Dead),c2304da8,Hatem Abd Elhamed,Fouled,49,False
Rennes,Celtic,1568912100,26ce2263,Ryan Christie, Celtic,0.79,1.00,Goal,13,Left Foot,,e73659d3,James Forrest,Fouled,26ce2263,Ryan Christie,Pass (Live),59,True
Rennes,Celtic,1568912100,8b298f56,Clément Grenier, Rennes,0.05,,Woodwork,30,Right Foot,Free kick,8b298f56,Clément Grenier,Fouled,a0f9b535,Flavien Tait,Pass (Live),64,False
Rennes,Celtic,1568912100,e73659d3,James Forrest, Celtic,0.04,,Off Target,22,Right Foot,,0562b7f1,Odsonne Édouard,Pass (Live),26ce2263,Ryan Christie,Pass (Live),66,False
Rennes,Celtic,1568912100,e97150c0,Jérémy Morel, Rennes,0.03,,Blocked,24,Left Foot,,0be95d34,Romain Del Castillo,Pass (Live),8b298f56,Clément Grenier,Pass (Live),75,False
Rennes,Celtic,1568912100,20e73fac,Benjamin Bourigeaud, Rennes,0.03,,Blocked,28,Right Foot,,e97150c0,Jérémy Morel,Shot,,,,75,False
Rennes,Celtic,1568912100,6554bb97,Olivier Ntcham, Celtic,0.03,0.02,Saved,29,Right Foot,Deflected,132f161f,Vakoun Issouf Bayo,Pass (Live),6554bb97,Olivier Ntcham,Pass (Live),90+2,False
Rennes,Celtic,1568912100,26ce2263,Ryan Christie, Celtic,0.06,,Blocked,17,Left Foot,,e73659d3,James Forrest,Pass (Live),e73659d3,James Forrest,Take-On,90+5,False
PSV Eindhoven,Sporting CP,1568912100,28eea0fc,Jorrit Hendrix, PSV Eindhoven,0.02,0.03,Saved,34,Left Foot,,481c9ece,Denzel Dumfries,Pass (Live),a29b1131,Steven Bergwijn,Pass (Live),12,False
PSV Eindhoven,Sporting CP,1568912100,507c7bdf,Bruno Fernandes, Sporting CP,0.03,0.03,Saved,29,Right Foot,,81442ecb,Marcos Acuña,Pass (Live),b0edd538,Miguel Luís,Pass (Live),16,False
PSV Eindhoven,Sporting CP,1568912100,28eea0fc,Jorrit Hendrix, PSV Eindhoven,0.02,,Blocked,25,Left Foot,,403f5d20,Olivier Boscagli,Pass (Live),1a6b7ea4,Pablo Rosario,Pass (Live),17,False
PSV Eindhoven,Sporting CP,1568912100,116c35df,Donyell Malen, PSV Eindhoven,0.07,0.56,Goal,21,Right Foot,Deflected,86878265,Mohammed Ihattaren,Pass (Live),5caa62a7,Bruma,Pass (Live),19,False
PSV Eindhoven,Sporting CP,1568912100,33b11df6,Wendel, Sporting CP,0.03,0.11,Saved,30,Right Foot,,685857dc,Idrissa Doumbia,Pass (Live),,,,22,False
PSV Eindhoven,Sporting CP,1568912100,507c7bdf,Bruno Fernandes, Sporting CP,0.02,,Off Target,31,Right Foot,,9b6d9b53,Valentin Rosier,Pass (Live),507c7bdf,Bruno Fernandes,Pass (Live),34,False
PSV Eindhoven,Sporting CP,1568912100,507c7bdf,Bruno Fernandes, Sporting CP,0.79,0.99,Goal,13,Right Foot,,715fc0fe,Yannick Bolasie,Fouled,81442ecb,Marcos Acuña,Pass (Live),38,True
PSV Eindhoven,Sporting CP,1568912100,a29b1131,Steven Bergwijn, PSV Eindhoven,0.03,,Off Target,26,Right Foot,,28eea0fc,Jorrit Hendrix,Pass (Live),1a6b7ea4,Pablo Rosario,Interception,40,False
PSV Eindhoven,Sporting CP,1568912100,bd7d2e6d,Timo Baumgartl, PSV Eindhoven,0.10,0.34,Goal,9,Right Foot,,86878265,Mohammed Ihattaren,Pass (Dead),864163f3,,Pass (Live),48,False
PSV Eindhoven,Sporting CP,1568912100,5caa62a7,Bruma, PSV Eindhoven,0.06,,Blocked,30,Right Foot,Free kick,a29b1131,Steven Bergwijn,Fouled,e38f1636,Nick Viergever,Pass (Live),51,False
PSV Eindhoven,Sporting CP,1568912100,86878265,Mohammed Ihattaren, PSV Eindhoven,0.04,0.04,Saved,20,Left Foot,,a29b1131,Steven Bergwijn,Pass (Live),5caa62a7,Bruma,Pass (Live),52,False
PSV Eindhoven,Sporting CP,1568912100,403f5d20,Olivier Boscagli, PSV Eindhoven,0.02,,Blocked,33,Left Foot,,a29b1131,Steven Bergwijn,Fouled,86878265,Mohammed Ihattaren,Pass (Dead),54,False
PSV Eindhoven,Sporting CP,1568912100,507c7bdf,Bruno Fernandes, Sporting CP,0.41,,Woodwork,5,Head,,81442ecb,Marcos Acuña,Pass (Live),33b11df6,Wendel,Pass (Live),55,False
PSV Eindhoven,Sporting CP,1568912100,116c35df,Donyell Malen, PSV Eindhoven,0.05,0.07,Saved,18,Right Foot,,28eea0fc,Jorrit Hendrix,Pass (Live),a29b1131,Steven Bergwijn,Pass (Live),57,False
PSV Eindhoven,Sporting CP,1568912100,507c7bdf,Bruno Fernandes, Sporting CP,0.05,0.28,Saved,30,Right Foot,Free kick,715fc0fe,Yannick Bolasie,Fouled,2513a588,Luciano Vietto,Pass (Live),58,False
PSV Eindhoven,Sporting CP,1568912100,a29b1131,Steven Bergwijn, PSV Eindhoven,0.04,0.07,Saved,20,Right Foot,,1a6b7ea4,Pablo Rosario,Pass (Live),5caa62a7,Bruma,Pass (Live),61,False
PSV Eindhoven,Sporting CP,1568912100,481c9ece,Denzel Dumfries, PSV Eindhoven,0.32,0.15,Saved,9,Head,,a29b1131,Steven Bergwijn,Shot,,,,61,False
PSV Eindhoven,Sporting CP,1568912100,e34e086c,Jovane Cabral, Sporting CP,0.04,0.02,Saved,23,Right Foot,,33b11df6,Wendel,Pass (Live),33b11df6,Wendel,Take-On,71,False
PSV Eindhoven,Sporting CP,1568912100,507c7bdf,Bruno Fernandes, Sporting CP,0.02,0.03,Saved,36,Right Foot,,9b6d9b53,Valentin Rosier,Pass (Live),33b11df6,Wendel,Pass (Live),72,False
PSV Eindhoven,Sporting CP,1568912100,a29b1131,Steven Bergwijn, PSV Eindhoven,0.04,,Off Target,15,Right Foot,,28eea0fc,Jorrit Hendrix,Pass (Live),1a6b7ea4,Pablo Rosario,Pass (Live),74,False
PSV Eindhoven,Sporting CP,1568912100,507c7bdf,Bruno Fernandes, Sporting CP,0.06,0.11,Saved,24,Left Foot,,507c7bdf,Bruno Fernandes,Take-On,715fc0fe,Yannick Bolasie,Pass (Live),75,False
PSV Eindhoven,Sporting CP,1568912100,b0edd538,Miguel Luís, Sporting CP,0.07,,Off Target,13,Left Foot,Volley,507c7bdf,Bruno Fernandes,Shot,,,,75,False
PSV Eindhoven,Sporting CP,1568912100,e34e086c,Jovane Cabral, Sporting CP,0.05,,Blocked,13,Right Foot,,507c7bdf,Bruno Fernandes,Pass (Live),e34e086c,Jovane Cabral,Pass (Live),77,False
PSV Eindhoven,Sporting CP,1568912100,e34e086c,Jovane Cabral, Sporting CP,0.07,0.07,Saved,11,Right Foot,,953597a1,Luís Neto,Pass (Live),81442ecb,Marcos Acuña,Pass (Dead),77,False
PSV Eindhoven,Sporting CP,1568912100,85c25f57,Pedro Mendes, Sporting CP,0.03,0.29,Goal,24,Right Foot,,715fc0fe,Yannick Bolasie,Pass (Live),507c7bdf,Bruno Fernandes,Pass (Live),82,False
PSV Eindhoven,Sporting CP,1568912100,d01bbb6f,Ritsu Doan, PSV Eindhoven,0.05,,Blocked,30,Left Foot,Free kick,a29b1131,Steven Bergwijn,Fouled,1971591f,Cody Gakpo,Pass (Live),86,False
PSV Eindhoven,Sporting CP,1568912100,507c7bdf,Bruno Fernandes, Sporting CP,0.03,,Blocked,27,Right Foot,Volley,507c7bdf,Bruno Fernandes,Pass (Live),85c25f57,Pedro Mendes,Pass (Live),90,False
PSV Eindhoven,Sporting CP,1568912100,d01bbb6f,Ritsu Doan, PSV Eindhoven,0.06,0.52,Saved,20,Left Foot,,1971591f,Cody Gakpo,Pass (Live),d01bbb6f,Ritsu Doan,Pass (Live),90+1,False
PSV Eindhoven,Sporting CP,1568912100,1971591f,Cody Gakpo, PSV Eindhoven,0.04,0.15,Saved,19,Right Foot,,1971591f,Cody Gakpo,Pass (Live),,,,90+2,False
Basel,Krasnodar,1568912100,a820e429,Arthur, Basel,0.05,,Off Target,11,Head,,9fb640a8,Fabian Frei,Pass (Live),a4f642c5,Kevin Bua,Pass (Live),2,False
Basel,Krasnodar,1568912100,9fb640a8,Fabian Frei, Basel,0.07,0.08,Saved,9,Right Foot,,a4f642c5,Kevin Bua,Take-On,90f3beec,Raoul Petretta,Pass (Live),5,False
Basel,Krasnodar,1568912100,a820e429,Arthur, Basel,0.06,,Off Target,9,Head,,f68b64fc,Silvan Widmer,Pass (Live),9fb640a8,Fabian Frei,Pass (Live),5,False
Basel,Krasnodar,1568912100,a820e429,Arthur, Basel,0.04,0.13,Saved,20,Right Foot,,9c824717,Luca Zuffi,Pass (Live),9fb640a8,Fabian Frei,Pass (Live),7,False
Basel,Krasnodar,1568912100,a4f642c5,Kevin Bua, Basel,0.34,0.92,Goal,12,Right Foot,,,,,,,,9,False
Basel,Krasnodar,1568912100,a4f642c5,Kevin Bua, Basel,0.03,,Off Target,31,Right Foot,,9c824717,Luca Zuffi,Pass (Live),a4f642c5,Kevin Bua,Pass (Live),13,False
Basel,Krasnodar,1568912100,d94653be,Magomed-Shapi Suleymanov, Krasnodar,0.03,,Off Target,32,Left Foot,,fa73ccc7,Kristoffer Olsson,Pass (Live),c7069d87,Tonny Vilhena,Pass (Dead),14,False
Basel,Krasnodar,1568912100,a820e429,Arthur, Basel,0.07,,Off Target,15,Right Foot,,9c824717,Luca Zuffi,Pass (Live),a4f642c5,Kevin Bua,Pass (Live),17,False
Basel,Krasnodar,1568912100,15937e17,Eray Cömert, Basel,0.02,,Off Target,34,Right Foot,,ead14875,Taulant Xhaka,Pass (Live),9fb640a8,Fabian Frei,Pass (Live),18,False
Basel,Krasnodar,1568912100,9fb640a8,Fabian Frei, Basel,0.03,,Saved off Target,29,Right Foot,,a4f642c5,Kevin Bua,Pass (Live),9c824717,Luca Zuffi,Pass (Live),21,False
