home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
Cruz Azul,Puebla,1532210400,ff871e14,Roberto Alvarado, Cruz Azul,0.08,,Off Target,10,Right Foot,,09b2bf95,Elías Hernández,Pass (Live),fb40b861,Rafael Baca,Pass (Live),6,False
Cruz Azul,Puebla,1532210400,04a82b14,Vladimir Loroña, Puebla,0.09,,Off Target,10,Left Foot,,,,,,,,8,False
Cruz Azul,Puebla,1532210400,a7c11793,Hugo Isaác Rodríguez, Puebla,0.05,,Off Target,13,Right Foot,Volley,04a82b14,Vladimir Loroña,Shot,,,,8,False
Cruz Azul,Puebla,1532210400,ff871e14,Roberto Alvarado, Cruz Azul,0.03,,Blocked,26,Left Foot,Volley,cd5453d5,Adrián Aldrete,Pass (Dead),b14f755d,Iván Marcone,Fouled,12,False
Cruz Azul,Puebla,1532210400,7bda3d90,Pablo César Aguilar, Cruz Azul,0.06,,Off Target,10,Head,,ff871e14,Roberto Alvarado,Pass (Dead),fb40b861,Rafael Baca,Interception,37,False
Cruz Azul,Puebla,1532210400,7e9c78b9,Gerardo Flores Zúñiga, Cruz Azul,0.29,,Off Target,10,Head,,09b2bf95,Elías Hernández,Pass (Dead),ff871e14,Roberto Alvarado,Fouled,40,False
Cruz Azul,Puebla,1532210400,ff871e14,Roberto Alvarado, Cruz Azul,0.03,0.15,Saved,28,Left Foot,,abc7b250,Milton Caraglio,Pass (Live),7e9c78b9,Gerardo Flores Zúñiga,Pass (Dead),42,False
Cruz Azul,Puebla,1532210400,aed746df,Édgar Méndez, Cruz Azul,0.06,,Off Target,10,Right Foot,,b14f755d,Iván Marcone,Pass (Live),aed746df,Édgar Méndez,Tackle,45+2,False
Cruz Azul,Puebla,1532210400,aed746df,Édgar Méndez, Cruz Azul,0.01,,Off Target,64,Right Foot,,aed746df,Édgar Méndez,Tackle,,,,53,False
Cruz Azul,Puebla,1532210400,abc7b250,Milton Caraglio, Cruz Azul,0.28,0.35,Saved,9,Head,,09b2bf95,Elías Hernández,Pass (Dead),abc7b250,Milton Caraglio,Pass (Live),56,False
Cruz Azul,Puebla,1532210400,7bda3d90,Pablo César Aguilar, Cruz Azul,0.31,,Woodwork,5,Head,,ff871e14,Roberto Alvarado,Pass (Dead),abc7b250,Milton Caraglio,Shot,57,False
Cruz Azul,Puebla,1532210400,0105f4d1,Luis Enrique Robles, Puebla,0.03,,Off Target,25,Right Foot,Volley,dd8de641,Lucas Cavallini,Pass (Live),af31b77b,Brayan Angulo,Pass (Live),61,False
Cruz Azul,Puebla,1532210400,a7c11793,Hugo Isaác Rodríguez, Puebla,0.05,,Off Target,11,Head,,d5c24d20,Christian Tabó,Pass (Dead),0105f4d1,Luis Enrique Robles,Shot,62,False
Cruz Azul,Puebla,1532210400,09b2bf95,Elías Hernández, Cruz Azul,0.05,0.05,Saved,13,Right Foot,,cd5453d5,Adrián Aldrete,Pass (Live),e39a7e9c,José Corona,Pass (Dead),62,False
Cruz Azul,Puebla,1532210400,fb40b861,Rafael Baca, Cruz Azul,0.02,,Blocked,27,Right Foot,,09b2bf95,Elías Hernández,Pass (Live),ff871e14,Roberto Alvarado,Pass (Dead),64,False
Cruz Azul,Puebla,1532210400,abc7b250,Milton Caraglio, Cruz Azul,0.03,0.43,Saved,30,Left Foot,,6e7d7a7a,Martín Cauteruccio,Pass (Live),e39a7e9c,José Corona,Pass (Dead),70,False
Cruz Azul,Puebla,1532210400,abc7b250,Milton Caraglio, Cruz Azul,0.03,,Off Target,25,Left Foot,,fb40b861,Rafael Baca,Pass (Live),,,,71,False
Cruz Azul,Puebla,1532210400,dd8de641,Lucas Cavallini, Puebla,0.03,,Off Target,31,Left Foot,,d78d7415,José Francisco Torres,Pass (Live),,,,72,False
Cruz Azul,Puebla,1532210400,d076c70c,Andrés Rentería, Cruz Azul,0.03,,Blocked,26,Right Foot,,fb40b861,Rafael Baca,Pass (Live),b14f755d,Iván Marcone,Pass (Live),74,False
Cruz Azul,Puebla,1532210400,d076c70c,Andrés Rentería, Cruz Azul,0.36,0.85,Goal,10,Other,,09b2bf95,Elías Hernández,Pass (Dead),691bf9fe,Misael Domínguez,Fouled,81,False
Cruz Azul,Puebla,1532210400,abc7b250,Milton Caraglio, Cruz Azul,0.37,0.71,Saved,7,Head,,6e7d7a7a,Martín Cauteruccio,Pass (Live),b14f755d,Iván Marcone,Pass (Live),85,False
Cruz Azul,Puebla,1532210400,abc7b250,Milton Caraglio, Cruz Azul,0.79,1.00,Goal,13,Left Foot,,6e7d7a7a,Martín Cauteruccio,Fouled,09b2bf95,Elías Hernández,Pass (Live),90+2,True
Cruz Azul,Puebla,1532210400,09b2bf95,Elías Hernández, Cruz Azul,0.06,0.78,Goal,18,Right Foot,,09b2bf95,Elías Hernández,Take-On,09b2bf95,Elías Hernández,Take-On,90+4,False
Veracruz,Pumas UNAM,1532131200,6865507d,Alan Mendoza, UNAM,0.09,,Off Target,6,Right Foot,Volley,90a0bb3b,Víctor Malcorra,Pass (Dead),f4b0ea46,Felipe Mora,Fouled,7,False
Veracruz,Pumas UNAM,1532131200,f4b0ea46,Felipe Mora, UNAM,0.07,,Blocked,11,Left Foot,Volley,90a0bb3b,Víctor Malcorra,Pass (Live),c075b5f0,Martín Rodríguez,Pass (Live),8,False
Veracruz,Pumas UNAM,1532131200,ddb8cfad,Carlos Esquivel, Veracruz,0.04,,Off Target,24,Left Foot,,0c29b78c,Joe Abrigo,Pass (Live),ddb8cfad,Carlos Esquivel,Pass (Live),14,False
Veracruz,Pumas UNAM,1532131200,0c2a2a73,Adrián Luna, Veracruz,0.03,,Off Target,27,Right Foot,,3e2406b1,Diego Chávez Collins,Pass (Live),eb9f3f10,Guido Milán,Pass (Live),16,False
Veracruz,Pumas UNAM,1532131200,90a0bb3b,Víctor Malcorra, UNAM,0.06,0.11,Saved,15,Left Foot,,f4b0ea46,Felipe Mora,Pass (Live),90a0bb3b,Víctor Malcorra,Pass (Live),23,False
Veracruz,Pumas UNAM,1532131200,6865507d,Alan Mendoza, UNAM,0.03,,Off Target,23,Right Foot,,ff70b131,Pablo Barrera,Pass (Live),,,,26,False
Veracruz,Pumas UNAM,1532131200,3e2406b1,Diego Chávez Collins, Veracruz,0.03,,Off Target,28,Right Foot,,0c2a2a73,Adrián Luna,Pass (Live),,,,27,False
Veracruz,Pumas UNAM,1532131200,5c059b5d,Carlos González Espínola, UNAM,0.02,,Woodwork,34,Right Foot,Volley,db19a32b,Alfredo Saldívar,Pass (Dead),,,,30,False
Veracruz,Pumas UNAM,1532131200,f4b0ea46,Felipe Mora, UNAM,0.51,0.87,Goal,5,Head,Deflected,90a0bb3b,Víctor Malcorra,Pass (Dead),,,,37,False
Veracruz,Pumas UNAM,1532131200,ff70b131,Pablo Barrera, UNAM,0.79,0.97,Goal,14,Right Foot,,5c059b5d,Carlos González Espínola,Fouled,f4b0ea46,Felipe Mora,Pass (Live),45+1,True
Veracruz,Pumas UNAM,1532131200,90a0bb3b,Víctor Malcorra, UNAM,0.03,,Off Target,27,Left Foot,,6865507d,Alan Mendoza,Pass (Dead),,,,49,False
Veracruz,Pumas UNAM,1532131200,8cce9a77,Bryan Carrasco, Veracruz,0.10,0.09,Saved,9,Left Foot,,ddb8cfad,Carlos Esquivel,Pass (Live),879bb6ef,Cristian Menéndez,Pass (Live),52,False
Veracruz,Pumas UNAM,1532131200,f4b0ea46,Felipe Mora, UNAM,0.07,,Off Target,8,Head,,c075b5f0,Martín Rodríguez,Pass (Live),c075b5f0,Martín Rodríguez,Take-On,58,False
Veracruz,Pumas UNAM,1532131200,d49e5666,Luis Fernando Quintana, UNAM,0.04,,Off Target,13,Head,,ff70b131,Pablo Barrera,Pass (Live),c075b5f0,Martín Rodríguez,Pass (Live),60,False
Veracruz,Pumas UNAM,1532131200,5c059b5d,Carlos González Espínola, UNAM,0.11,,Blocked,4,Right Foot,Volley,ff70b131,Pablo Barrera,Pass (Dead),,,Fouled,63,False
Veracruz,Pumas UNAM,1532131200,0c2a2a73,Adrián Luna, Veracruz,0.59,,Off Target,6,Right Foot,,cb8b660b,Rodrigo Javier Noya,Pass (Dead),,,,66,False
Veracruz,Pumas UNAM,1532131200,4f0cf249,Jefferson Murillo, Veracruz,0.06,,Blocked,16,Left Foot,,3e2406b1,Diego Chávez Collins,Pass (Live),0c2a2a73,Adrián Luna,Shot,66,False
Veracruz,Pumas UNAM,1532131200,0c2a2a73,Adrián Luna, Veracruz,0.04,,Off Target,31,Right Foot,,0c2a2a73,Adrián Luna,Take-On,4f0cf249,Jefferson Murillo,Pass (Live),69,False
Veracruz,Pumas UNAM,1532131200,5c059b5d,Carlos González Espínola, UNAM,0.03,,Blocked,25,Right Foot,,2abbf0fe,Alan Mozo,Pass (Live),5c059b5d,Carlos González Espínola,Pass (Live),80,False
Veracruz,Pumas UNAM,1532131200,879bb6ef,Cristian Menéndez, Veracruz,0.06,,Off Target,16,Left Foot,,3e2406b1,Diego Chávez Collins,Pass (Live),458c15f7,Luis Antonio Martínez,Pass (Live),81,False
Veracruz,Pumas UNAM,1532131200,b88beb53,Matías Alustiza, UNAM,0.02,,Off Target,36,Left Foot,,ff70b131,Pablo Barrera,Pass (Live),deee261c,Kevin Escamilla,Pass (Live),84,False
Atlas,Querétaro,1532138400,c7d1536c,Diego Novaretti, Querétaro,0.04,,Off Target,10,Head,,b57a9ba3,Erbín Trejo,Pass (Dead),0ac3d7d8,Everaldo Stum,Pass (Live),1,False
Atlas,Querétaro,1532138400,e590bb10,Luis Romo, Querétaro,0.03,,Off Target,15,Head,,ca1fedb4,Camilo Sanvezzo,Pass (Dead),2fef8b92,Daniel Villalva,Pass (Live),10,False
Atlas,Querétaro,1532138400,dd6862d1,Juan Pablo Vigón, Atlas,0.10,,Off Target,9,Left Foot,,,,Fouled,dd6862d1,Juan Pablo Vigón,Pass (Live),15,False
Atlas,Querétaro,1532138400,6fe53d33,Andrés Andrade, Atlas,0.03,,Blocked,25,Right Foot,,f3e5f80c,Octavio Rivero,Pass (Live),6fe53d33,Andrés Andrade,Pass (Live),20,False
Atlas,Querétaro,1532138400,0ac3d7d8,Everaldo Stum, Querétaro,0.05,,Blocked,23,Right Foot,,2fef8b92,Daniel Villalva,Pass (Live),2fef8b92,Daniel Villalva,Take-On,21,False
Atlas,Querétaro,1532138400,f3e5f80c,Octavio Rivero, Atlas,0.03,,Off Target,27,Right Foot,,f3e5f80c,Octavio Rivero,Pass (Live),d47cd62c,Lorenzo Reyes,Pass (Live),22,False
Atlas,Querétaro,1532138400,dd6862d1,Juan Pablo Vigón, Atlas,0.05,0.16,Saved,24,Right Foot,Free kick,e2190ad8,Bryan Garnica,Fouled,d47cd62c,Lorenzo Reyes,Pass (Live),25,False
Atlas,Querétaro,1532138400,93ffd0e4,Ismael Govea, Atlas,0.02,,Off Target,33,Right Foot,,8ee9191e,Clifford Aboagye,Fouled,,,,31,False
Atlas,Querétaro,1532138400,dd6862d1,Juan Pablo Vigón, Atlas,0.06,0.28,Saved,11,Head,,a3f53eb9,Leiton Jiménez,Pass (Live),d47cd62c,Lorenzo Reyes,Pass (Live),38,False
Atlas,Querétaro,1532138400,8ee9191e,Clifford Aboagye, Atlas,0.05,,Woodwork,29,Right Foot,,a3f53eb9,Leiton Jiménez,Pass (Live),d47cd62c,Lorenzo Reyes,Pass (Dead),41,False
Atlas,Querétaro,1532138400,f3e5f80c,Octavio Rivero, Atlas,0.07,,Woodwork,15,Left Foot,,8ee9191e,Clifford Aboagye,Pass (Live),dd6862d1,Juan Pablo Vigón,Pass (Live),45+3,False
Atlas,Querétaro,1532138400,8cefbfc1,Cristian Calderón, Atlas,0.03,,Off Target,28,Right Foot,,2a860a40,José Santiago Hernández,Pass (Live),0d2fe665,Omar Gonzalez,Pass (Live),46,False
Atlas,Querétaro,1532138400,6fe53d33,Andrés Andrade, Atlas,0.03,,Off Target,35,Right Foot,,dd6862d1,Juan Pablo Vigón,Pass (Live),d47cd62c,Lorenzo Reyes,Pass (Live),49,False
Atlas,Querétaro,1532138400,ca1fedb4,Camilo Sanvezzo, Querétaro,0.04,,Blocked,24,Left Foot,,318c7568,Miguel Samudio,Pass (Live),fba79ac8,Tiago Volpi,Pass (Live),51,False
Atlas,Querétaro,1532138400,e590bb10,Luis Romo, Querétaro,0.03,,Blocked,31,Right Foot,,,,,,,,55,False
Atlas,Querétaro,1532138400,0d2fe665,Omar Gonzalez, Atlas,0.07,,Off Target,8,Head,,b9bfa710,Ulises Cardona,Pass (Dead),b9bfa710,Ulises Cardona,Tackle,57,False
Atlas,Querétaro,1532138400,dd6862d1,Juan Pablo Vigón, Atlas,0.39,,Woodwork,10,Right Foot,,93ffd0e4,Ismael Govea,Pass (Live),dd6862d1,Juan Pablo Vigón,Pass (Live),59,False
Atlas,Querétaro,1532138400,0ac3d7d8,Everaldo Stum, Querétaro,0.03,,Off Target,25,Right Foot,,b57a9ba3,Erbín Trejo,Pass (Live),2fef8b92,Daniel Villalva,Pass (Live),60,False
Atlas,Querétaro,1532138400,8ee9191e,Clifford Aboagye, Atlas,0.03,,Off Target,33,Right Foot,,d47cd62c,Lorenzo Reyes,Pass (Live),d47cd62c,Lorenzo Reyes,Interception,67,False
