home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Sporting CP,Vizela,1628277300,es ESP,34-085,90,1,0,1,100.0,0.1,3,5,60.0,32,5,12.5,26.4,5,20.0,26.6,12,0,0.0,6,23.8,65d62814,Antonio Adán,Sporting CP,True
Arouca,Estoril,1628336700,br BRA,29-171,90,6,2,4,66.7,1.3,8,20,40.0,32,6,46.9,34.8,8,62.5,47.8,10,3,30.0,1,11.8,871b35e7,Victor Braga,Arouca,True
Moreirense,Benfica,1628355600,br BRA,29-040,90,6,2,4,66.7,3.2,2,10,20.0,20,3,40.0,37.9,4,50.0,38.8,7,0,0.0,1,23.5,f16f9b47,Mateus Pasinato,Moreirense,True
Marítimo,Braga,1628364600,pt POR,26-122,90,5,2,3,60.0,1.4,6,15,40.0,30,4,43.3,34.9,10,20.0,27.8,18,1,5.6,0,10.3,1c98558c,João Miguel Macedo Silva,Marítimo,True
Tondela,Santa Clara,1628433000,pt POR,33-216,90,5,0,5,100.0,0.4,9,25,36.0,31,9,45.2,40.0,19,57.9,42.3,15,1,6.7,0,4.7,00d19548,Pedro Trigueira,Tondela,True
Vitória Guimarães,Portimonense,1628433000,cz CZE,22-310,90,1,1,0,0.0,0.9,1,4,25.0,28,8,14.3,25.1,5,0.0,22.0,12,0,0.0,0,17.0,393f7c58,Matouš Trmal,Vitória Guimarães,True
Porto,Belenenses SAD,1628442000,pt POR,21-323,90,3,0,3,100.0,0.4,3,9,33.3,27,6,33.3,33.9,3,0.0,16.0,5,1,20.0,2,16.7,93fffbcf,Diogo Costa,Porto,True
Paços de Ferreira,Famalicão,1628451000,pt POR,25-071,90,2,0,2,100.0,0.5,3,7,42.9,17,2,17.6,26.6,7,57.1,45.9,11,1,9.1,4,22.0,12c6cbef,André Ferreira,Paços de Ferreira,True
Gil Vicente FC,Boavista,1628536500,ru RUS,30-251,90,5,0,5,100.0,0.9,6,14,42.9,33,5,33.3,36.6,7,42.9,37.6,14,1,7.1,0,6.8,b8798a46,Stanislav Kritsyuk,Gil Vicente FC,True
Estoril,Vitória Guimarães,1628882100,pt POR,23-024,90,2,0,2,100.0,0.1,4,9,44.4,35,1,14.3,22.7,11,36.4,30.5,23,0,0.0,0,11.0,f7c68686,Daniel Leite,Estoril,True
Vizela,Tondela,1628951400,br BRA,27-191,90,2,1,1,100.0,1.0,3,7,42.9,16,10,25.0,30.9,7,42.9,44.4,10,0,0.0,2,28.0,9dadc297,Charles,Vizela,True
Benfica,Arouca,1628960400,gr GRE,27-110,90,1,0,1,100.0,0.3,2,2,100.0,12,4,16.7,25.8,2,0.0,24.0,2,0,0.0,2,19.7,03df04ff,Odisseas Vlachodimos,Benfica,True
Braga,Sporting CP,1628969400,br BRA,29-026,90,3,2,1,33.3,1.1,4,12,33.3,38,5,31.6,34.9,5,0.0,23.4,9,0,0.0,1,14.0,ef3909cd,Matheus,Braga,True
Portimonense,Gil Vicente FC,1629037800,br BRA,27-139,90,4,1,3,75.0,0.3,5,11,45.5,33,4,24.2,33.7,8,37.5,39.4,8,0,0.0,2,23.0,554067e3,Samuel Portugal,Portimonense,True
Famalicão,Porto,1629046800,br BRA,20-213,90,4,2,2,50.0,1.3,3,12,25.0,23,5,30.4,30.9,9,55.6,37.4,4,0,0.0,1,15.0,d0530e29,Luiz Lúcio Reis Júnior,Famalicão,True
Santa Clara,Moreirense,1629055800,pt POR,26-291,90,4,2,2,75.0,2.3,1,14,7.1,27,3,44.4,36.8,5,40.0,36.8,11,0,0.0,0,,93d5feb6,Ricardo Fernandes,Santa Clara,True
Boavista,Paços de Ferreira,1629136800,br BRA,40-103,90,5,0,5,100.0,1.2,7,24,29.2,23,3,73.9,48.9,7,100.0,61.4,21,1,4.8,0,4.3,5f7d2dfe,Rafael Bracalli,Boavista,True
Belenenses SAD,Marítimo,1629144900,br BRA,24-114,90,4,2,2,50.0,2.1,4,14,28.6,22,4,40.9,35.0,8,62.5,44.8,8,1,12.5,1,11.0,185084a1,Luiz Felipe,Belenenses SAD,True
Arouca,Famalicão,1629482400,br BRA,24-143,90,5,1,4,80.0,1.0,7,14,50.0,24,4,50.0,42.2,5,40.0,33.0,15,2,13.3,2,13.0,b8a82624,Fernando Castro,Arouca,True
Moreirense,Braga,1629490500,br BRA,29-053,90,7,3,4,57.1,2.4,6,16,37.5,20,2,55.0,44.2,7,71.4,50.4,5,0,0.0,0,16.0,f16f9b47,Mateus Pasinato,Moreirense,True
Gil Vicente FC,Benfica,1629565200,ru RUS,30-263,90,7,2,5,71.4,2.3,8,28,28.6,31,3,58.1,41.2,12,83.3,54.9,19,1,5.3,2,12.2,b8798a46,Stanislav Kritsyuk,Gil Vicente FC,True
Sporting CP,Belenenses SAD,1629574200,es ESP,34-100,90,0,0,0,,0.0,5,7,71.4,22,3,18.2,27.7,9,33.3,26.3,1,0,0.0,1,25.0,65d62814,Antonio Adán,Sporting CP,True
Tondela,Portimonense,1629642600,mr MTN,24-245,90,5,3,2,60.0,2.3,3,5,60.0,29,5,13.8,24.2,3,33.3,28.0,7,0,0.0,0,,5c8beb50,Babacar Niasse,Tondela,True
Marítimo,Porto,1629651600,br BRA,34-222,90,4,1,3,75.0,1.1,7,17,41.2,26,9,34.6,31.9,15,53.3,39.6,16,0,0.0,0,8.0,68a3e731,Paulo Victor Vidotti,Marítimo,True
Vitória Guimarães,Vizela,1629660600,cz CZE,22-324,90,2,0,2,100.0,0.3,4,10,40.0,29,3,27.6,29.6,3,66.7,44.3,2,0,0.0,0,,393f7c58,Matouš Trmal,Vitória Guimarães,True
Paços de Ferreira,Estoril,1629741600,pt POR,25-086,90,3,3,0,33.3,2.2,3,13,23.1,23,5,39.1,33.3,9,44.4,34.0,7,2,28.6,4,18.7,12c6cbef,André Ferreira,Paços de Ferreira,True
