home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
Famalicão,Benfica,1600452000,4d77b365,Darwin Núñez, Benfica,0.32,,Off Target,9,Head,,47dc80f5,Adel Taarabt,Pass (Dead),70cf63ca,Rafa Silva,Fouled,7,False
Famalicão,Benfica,1600452000,e5a35ae9,Luca Waldschmidt, Benfica,0.07,,Off Target,9,Left Foot,,e5a35ae9,Luca Waldschmidt,Take-On,b1cbc666,Everton Soares,Pass (Live),8,False
Famalicão,Benfica,1600452000,e5a35ae9,Luca Waldschmidt, Benfica,0.24,0.12,Goal,15,Left Foot,,,,,,,,19,False
Famalicão,Benfica,1600452000,071b6ba9,Gonçalo Rodrigues, Famalicão,0.04,0.32,Saved,21,Right Foot,,656a96c6,Rúben Lameiras,Pass (Live),071b6ba9,Gonçalo Rodrigues,Pass (Live),20,False
Famalicão,Benfica,1600452000,d08df77c,Carlos Valenzuela, Famalicão,0.03,,Blocked,24,Left Foot,,071b6ba9,Gonçalo Rodrigues,Shot,,,,21,False
Famalicão,Benfica,1600452000,b1cbc666,Everton Soares, Benfica,0.05,0.43,Goal,22,Right Foot,,67b3d74b,André Almeida,Pass (Live),70cf63ca,Rafa Silva,Pass (Live),21,False
Famalicão,Benfica,1600452000,70cf63ca,Rafa Silva, Benfica,0.12,,Off Target,4,Right Foot,Volley,b1cbc666,Everton Soares,Pass (Live),0d10333c,Gabriel,Pass (Live),23,False
Famalicão,Benfica,1600452000,4d77b365,Darwin Núñez, Benfica,0.11,,Off Target,11,Right Foot,,47dc80f5,Adel Taarabt,Pass (Live),67b3d74b,André Almeida,Pass (Live),24,False
Famalicão,Benfica,1600452000,b1f4086c,Álex Grimaldo, Benfica,0.03,,Blocked,28,Left Foot,,47dc80f5,Adel Taarabt,Pass (Live),70cf63ca,Rafa Silva,Pass (Live),31,False
Famalicão,Benfica,1600452000,31c69ef1,Rúben Dias, Benfica,0.05,0.26,Saved,10,Head,,70cf63ca,Rafa Silva,Pass (Live),e5a35ae9,Luca Waldschmidt,Pass (Dead),37,False
Famalicão,Benfica,1600452000,b1f4086c,Álex Grimaldo, Benfica,0.07,0.45,Goal,21,Left Foot,Free kick,47dc80f5,Adel Taarabt,Fouled,,,,42,False
Famalicão,Benfica,1600452000,e857a755,Patrick, Famalicão,0.07,,Off Target,12,Right Foot,,d08df77c,Carlos Valenzuela,Pass (Live),,,,47,False
Famalicão,Benfica,1600452000,70cf63ca,Rafa Silva, Benfica,0.56,0.95,Goal,10,Left Foot,,70cf63ca,Rafa Silva,Take-On,b1cbc666,Everton Soares,Pass (Live),52,False
Famalicão,Benfica,1600452000,e5a35ae9,Luca Waldschmidt, Benfica,0.33,0.68,Saved,5,Head,,b1f4086c,Álex Grimaldo,Pass (Live),b1cbc666,Everton Soares,Pass (Live),58,False
Famalicão,Benfica,1600452000,e5a35ae9,Luca Waldschmidt, Benfica,0.84,0.97,Goal,3,Left Foot,,4d77b365,Darwin Núñez,Pass (Live),e5a35ae9,Luca Waldschmidt,Pass (Live),66,False
Famalicão,Benfica,1600452000,071b6ba9,Gonçalo Rodrigues, Famalicão,0.37,0.65,Goal,10,Right Foot,,656a96c6,Rúben Lameiras,Pass (Live),656a96c6,Rúben Lameiras,Take-On,68,False
Famalicão,Benfica,1600452000,96094cbc,Pizzi, Benfica,0.09,,Off Target,11,Right Foot,,8b529245,Carlos Vinícius,Pass (Live),f4b52308,Diogo Gonçalves,Pass (Live),77,False
Famalicão,Benfica,1600452000,8b529245,Carlos Vinícius, Benfica,0.09,,Off Target,10,Left Foot,Volley,a65c844b,Nuno Tavares,Pass (Live),a65c844b,Nuno Tavares,Take-On,84,False
Famalicão,Benfica,1600452000,8eebb330,Walterson, Famalicão,0.03,,Off Target,30,Right Foot,,bdacf12b,Matheus dos Santos Clemente,Pass (Live),8e00cf1b,Ruben Del Campo,Pass (Live),85,False
Famalicão,Benfica,1600452000,656a96c6,Rúben Lameiras, Famalicão,0.04,,Woodwork,22,Left Foot,,e857a755,Patrick,Pass (Live),e857a755,Patrick,Interception,90+1,False
Vitória Guimarães,Belenenses SAD,1600460100,6388e356,Falaye Sacko, Vitória,0.02,,Off Target,25,Right Foot,,22a62523,Nicolas Janvier,Pass (Live),9f31b1d3,André André,Pass (Live),8,False
Vitória Guimarães,Belenenses SAD,1600460100,22a62523,Nicolas Janvier, Vitória,0.03,0.06,Saved,21,Right Foot,Volley,c738a5ec,Rochinha,Pass (Live),c738a5ec,Rochinha,Take-On,15,False
Vitória Guimarães,Belenenses SAD,1600460100,22a62523,Nicolas Janvier, Vitória,0.04,,Blocked,17,Right Foot,,c738a5ec,Rochinha,Pass (Dead),57760e66,Marcus Edwards,Pass (Live),19,False
Vitória Guimarães,Belenenses SAD,1600460100,f84a807c,Lyle Foster, Vitória,0.05,,Blocked,17,Right Foot,,f84a807c,Lyle Foster,Pass (Live),6388e356,Falaye Sacko,Pass (Live),29,False
