home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Heerenveen,Sparta Rotterdam,1659722400,nl NED,28-120,90,1,0,1,100.0,0.2,11,23,47.8,51,3,39.2,33.2,3,100.0,59.3,20,1,5.0,1,11.0,2dc9d6fb,Andries Noppert,Heerenveen,True
Fortuna Sittard,Ajax,1659796200,nl NED,25-135,90,4,3,1,25.0,2.0,9,20,45.0,22,3,59.1,42.2,10,70.0,48.6,16,3,18.8,0,10.3,f1655231,Yanick van Osch,Fortuna Sittard,True
Cambuur,Excelsior,1659804300,pt POR,22-300,90,4,2,2,50.0,1.8,1,7,14.3,39,9,17.9,27.5,0,,,8,2,25.0,2,17.8,728e9b2e,João Virgínia,Cambuur,True
PSV Eindhoven,Emmen,1659808800,ar ARG,29-199,90,2,1,1,50.0,1.0,2,4,50.0,30,3,13.3,22.6,5,0.0,20.6,11,3,27.3,1,11.2,8a2248b4,Walter Benítez,PSV Eindhoven,True
RKC Waalwijk,Utrecht,1659812400,nl NED,27-011,90,3,2,1,33.3,1.7,9,27,33.3,31,5,61.3,42.7,11,72.7,57.5,22,3,13.6,0,6.2,5622d68b,Etienne Vaessen,RKC Waalwijk,True
Groningen,Volendam,1659867300,nl NED,25-247,90,3,2,1,33.3,1.7,4,15,26.7,48,7,22.9,28.2,9,44.4,43.3,7,1,14.3,2,18.0,424595d5,Michael Verrips,Groningen,True
Vitesse,Feyenoord,1659875400,nl NED,26-170,90,8,5,3,37.5,3.9,3,14,21.4,36,9,33.3,30.6,5,40.0,37.8,12,0,0.0,2,13.6,6d8ec266,Jeroen Houwen,Vitesse,True
NEC Nijmegen,Twente,1659875400,nl NED,28-219,90,2,1,1,50.0,0.7,7,23,30.4,24,4,54.2,45.4,12,83.3,52.3,19,2,10.5,0,6.0,b74a2c78,Mattijs Branderhorst,NEC Nijmegen,True
AZ Alkmaar,Go Ahead Eagles,1659883500,nl NED,29-127,90,2,0,2,100.0,1.0,4,13,30.8,27,5,37.0,33.5,4,75.0,49.5,9,0,0.0,0,9.0,9f82f7c2,Hobie Verhulst,AZ Alkmaar,True
Excelsior,Vitesse,1660327200,nl NED,25-298,90,6,1,5,83.3,2.3,6,19,31.6,25,9,44.0,42.7,13,61.5,52.7,22,0,0.0,2,22.0,af72ff2d,Stijn van Gassel,Excelsior,True
Go Ahead Eagles,PSV Eindhoven,1660409100,nl NED,24-134,90,11,5,5,54.5,4.1,11,24,45.8,30,1,70.0,47.2,6,50.0,41.8,15,0,0.0,2,22.0,c31cf14b,Jeffrey De Lange,Go Ahead Eagles,True
