home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,player_id,player,squad,start
Bayern Munich,Hertha BSC,1565980200,9,pl POL,FW,30-360,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8d78e732,Robert Lewandowski,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,29,fr FRA,LW,23-064,90,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0,042e8a49,Kingsley Coman,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,22,de GER,RW,24-033,86,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,88e357ef,Serge Gnabry,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,19,ca CAN,RW,18-287,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,d781d855,Alphonso Davies,Bayern Munich,False
Bayern Munich,Hertha BSC,1565980200,24,fr FRA,LM,25-013,90,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,652d4c37,Corentin Tolisso,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,6,es ESP,CM,28-127,90,1,1,0,1,0,0,1,0.0,1,0,0,0,3,4,0,0,77e84962,Thiago Alcántara,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,25,de GER,RM,29-337,84,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0,3c6089ab,Thomas Müller,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,35,pt POR,RM,21-363,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,032f894e,Renato Sanches,Bayern Munich,False
Bayern Munich,Hertha BSC,1565980200,27,at AUT,LB,27-053,90,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,1,0,05439de2,David Alaba,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,5,fr FRA,CB,23-141,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,45a03961,Benjamin Pavard,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,4,de GER,CB,23-347,90,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,1,1,e33c06cf,Niklas Süle,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,32,de GER,RB,24-189,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,49296448,Joshua Kimmich,Bayern Munich,True
Bayern Munich,Hertha BSC,1565980200,1,de GER,GK,33-142,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,8778c910,Manuel Neuer,Bayern Munich,True
Wolfsburg,Köln,1566048600,9,nl NED,FW,27-010,87,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,c4e87b8b,Wout Weghorst,Wolfsburg,True
Wolfsburg,Köln,1566048600,22,de GER,FW,20-246,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0cc5f4a5,Lukas Nmecha,Wolfsburg,False
Wolfsburg,Köln,1566048600,40,br BRA,AM,25-143,90,3,2,0,3,0,0,5,0.0,5,3,0,3,0,3,1,0,1a1033a1,João Victor Santos Sá,Wolfsburg,True
Wolfsburg,Köln,1566048600,11,de GER,AM,26-338,81,5,3,0,3,2,2,2,100.0,0,1,0,1,0,5,0,0,aeda1f69,Felix Klaus,Wolfsburg,True
Wolfsburg,Köln,1566048600,7,hr CRO,AM,21-055,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,d4a2533d,Josip Brekalo,Wolfsburg,False
Wolfsburg,Köln,1566048600,27,de GER,CM,25-082,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,3,0,86e119e0,Maximilian Arnold,Wolfsburg,True
Wolfsburg,Köln,1566048600,24,at AUT,CM,21-323,90,3,2,1,2,0,0,1,0.0,1,1,0,1,1,4,2,0,8f056768,Xaver Schlager,Wolfsburg,True
Wolfsburg,Köln,1566048600,15,fr FRA,WB,26-223,73,0,0,0,0,0,0,1,0.0,1,2,0,2,3,3,5,0,13203c45,Jérôme Roussillon,Wolfsburg,True
Wolfsburg,Köln,1566048600,8,ch SUI,WB,27-287,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,dd669209,Renato Steffen,Wolfsburg,False
Wolfsburg,Köln,1566048600,2,br BRA,WB,24-136,90,2,1,2,0,0,2,2,100.0,0,1,1,0,3,5,6,0,d4d0a9ad,William,Wolfsburg,True
Wolfsburg,Köln,1566048600,25,us USA,CB,26-201,90,1,1,1,0,0,1,1,100.0,0,3,3,0,0,1,4,0,e27da244,John Brooks,Wolfsburg,True
Wolfsburg,Köln,1566048600,23,fr FRA,CB,28-332,90,1,0,0,1,0,0,0,,0,2,1,1,0,1,9,0,e6c43eec,Josuha Guilavogui,Wolfsburg,True
Wolfsburg,Köln,1566048600,31,de GER,CB,27-087,90,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,1,6bd5cd5d,Robin Knoche,Wolfsburg,True
Wolfsburg,Köln,1566048600,1,be BEL,GK,27-053,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,db401046,Koen Casteels,Wolfsburg,True
Freiburg,Mainz 05,1566048600,18,de GER,FW,30-254,90,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,2,0,f93e6e94,Nils Petersen,Freiburg,True
Freiburg,Mainz 05,1566048600,11,de GER,FW,23-090,88,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,e5a35ae9,Luca Waldschmidt,Freiburg,True
Freiburg,Mainz 05,1566048600,6,al ALB,"CM,FW",29-143,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1c08a3c8,Amir Abrashi,Freiburg,False
Freiburg,Mainz 05,1566048600,21,au AUS,AM,24-023,64,2,1,2,0,0,0,1,0.0,1,3,1,2,0,2,0,0,b4d90315,Brandon Borrello,Freiburg,True
Freiburg,Mainz 05,1566048600,9,de GER,"CM,FW",25-038,26,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,ca618d23,Lucas Höler,Freiburg,False
Freiburg,Mainz 05,1566048600,27,de GER,CM,29-161,90,3,3,1,1,1,2,3,66.7,1,2,2,0,1,4,1,0,5d8e331f,Nicolas Höfler,Freiburg,True
Freiburg,Mainz 05,1566048600,20,de GER,CM,31-052,59,4,3,3,0,1,3,4,75.0,1,2,1,1,0,4,2,0,49ffe0f2,Jérôme Gondorf,Freiburg,True
Freiburg,Mainz 05,1566048600,8,de GER,"FW,AM",32-307,31,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,482b70ad,Mike Frantz,Freiburg,False
