home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Benfica,Arouca,1659726900,gr GRE,28-101,90,2,0,2,100.0,0.1,2,2,100.0,18,6,11.1,24.3,1,0.0,30.0,5,0,0.0,0,10.0,03df04ff,Odisseas Vlachodimos,Benfica,True
Rio Ave,Vizela,1659796200,br BRA,31-090,90,7,1,6,85.7,2.9,4,9,44.4,36,9,25.0,30.8,5,0.0,21.6,13,0,0.0,2,14.5,52479cc2,Jhonatan,Rio Ave,True
Estoril,Famalicão,1659805200,pt POR,24-017,90,5,0,4,100.0,1.4,2,18,11.1,28,10,42.9,40.1,9,66.7,57.6,21,3,14.3,0,6.3,f7c68686,Daniel Leite,Estoril,True
Porto,Marítimo,1659814200,pt POR,22-321,90,3,1,2,66.7,1.3,3,4,75.0,29,0,6.9,22.9,10,20.0,26.8,14,1,7.1,1,14.0,93fffbcf,Diogo Costa,Porto,True
Santa Clara,Casa Pia,1659882600,pt POR,35-207,90,3,0,2,100.0,1.7,2,9,22.2,24,4,29.2,37.5,7,28.6,40.9,14,0,0.0,0,12.0,5cd73451,Marco André Rocha Pereira,Santa Clara,True
Braga,Sporting CP,1659891600,br BRA,30-019,90,4,3,1,25.0,1.8,5,13,38.5,35,5,34.3,34.1,10,10.0,22.4,8,0,0.0,4,27.2,ef3909cd,Matheus,Braga,True
Portimonense,Boavista,1659900600,br BRA,28-131,90,5,1,4,80.0,0.8,3,9,33.3,37,6,24.3,29.7,2,0.0,17.5,13,0,0.0,1,21.3,554067e3,Samuel Portugal,Portimonense,True
Chaves,Vitória Guimarães,1659900600,br BRA,33-259,90,6,1,5,83.3,0.7,3,9,33.3,24,5,29.2,31.9,5,40.0,38.6,11,2,18.2,1,14.0,077977c0,Paulo Vítor Fagundes dos Anjos,Chaves,True
Gil Vicente FC,Paços de Ferreira,1659986100,br BRA,21-038,90,5,0,5,100.0,0.6,2,8,25.0,26,7,23.1,29.7,7,28.6,33.0,16,0,0.0,0,8.7,40406a00,Andrew,Gil Vicente FC,True
Famalicão,Braga,1660331700,br BRA,21-210,90,9,3,6,66.7,2.2,11,18,61.1,20,7,45.0,38.1,12,75.0,47.9,21,3,14.3,1,8.6,d0530e29,Luiz Lúcio Reis Júnior,Famalicão,True
Casa Pia,Benfica,1660410000,pt POR,35-267,90,3,1,2,66.7,1.1,5,10,50.0,29,9,17.2,25.9,12,41.7,36.1,15,0,0.0,0,7.8,abef8824,Ricardo Batista,Casa Pia,True
Sporting CP,Rio Ave,1660419000,es ESP,35-092,90,1,0,1,100.0,0.0,1,4,25.0,22,4,9.1,27.4,7,28.6,35.4,5,1,20.0,4,21.2,65d62814,Antonio Adán,Sporting CP,True
Boavista,Santa Clara,1660487400,br BRA,41-101,90,1,1,0,0.0,0.7,5,6,83.3,12,2,25.0,29.3,6,50.0,47.0,10,1,10.0,2,15.8,5f7d2dfe,Rafael Bracalli,Boavista,True
Vizela,Porto,1660496400,hr CRO,25-171,90,4,1,3,75.0,0.8,6,24,25.0,15,2,66.7,50.7,20,70.0,50.2,26,0,0.0,0,,f566b29e,Fabijan Buntić,Vizela,True
Vitória Guimarães,Estoril,1660505400,pt POR,27-283,90,4,0,4,100.0,1.5,4,16,25.0,30,4,43.3,38.7,6,50.0,48.7,12,3,25.0,2,14.7,2bea06e0,Bruno Varela,Vitória Guimarães,True
Marítimo,Chaves,1660573800,pt POR,27-130,90,7,2,5,71.4,2.0,10,24,41.7,25,6,44.0,37.1,13,100.0,67.5,10,0,0.0,2,15.0,1c98558c,João Miguel Macedo Silva,Marítimo,True
