home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,player_id,player,squad,start
Cruz Azul,Puebla,1532210400,9,ar ARG,FW,29-232,90,9,16,56.3,80,10,6,7,85.7,1,4,25.0,0,0,,0,0.0,0.0,1,1,0,0,1,abc7b250,Milton Caraglio,Cruz Azul,True
Cruz Azul,Puebla,1532210400,11,mx MEX,"LW,WB",30-083,90,33,38,86.8,737,244,12,12,100.0,12,13,92.3,9,13,69.2,1,1.0,0.5,4,4,2,1,5,09b2bf95,Elías Hernández,Cruz Azul,True
Cruz Azul,Puebla,1532210400,17,es ESP,"RW,WB",28-200,71,4,8,50.0,45,16,4,4,100.0,0,2,0.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1,aed746df,Édgar Méndez,Cruz Azul,True
Cruz Azul,Puebla,1532210400,18,co COL,WB,25-137,19,1,2,50.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,d076c70c,Andrés Rentería,Cruz Azul,False
Cruz Azul,Puebla,1532210400,25,mx MEX,"AM,CM",19-317,75,13,23,56.5,237,83,6,7,85.7,4,10,40.0,2,4,50.0,0,0.1,0.1,1,0,0,0,1,ff871e14,Roberto Alvarado,Cruz Azul,True
Cruz Azul,Puebla,1532210400,14,mx MEX,CM,18-267,15,3,5,60.0,58,24,0,0,,2,3,66.7,0,1,0.0,1,0.1,0.0,1,0,0,0,0,691bf9fe,Misael Domínguez,Cruz Azul,False
Cruz Azul,Puebla,1532210400,22,mx MEX,"DM,CM",28-313,90,27,34,79.4,534,152,13,15,86.7,10,12,83.3,4,7,57.1,0,0.0,0.0,1,4,0,0,5,fb40b861,Rafael Baca,Cruz Azul,True
Cruz Azul,Puebla,1532210400,23,ar ARG,"DM,CM",28-048,90,33,44,75.0,690,237,9,14,64.3,22,27,81.5,2,3,66.7,0,0.0,0.0,0,5,0,0,3,b14f755d,Iván Marcone,Cruz Azul,True
Cruz Azul,Puebla,1532210400,16,mx MEX,"LB,CB",30-037,90,39,48,81.3,765,392,16,16,100.0,19,21,90.5,4,10,40.0,0,0.0,0.0,1,5,0,0,7,cd5453d5,Adrián Aldrete,Cruz Azul,True
Cruz Azul,Puebla,1532210400,4,mx MEX,CB,30-255,90,35,40,87.5,713,261,11,11,100.0,15,17,88.2,9,11,81.8,0,0.0,0.0,0,2,0,0,4,99b865b7,Julio Domínguez,Cruz Azul,True
Cruz Azul,Puebla,1532210400,2,py PAR,CB,31-110,90,27,43,62.8,666,288,3,3,100.0,16,23,69.6,8,17,47.1,0,0.0,0.0,0,2,0,0,2,7bda3d90,Pablo César Aguilar,Cruz Azul,True
Cruz Azul,Puebla,1532210400,15,mx MEX,RB,32-166,56,22,38,57.9,409,252,7,9,77.8,14,17,82.4,1,7,14.3,0,0.0,0.0,0,3,0,0,5,7e9c78b9,Gerardo Flores Zúñiga,Cruz Azul,True
Cruz Azul,Puebla,1532210400,7,uy URU,FW,31-098,34,3,4,75.0,42,16,1,2,50.0,1,1,100.0,0,0,,0,0.4,0.2,2,0,1,1,0,6e7d7a7a,Martín Cauteruccio,Cruz Azul,False
Cruz Azul,Puebla,1532210400,1,mx MEX,GK,37-176,90,19,22,86.4,551,426,2,2,100.0,12,12,100.0,5,8,62.5,0,0.0,0.0,0,0,0,0,0,e39a7e9c,José Corona,Cruz Azul,True
