home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,player_id,player,squad,start
Lyon,Zenit,1568739300,9,fr FRA,FW,23-067,90,26,0,1,10,16,3,26,2,2,100.0,0,0.0,16,63,15,0,1,1,2,5,24,4,e7986081,Moussa Dembélé,Lyon,True
Lyon,Zenit,1568739300,11,nl NED,"LW,AM",25-216,90,87,0,6,27,54,7,86,8,6,75.0,2,25.0,56,386,243,8,3,5,1,3,67,18,8f696594,Memphis,Lyon,True
Lyon,Zenit,1568739300,10,bf BFA,RW,24-011,76,64,1,6,29,30,4,64,4,2,50.0,2,50.0,45,296,159,7,4,2,4,1,48,10,c47541e0,Bertrand Traoré,Lyon,True
Lyon,Zenit,1568739300,27,ci CIV,RW,22-355,14,9,0,0,2,7,1,9,1,0,0.0,1,100.0,7,75,38,2,1,1,0,0,7,1,beb391dd,Maxwel Cornet,Lyon,False
Lyon,Zenit,1568739300,12,br BRA,"LM,DM",27-186,90,91,1,8,58,25,3,91,0,0,,0,,62,329,231,7,6,1,1,1,71,3,c6e5d20f,Thiago Mendes,Lyon,True
Lyon,Zenit,1568739300,29,fr FRA,"CM,DM",22-141,90,57,3,12,39,6,0,57,0,0,,0,,36,135,64,0,0,0,0,0,42,0,71ec39ef,Lucas Tousart,Lyon,True
Lyon,Zenit,1568739300,17,fr FRA,RM,21-243,84,62,0,3,31,29,3,62,7,6,85.7,1,14.3,51,496,321,9,9,1,3,3,58,6,d504b3e1,Jeff Reine-Adélaïde,Lyon,True
Lyon,Zenit,1568739300,7,fr FRA,LW,22-197,6,3,0,0,2,1,0,3,0,0,,0,,4,34,26,1,0,0,0,0,5,1,5148dcc5,Martin Terrier,Lyon,False
Lyon,Zenit,1568739300,28,ml MLI,LB,24-074,90,89,4,21,47,22,0,89,2,2,100.0,0,0.0,54,242,176,2,3,0,2,1,68,3,e6eadfb8,Youssouf Koné,Lyon,True
Lyon,Zenit,1568739300,5,be BEL,CB,24-081,90,46,7,21,25,1,1,46,0,0,,0,,28,108,76,0,0,0,0,0,28,0,47af88b8,Jason Denayer,Lyon,True
Lyon,Zenit,1568739300,6,br BRA,CB,32-120,90,74,5,28,43,3,3,74,0,0,,0,,34,163,104,0,0,0,0,0,45,0,e3d0b0c4,Marcelo,Lyon,True
Lyon,Zenit,1568739300,14,fr FRA,RB,25-003,90,88,3,14,45,29,1,88,1,0,0.0,1,100.0,54,295,210,6,6,0,0,0,62,7,ff0ab48c,Leo Dubois,Lyon,True
Lyon,Zenit,1568739300,1,pt POR,GK,28-351,90,28,26,28,0,0,0,28,0,0,,0,,16,96,62,0,0,0,0,0,9,0,f00de885,Anthony Lopes,Lyon,True
Internazionale,Slavia Prague,1568739300,10,ar ARG,FW,22-026,71,22,0,1,13,8,4,22,0,0,,0,,10,67,26,2,0,1,2,3,17,3,f7036e1c,Lautaro Martínez,Internazionale,True
Internazionale,Slavia Prague,1568739300,16,it ITA,FW,26-045,19,18,0,0,6,12,0,18,2,2,100.0,0,0.0,9,82,21,1,0,0,0,0,13,3,5e861944,Matteo Politano,Internazionale,False
Internazionale,Slavia Prague,1568739300,9,be BEL,FW,26-127,90,26,1,1,4,21,4,26,1,0,0.0,1,100.0,10,39,9,0,1,0,2,0,15,7,5eae500a,Romelu Lukaku,Internazionale,True
Internazionale,Slavia Prague,1568739300,12,it ITA,CM,24-043,90,66,3,15,36,16,0,66,6,5,83.3,1,16.7,36,232,108,2,1,0,2,0,45,1,b70bde8f,Stefano Sensi,Internazionale,True
Internazionale,Slavia Prague,1568739300,77,hr CRO,CM,26-305,70,47,3,20,24,3,0,47,2,1,50.0,1,50.0,21,120,20,0,0,0,0,1,28,1,33b8d077,Marcelo Brozović,Internazionale,True
Internazionale,Slavia Prague,1568739300,23,it ITA,CM,22-222,20,20,0,2,12,6,1,20,1,0,0.0,1,100.0,10,48,16,0,0,0,0,1,14,3,6928979a,Nicolò Barella,Internazionale,False
Internazionale,Slavia Prague,1568739300,5,it ITA,CM,25-163,90,35,2,12,21,4,0,35,1,1,100.0,0,0.0,15,71,37,1,1,0,0,1,18,1,ce30bfc8,Roberto Gagliardini,Internazionale,True
Internazionale,Slavia Prague,1568739300,18,gh GHA,WB,30-282,90,37,0,7,17,13,0,37,0,0,,0,,15,80,47,2,0,1,0,0,19,5,089550f5,Kwadwo Asamoah,Internazionale,True
Internazionale,Slavia Prague,1568739300,87,it ITA,WB,32-201,48,25,0,10,12,3,1,25,0,0,,0,,10,72,49,2,0,1,1,0,14,3,356c9002,Antonio Candreva,Internazionale,True
Internazionale,Slavia Prague,1568739300,19,at AUT,WB,23-177,42,41,4,13,18,11,0,41,1,1,100.0,0,0.0,18,123,61,2,3,0,0,0,23,2,016ff750,Valentino Lazaro,Internazionale,False
Internazionale,Slavia Prague,1568739300,37,sk SVK,CB,24-218,90,65,5,20,41,5,0,65,1,1,100.0,0,0.0,31,193,149,1,1,0,0,0,40,1,30f5ffa9,Milan Škriniar,Internazionale,True
Internazionale,Slavia Prague,1568739300,6,nl NED,CB,27-224,90,99,11,59,38,2,1,99,1,1,100.0,0,0.0,52,486,330,0,1,0,0,0,66,0,d0d8dd44,Stefan de Vrij,Internazionale,True
Internazionale,Slavia Prague,1568739300,33,it ITA,CB,31-008,90,81,3,43,34,4,1,81,2,1,50.0,1,50.0,47,232,129,2,0,0,0,1,63,0,44eb9093,Danilo D'Ambrosio,Internazionale,True
Internazionale,Slavia Prague,1568739300,1,si SVN,GK,35-065,90,49,43,49,0,0,0,49,1,1,100.0,0,0.0,27,195,161,0,0,0,0,0,31,0,74419746,Samir Handanović,Internazionale,True
Chelsea,Valencia,1568746800,9,eng ENG,FW,21-350,90,24,0,0,6,18,9,24,2,1,50.0,1,50.0,13,52,14,0,0,0,3,1,21,4,f586779e,Tammy Abraham,Chelsea,True
Chelsea,Valencia,1568746800,19,eng ENG,AM,20-250,15,8,0,1,4,3,0,8,0,0,,0,,2,9,3,0,0,0,0,0,3,0,9674002f,Mason Mount,Chelsea,True
Chelsea,Valencia,1568746800,11,es ESP,"AM,WB",32-051,75,52,1,5,25,22,2,52,1,0,0.0,1,100.0,39,241,97,4,2,0,2,2,43,7,3ca7254a,Pedro,Chelsea,False
Chelsea,Valencia,1568746800,10,br BRA,AM,31-039,90,52,0,1,14,40,5,52,11,9,81.8,2,18.2,31,305,222,6,6,2,2,0,38,8,8b9ebd03,Willian,Chelsea,True
Chelsea,Valencia,1568746800,17,hr CRO,CM,25-134,79,74,0,9,45,21,0,74,3,2,66.7,1,33.3,50,355,79,1,6,0,2,1,59,2,79c0821a,Mateo Kovačić,Chelsea,True
Chelsea,Valencia,1568746800,8,eng ENG,CM,25-286,11,7,0,0,2,5,3,6,0,0,,0,,3,24,18,1,1,1,0,0,4,2,3a24769f,Ross Barkley,Chelsea,False
Chelsea,Valencia,1568746800,5,it ITA,CM,27-271,90,102,0,11,70,22,1,102,1,1,100.0,0,0.0,77,460,284,8,1,0,0,2,85,4,45db685d,Jorginho,Chelsea,True
Chelsea,Valencia,1568746800,3,es ESP,WB,28-263,90,70,1,12,27,31,5,70,0,0,,0,,40,156,89,3,2,1,1,0,46,16,f4290206,Marcos Alonso,Chelsea,True
Chelsea,Valencia,1568746800,28,es ESP,"WB,CB",30-020,90,83,0,15,31,37,3,83,0,0,,0,,49,261,198,4,5,0,0,0,63,24,53cad200,César Azpilicueta,Chelsea,True
Chelsea,Valencia,1568746800,29,eng ENG,CB,21-272,90,97,6,34,54,9,3,97,0,0,,0,,65,294,98,1,2,2,2,0,75,1,7edfbb8a,Fikayo Tomori,Chelsea,True
Chelsea,Valencia,1568746800,4,dk DEN,CB,23-160,90,71,5,27,43,1,1,71,0,0,,0,,46,166,56,0,0,0,0,0,57,0,1cb49278,Andreas Christensen,Chelsea,True
Chelsea,Valencia,1568746800,15,fr FRA,CB,24-325,72,59,2,21,36,3,0,59,0,0,,0,,42,207,159,1,0,0,0,0,52,0,ce4246f5,Kurt Zouma,Chelsea,True
Chelsea,Valencia,1568746800,18,fr FRA,FW,32-352,18,4,0,0,1,3,1,4,1,1,100.0,0,0.0,1,9,8,1,0,1,0,0,3,1,16ceb862,Olivier Giroud,Chelsea,False
Chelsea,Valencia,1568746800,1,es ESP,GK,24-349,90,26,20,26,0,0,0,26,0,0,,0,,14,55,47,0,0,0,0,0,11,0,28d596a0,Kepa Arrizabalaga,Chelsea,True
Benfica,RB Leipzig,1568746800,73,,FW,20-171,66,,,,,,,,,,,,,,,,,,,,,,,8c5f1522,Jota,Benfica,True
Benfica,RB Leipzig,1568746800,92,cv CPV,"LM,DM,FW",20-183,24,9,0,2,6,1,0,9,0,0,,0,,7,31,4,0,0,0,0,1,10,2,70bc68ef,David Tavares,Benfica,False
Benfica,RB Leipzig,1568746800,9,es ESP,FW,24-335,90,31,4,6,13,12,4,31,0,0,,0,,17,68,23,0,1,0,4,3,21,6,02ef8778,Raúl de Tomás,Benfica,True
Benfica,RB Leipzig,1568746800,11,ar ARG,"LM,RW",25-114,75,42,2,16,19,7,2,42,1,0,0.0,1,100.0,19,85,41,1,1,0,1,0,18,5,5e1028e5,Franco Cervi,Benfica,True
Benfica,RB Leipzig,1568746800,14,ch SUI,FW,27-207,15,6,0,1,2,3,2,6,0,0,,0,,5,16,4,0,0,0,0,0,6,1,a45eac1f,Haris Seferović,Benfica,False
Benfica,RB Leipzig,1568746800,49,ma MAR,"CM,AM",30-116,90,72,5,19,43,13,2,72,8,6,75.0,2,25.0,47,318,185,3,3,0,4,1,50,1,47dc80f5,Adel Taarabt,Benfica,True
Benfica,RB Leipzig,1568746800,5,rs SRB,"CM,DM",31-034,90,64,1,17,43,5,0,64,0,0,,0,,34,149,53,0,1,0,1,0,40,0,874d7a32,Ljubomir Fejsa,Benfica,True
Benfica,RB Leipzig,1568746800,21,pt POR,"RM,LW",29-346,75,67,1,12,31,24,5,67,2,1,50.0,1,50.0,41,196,66,4,0,2,2,1,51,8,96094cbc,Pizzi,Benfica,True
Benfica,RB Leipzig,1568746800,27,pt POR,RM,26-123,15,10,0,1,6,3,2,10,1,1,100.0,0,0.0,10,52,28,0,0,0,0,0,9,1,70cf63ca,Rafa Silva,Benfica,False
Benfica,RB Leipzig,1568746800,3,es ESP,LB,23-362,90,84,6,31,24,29,1,84,4,2,50.0,2,50.0,46,223,130,3,4,0,0,1,50,6,b1f4086c,Álex Grimaldo,Benfica,True
Benfica,RB Leipzig,1568746800,97,pt POR,CB,22-175,90,72,11,46,26,0,0,72,0,0,,0,,44,225,169,1,0,0,2,0,52,0,4b3c863f,Francisco Reis Ferreira,Benfica,True
Benfica,RB Leipzig,1568746800,6,pt POR,CB,22-126,90,82,17,53,28,1,0,82,0,0,,0,,51,259,148,0,0,0,0,0,57,0,31c69ef1,Rúben Dias,Benfica,True
Benfica,RB Leipzig,1568746800,84,pt POR,RB,18-194,90,90,6,34,47,10,0,90,2,1,50.0,1,50.0,49,209,112,1,2,0,3,1,52,3,0dce3356,Tomás Tavares,Benfica,True
