home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,player_id,player,squad,start
Portimonense,Belenenses SAD,1565379000,95,br BRA,FW,23-337,86,0,0,0,0,4,1,0,0,25,0,0,1,0.4,0.4,0.0,2,0,8,14,57.1,2,13,0,0,0,555311f2,Iury de Castilho,Portimonense,True
Portimonense,Belenenses SAD,1565379000,14,gw GNB,FW,21-190,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,ed5c0319,Beto,Portimonense,False
Portimonense,Belenenses SAD,1565379000,77,pt POR,LW,25-320,72,0,0,0,0,1,0,0,0,36,0,1,0,0.0,0.0,0.1,3,0,18,26,69.2,2,30,2,4,3,b0332f23,Aylton Boa Morte,Portimonense,True
Portimonense,Belenenses SAD,1565379000,11,co COL,LW,22-323,18,0,0,0,0,0,0,0,0,7,1,1,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,8499c713,Marlos Moreno,Portimonense,False
Portimonense,Belenenses SAD,1565379000,10,,RW,22-132,90,0,0,0,0,1,1,0,0,47,2,0,0,0.0,0.0,0.0,5,0,26,36,72.2,9,36,4,2,1,2e0f6a18,Bruno Tabata,Portimonense,True
Portimonense,Belenenses SAD,1565379000,8,br BRA,LM,25-030,90,0,0,0,0,6,2,0,0,63,4,1,0,0.2,0.2,0.0,8,0,36,47,76.6,11,43,6,2,2,ec758139,Paulinho,Portimonense,True
Portimonense,Belenenses SAD,1565379000,21,pt POR,CM,25-251,90,0,0,0,0,1,1,1,0,64,3,1,0,0.0,0.0,0.0,1,0,44,58,75.9,12,30,1,0,0,7dfb980a,Pedro Sá,Portimonense,True
Portimonense,Belenenses SAD,1565379000,5,br BRA,RM,23-211,79,0,0,0,0,1,0,0,0,32,0,1,0,0.1,0.1,0.1,3,0,18,25,72.0,2,13,1,0,0,905e06a3,Romulo,Portimonense,True
Portimonense,Belenenses SAD,1565379000,72,br BRA,RM,22-016,11,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,d7d6c525,Everson,Portimonense,False
Portimonense,Belenenses SAD,1565379000,19,br BRA,LB,24-216,90,0,0,0,0,1,0,0,0,69,1,1,0,0.0,0.0,0.1,2,0,43,61,70.5,5,37,5,0,0,031a71b4,Henrique,Portimonense,True
Portimonense,Belenenses SAD,1565379000,28,br BRA,CB,24-194,90,0,0,0,0,0,0,0,0,66,2,3,1,0.0,0.0,0.0,0,0,44,58,75.9,3,34,0,0,0,577d7bf9,Willyan,Portimonense,True
Portimonense,Belenenses SAD,1565379000,4,br BRA,CB,27-277,90,0,0,0,0,0,0,0,0,60,4,4,1,0.0,0.0,0.0,0,0,43,50,86.0,3,34,0,0,0,09862e96,Jadson,Portimonense,True
Portimonense,Belenenses SAD,1565379000,22,jp JPN,RB,24-070,90,0,0,0,0,1,0,0,0,51,0,0,0,0.0,0.0,0.3,2,0,31,47,66.0,3,20,1,2,1,d3c53a16,Koki Anzai,Portimonense,True
Portimonense,Belenenses SAD,1565379000,1,pt POR,GK,29-249,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,23,39,59.0,0,18,0,0,0,71cab4ee,Ricardo Abel Barbosa Ferreira,Portimonense,True
Santa Clara,Famalicão,1565451000,95,br BRA,FW,23-304,90,0,0,0,0,7,2,0,0,29,1,0,1,0.7,0.7,0.3,7,0,9,13,69.2,4,15,0,3,2,6b074beb,Guilherme Schettine,Santa Clara,True
Santa Clara,Famalicão,1565451000,13,br BRA,"LW,LM",23-360,90,0,0,0,0,3,0,0,0,46,3,1,2,0.6,0.6,0.0,5,0,13,23,56.5,1,21,2,7,2,901e930c,Carlos,Santa Clara,True
Santa Clara,Famalicão,1565451000,7,pt POR,"RW,RM",31-147,70,0,0,0,0,1,0,0,0,31,1,0,1,0.0,0.0,0.1,3,0,18,23,78.3,2,15,3,3,1,eb45e1d8,Ukra,Santa Clara,True
Santa Clara,Famalicão,1565451000,11,sv SLV,RM,24-000,20,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,7,8,87.5,1,8,1,1,1,ca7511da,Denis Pineda,Santa Clara,False
Santa Clara,Famalicão,1565451000,10,br BRA,AM,25-119,59,0,0,0,0,4,2,0,0,40,0,1,0,0.5,0.5,0.0,2,0,19,33,57.6,3,19,1,1,1,5a6b9bb9,Bruno Lamas,Santa Clara,True
Santa Clara,Famalicão,1565451000,14,br BRA,FW,26-187,31,0,0,0,0,2,2,0,0,15,1,0,1,0.2,0.2,0.0,2,0,7,8,87.5,3,10,2,1,0,84e67fe8,Thiago Santana,Santa Clara,False
Santa Clara,Famalicão,1565451000,6,iq IRQ,"DM,CM",27-209,90,0,0,0,0,1,0,0,0,51,1,2,2,0.0,0.0,0.4,4,0,31,40,77.5,4,20,1,0,0,fcbd5139,Osama Rashid,Santa Clara,True
Santa Clara,Famalicão,1565451000,88,pt POR,"DM,CM",24-122,80,0,0,0,0,0,0,0,0,30,3,0,0,0.0,0.0,0.0,1,0,23,26,88.5,5,17,0,1,0,3da610eb,Francisco Ramos,Santa Clara,True
Santa Clara,Famalicão,1565451000,21,pt POR,CM,24-061,10,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,5,0,0,0,34270aeb,Rui Filipe Cunha Correia,Santa Clara,False
