home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
CF Montréal,Toronto FC,1618682400,0aa41f67,Mason Toye, CF Montréal,0.21,0.54,Goal,17,Right Foot,,948a58c2,Zachary Brault-Guillard,Pass (Live),,,,3,False
CF Montréal,Toronto FC,1618682400,339a2561,Jacob Shaffelburg, Toronto FC,0.27,,Off Target,16,Left Foot,,fd5e3a73,Michael Bradley,Pass (Live),acb3e899,Ralph Priso-Mbongue,Pass (Live),6,False
CF Montréal,Toronto FC,1618682400,83cf9719,Djordje Mihailovic, CF Montréal,0.03,,Blocked,31,Left Foot,,948a58c2,Zachary Brault-Guillard,Pass (Live),47ddcc22,Joel Waterman,Pass (Live),12,False
CF Montréal,Toronto FC,1618682400,fd5e3a73,Michael Bradley, Toronto FC,0.05,,Off Target,25,Right Foot,Free kick,276fdbe4,Richie Laryea,Fouled,276fdbe4,Richie Laryea,Interception,15,False
CF Montréal,Toronto FC,1618682400,0aa41f67,Mason Toye, CF Montréal,0.14,,Off Target,9,Head,,4db20877,Mustafa Kizza,Pass (Live),e0900238,Victor Wanyama,Pass (Live),17,False
CF Montréal,Toronto FC,1618682400,4db20877,Mustafa Kizza, CF Montréal,0.02,,Off Target,38,Left Foot,,bc33c73b,Samuel Piette,Pass (Live),,,,20,False
CF Montréal,Toronto FC,1618682400,122e850d,Romell Quioto, CF Montréal,0.18,0.17,Goal,11,Right Foot,,47ddcc22,Joel Waterman,Pass (Live),,,,24,False
CF Montréal,Toronto FC,1618682400,6bc16162,Noble Okello, Toronto FC,0.08,0.23,Saved,12,Head,,339a2561,Jacob Shaffelburg,Pass (Live),7f6a25b7,Marky Delgado,Pass (Live),30,False
CF Montréal,Toronto FC,1618682400,b234cb0e,Auro, Toronto FC,0.03,,Off Target,28,Right Foot,,339a2561,Jacob Shaffelburg,Pass (Live),0d2fe665,Omar Gonzalez,Pass (Live),36,False
CF Montréal,Toronto FC,1618682400,0aa41f67,Mason Toye, CF Montréal,0.04,,Blocked,27,Right Foot,,,,,,,,39,False
CF Montréal,Toronto FC,1618682400,7f6a25b7,Marky Delgado, Toronto FC,0.79,0.99,Goal,13,Right Foot,,b234cb0e,Auro,Fouled,7f6a25b7,Marky Delgado,Pass (Live),45,True
CF Montréal,Toronto FC,1618682400,83cf9719,Djordje Mihailovic, CF Montréal,0.06,0.18,Saved,27,Right Foot,Free kick,83cf9719,Djordje Mihailovic,Fouled,83cf9719,Djordje Mihailovic,Take-On,45+2,False
CF Montréal,Toronto FC,1618682400,a03a84d3,Patrick Mullins, Toronto FC,0.15,,Off Target,11,Head,,b234cb0e,Auro,Pass (Live),6bc16162,Noble Okello,Pass (Live),45+4,False
CF Montréal,Toronto FC,1618682400,e0900238,Victor Wanyama, CF Montréal,0.09,0.35,Goal,6,Head,,4db20877,Mustafa Kizza,Pass (Dead),0aa41f67,Mason Toye,Pass (Live),54,False
CF Montréal,Toronto FC,1618682400,fd5e3a73,Michael Bradley, Toronto FC,0.14,,Off Target,12,Left Foot,,276fdbe4,Richie Laryea,Pass (Live),7f6a25b7,Marky Delgado,Pass (Live),63,False
CF Montréal,Toronto FC,1618682400,edc8791f,Jordan Perruzza, Toronto FC,0.07,,Off Target,14,Left Foot,,edc8791f,Jordan Perruzza,Take-On,,,,64,False
CF Montréal,Toronto FC,1618682400,122e850d,Romell Quioto, CF Montréal,0.06,,Off Target,9,Head,,b11e6f2b,Erik Hurtado,Pass (Live),b11e6f2b,Erik Hurtado,Take-On,67,False
CF Montréal,Toronto FC,1618682400,83cf9719,Djordje Mihailovic, CF Montréal,0.26,0.70,Goal,11,Right Foot,,b11e6f2b,Erik Hurtado,Pass (Live),948a58c2,Zachary Brault-Guillard,Pass (Live),71,False
CF Montréal,Toronto FC,1618682400,b234cb0e,Auro, Toronto FC,0.03,,Off Target,30,Right Foot,,21490b0d,Nick DeLeon,Pass (Live),276fdbe4,Richie Laryea,Pass (Live),73,False
