home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,player_id,player,squad,start
Famalicão,Benfica,1600452000,19,es ESP,FW,23-080,62,25,20,5,0,0,0,1,0,0,0,0,0,19,0,0,f3945e07,Toni Martínez,Famalicão,True
Famalicão,Benfica,1600452000,9,ch SUI,FW,20-209,28,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,8e00cf1b,Ruben Del Campo,Famalicão,False
Famalicão,Benfica,1600452000,22,ar ARG,FW,23-149,75,16,16,0,0,0,0,1,0,0,0,0,0,9,0,1,d08df77c,Carlos Valenzuela,Famalicão,True
Famalicão,Benfica,1600452000,7,br BRA,FW,25-265,15,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,8eebb330,Walterson,Famalicão,False
Famalicão,Benfica,1600452000,66,pt POR,LM,21-342,62,24,24,0,0,0,1,0,0,0,0,0,0,14,0,0,41ff002d,Bruno Jordão,Famalicão,True
Famalicão,Benfica,1600452000,67,pt POR,LM,22-100,28,15,14,1,1,0,2,0,0,0,0,0,0,11,0,0,bdacf12b,Matheus dos Santos Clemente,Famalicão,False
Famalicão,Benfica,1600452000,12,pt POR,CM,20-172,90,30,27,3,3,0,1,0,0,0,0,0,0,24,0,0,065c8786,Gustavo Assuncao,Famalicão,True
Famalicão,Benfica,1600452000,6,pt POR,CM,23-062,90,29,26,3,0,0,1,3,0,3,3,0,0,21,0,1,071b6ba9,Gonçalo Rodrigues,Famalicão,True
Famalicão,Benfica,1600452000,10,pt POR,RM,25-271,90,29,28,0,0,0,0,2,0,0,0,0,0,16,1,2,656a96c6,Rúben Lameiras,Famalicão,True
Famalicão,Benfica,1600452000,5,nl NED,LB,23-145,45,23,15,8,2,0,1,0,6,0,0,0,0,18,0,1,bf2b4026,Calvin Verdonk,Famalicão,True
