home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
Parma,Juventus,1566662400,4fa7cb9b,Douglas Costa, Juventus,0.02,,Off Target,25,Left Foot,,38ac43d3,Sami Khedira,Pass (Live),ad6df2d5,Miralem Pjanić,Pass (Live),4,False
Parma,Juventus,1566662400,dea698d9,Cristiano Ronaldo, Juventus,0.03,,Off Target,29,Right Foot,,e85fb9b8,Giorgio Chiellini,Pass (Live),4fa7cb9b,Douglas Costa,Pass (Live),6,False
Parma,Juventus,1566662400,dea698d9,Cristiano Ronaldo, Juventus,0.06,,Off Target,11,Head,,38ac43d3,Sami Khedira,Pass (Live),ad6df2d5,Miralem Pjanić,Pass (Live),12,False
Parma,Juventus,1566662400,6c1f7328,Roberto Inglese, Parma,0.07,0.30,Saved,10,Left Foot,,,,,,,,13,False
Parma,Juventus,1566662400,6f5ead86,Hernani, Parma,0.04,0.03,Saved,21,Right Foot,,3535098b,Vincent Laurini,Pass (Live),6f5ead86,Hernani,Pass (Live),16,False
Parma,Juventus,1566662400,0d82903c,Alex Sandro, Juventus,0.03,,Off Target,23,Left Foot,Volley,,,,,,,21,False
Parma,Juventus,1566662400,e85fb9b8,Giorgio Chiellini, Juventus,0.19,0.10,Goal,9,Right Foot,,0d82903c,Alex Sandro,Shot,,,,21,False
Parma,Juventus,1566662400,52ec54d0,Leonardo Bonucci, Juventus,0.14,,Off Target,9,Head,,ad6df2d5,Miralem Pjanić,Pass (Dead),4fa7cb9b,Douglas Costa,Fouled,25,False
Parma,Juventus,1566662400,6c1f7328,Roberto Inglese, Parma,0.05,,Blocked,22,Right Foot,,6c1f7328,Roberto Inglese,Take-On,e947ee4a,Gastón Brugman,Pass (Live),26,False
Parma,Juventus,1566662400,dea698d9,Cristiano Ronaldo, Juventus,0.35,,Off Target,6,Right Foot,,8a08491a,Gonzalo Higuaín,Pass (Live),ad6df2d5,Miralem Pjanić,Pass (Live),29,False
Parma,Juventus,1566662400,a64cbd35,Antonino Barillà, Parma,0.02,,Blocked,27,Left Foot,,df3cda47,Dejan Kulusevski,Pass (Live),173061c0,Riccardo Gagliolo,Pass (Live),30,False
Parma,Juventus,1566662400,4fa7cb9b,Douglas Costa, Juventus,0.05,,Blocked,21,Left Foot,,8a08491a,Gonzalo Higuaín,Pass (Live),4fa7cb9b,Douglas Costa,Pass (Live),38,False
Parma,Juventus,1566662400,dea698d9,Cristiano Ronaldo, Juventus,0.03,,Blocked,26,Left Foot,,e85fb9b8,Giorgio Chiellini,Pass (Live),e85fb9b8,Giorgio Chiellini,Take-On,41,False
Parma,Juventus,1566662400,ad6df2d5,Miralem Pjanić, Juventus,0.06,0.04,Saved,26,Right Foot,Free kick,0d82903c,Alex Sandro,Fouled,ad6df2d5,Miralem Pjanić,Pass (Live),43,False
Parma,Juventus,1566662400,173061c0,Riccardo Gagliolo, Parma,0.03,,Off Target,23,Right Foot,,,,,,,,49,False
Parma,Juventus,1566662400,585a73a8,Bruno Alves, Parma,0.05,,Blocked,27,Right Foot,Free kick,a64cbd35,Antonino Barillà,Fouled,,,,54,False
