home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Chelsea,Qarabağ FK,1505241900,be BEL,25-124,90,2,0,2,100.0,0.0,0,2,0.0,16,6,12.5,27.1,6,0.0,23.2,3,0,0.0,0,17.5,1840e36d,Thibaut Courtois,Chelsea,True
Celtic,Paris Saint-Germain,1505241900,sct SCO,34-255,90,6,5,2,33.3,3.8,4,10,40.0,19,2,31.6,32.2,8,50.0,37.8,12,0,0.0,0,7.7,b15780e3,Craig Gordon,Celtic,True
Manchester United,Basel,1505241900,es ESP,26-309,90,2,0,2,100.0,0.3,11,19,57.9,27,3,51.9,39.2,6,83.3,51.5,14,0,0.0,0,16.0,7ba6d84e,David de Gea,Manchester United,True
Benfica,CSKA Moscow,1505241900,pt POR,22-312,90,7,2,5,85.7,2.2,6,10,60.0,24,5,37.5,31.6,8,12.5,31.9,6,0,0.0,3,27.3,2bea06e0,Bruno Varela,Benfica,True
Roma,Atlético Madrid,1505241900,br BRA,24-345,90,9,0,9,100.0,2.2,7,10,70.0,30,6,23.3,31.2,8,37.5,37.5,14,0,0.0,2,26.5,7a2e46a8,Alisson,Roma,True
Barcelona,Juventus,1505241900,de GER,25-135,90,6,0,6,100.0,1.5,7,10,70.0,32,4,25.0,26.8,5,40.0,29.2,7,0,0.0,2,18.6,6f51e382,Marc-André ter Stegen,Barcelona,True
Bayern Munich,Anderlecht,1505241900,de GER,31-169,90,1,0,1,100.0,0.2,3,4,75.0,21,1,19.0,28.0,3,0.0,29.3,3,0,0.0,1,18.5,8778c910,Manuel Neuer,Bayern Munich,True
Olympiacos,Sporting CP,1505241900,gr GRE,23-178,90,6,3,3,50.0,2.3,6,12,50.0,21,2,42.9,36.2,6,50.0,53.7,3,0,0.0,0,11.0,62ba5881,Stefanos Kapino,Olympiacos,True
Porto,Beşiktaş,1505328300,es ESP,36-116,90,4,3,1,25.0,1.7,3,9,33.3,22,8,22.7,29.6,7,57.1,49.6,10,3,30.0,0,5.5,1ddbb0da,Iker Casillas,Porto,True
Liverpool,Sevilla,1505328300,de GER,24-083,90,2,2,0,0.0,1.7,4,15,26.7,22,3,63.6,45.2,4,25.0,29.8,10,1,10.0,0,11.3,32e7ce92,Loris Karius,Liverpool,True
Tottenham Hotspur,Dortmund,1505328300,fr FRA,30-261,90,2,1,1,50.0,0.9,4,17,23.5,28,5,53.6,42.4,4,50.0,48.8,13,0,0.0,3,20.4,8f62b6ee,Hugo Lloris,Tottenham Hotspur,True
NK Maribor,Spartak Moscow,1505328300,si SVN,39-228,90,4,1,3,75.0,0.7,6,14,42.9,20,4,45.0,36.2,16,31.3,37.9,15,0,0.0,0,17.3,bc1f61c9,Jasmin Handanović,NK Maribor,True
Feyenoord,Manchester City,1505328300,au AUS,35-178,90,7,4,3,42.9,2.1,11,23,47.8,34,4,55.9,40.4,4,100.0,63.0,14,2,14.3,0,9.0,ffc1c226,Brad Jones,Feyenoord,True
RB Leipzig,Monaco,1505328300,hu HUN,27-130,90,2,1,1,50.0,1.0,8,18,44.4,31,5,45.2,38.7,5,80.0,51.2,13,0,0.0,0,6.5,bcb2ccd8,Péter Gulácsi,RB Leipzig,True
Real Madrid,APOEL FC,1505328300,cr CRC,30-272,90,1,0,1,100.0,0.1,0,0,,12,5,0.0,25.3,3,0.0,27.7,2,0,0.0,1,17.0,ecada4fc,Keylor Navas,Real Madrid,True
Shakhtar Donetsk,Napoli,1505328300,ua UKR,33-077,90,7,1,6,100.0,2.6,22,41,53.7,57,6,57.9,40.6,13,61.5,45.3,26,3,11.5,0,12.6,34c3b935,Andriy Pyatov,Shakhtar Donetsk,True
Manchester City,Shakhtar Donetsk,1506451500,br BRA,24-040,90,2,0,2,100.0,0.6,3,6,50.0,27,4,22.2,29.0,4,0.0,30.0,9,1,11.1,0,12.9,3bb7b8b4,Ederson,Manchester City,True
Sevilla,NK Maribor,1506451500,es ESP,24-025,90,1,0,1,100.0,0.3,1,5,20.0,20,7,25.0,28.7,6,0.0,27.7,8,1,12.5,0,6.0,5f0241b2,Sergio Rico,Sevilla,True
Dortmund,Real Madrid,1506451500,ch SUI,26-316,90,10,3,7,70.0,4.4,6,16,37.5,41,9,34.1,35.0,3,66.7,59.7,11,3,27.3,1,9.7,9d12e142,Roman Bürki,Dortmund,True
Monaco,Porto,1506451500,ch SUI,34-018,90,8,3,5,62.5,3.0,0,2,0.0,19,5,10.5,23.7,4,0.0,20.8,8,0,0.0,0,16.0,b7e7937d,Diego Benaglio,Monaco,True
Napoli,Feyenoord,1506451500,es ESP,35-026,90,6,1,4,83.3,2.2,3,5,60.0,36,6,11.1,22.0,4,25.0,29.8,7,0,0.0,1,20.0,e358587b,Pepe Reina,Napoli,True
Spartak Moscow,Liverpool,1506451500,ru RUS,33-206,67,5,1,4,80.0,1.4,5,14,35.7,21,8,47.6,40.0,5,80.0,50.6,13,2,15.4,,6.5,50310821,Artyom Rebrov,Spartak Moscow,True
Spartak Moscow,Liverpool,1506451500,ru RUS,23-172,23,1,0,1,100.0,0.5,3,10,30.0,7,3,57.1,49.9,6,100.0,66.2,6,0,0.0,0,13.7,972d595a,Aleksandr Selikhov,Spartak Moscow,True
Beşiktaş,RB Leipzig,1506451500,es ESP,29-269,90,3,0,3,100.0,0.8,7,30,23.3,20,1,75.0,50.8,15,100.0,61.4,14,1,7.1,2,17.8,af245161,Fabricio,Beşiktaş,True
APOEL FC,Tottenham Hotspur,1506451500,nl NED,33-245,90,4,3,1,25.0,1.9,6,17,35.3,20,3,45.0,37.7,10,80.0,58.9,11,0,0.0,0,17.0,110338ae,Boy Waterman,APOEL FC,True
CSKA Moscow,Manchester United,1506537900,ru RUS,31-173,90,10,4,6,70.0,5.0,2,11,18.2,21,0,52.4,40.6,2,0.0,28.0,11,0,0.0,0,15.0,42ec696a,Igor Akinfeev,CSKA Moscow,True
Sporting CP,Barcelona,1506537900,pt POR,29-224,90,5,1,5,80.0,1.0,6,18,33.3,22,4,63.6,41.0,6,66.7,48.3,5,1,20.0,0,7.3,79b0d6a0,Rui Patrício,Sporting CP,True
Qarabağ FK,Roma,1506528000,ba BIH,29-025,90,9,2,7,77.8,2.3,5,21,23.8,24,5,66.7,40.3,5,100.0,57.6,14,1,7.1,1,11.3,56bf1cc0,Ibrahim Šehić,Qarabağ FK,True
Atlético Madrid,Chelsea,1506537900,si SVN,24-263,90,4,2,2,50.0,1.5,3,9,33.3,14,5,14.3,28.5,8,87.5,56.3,12,0,0.0,0,,ee8508c0,Jan Oblak,Atlético Madrid,True
Juventus,Olympiacos,1506537900,it ITA,39-242,90,2,0,2,100.0,0.6,1,2,50.0,19,6,5.3,24.2,8,12.5,33.0,6,0,0.0,1,22.5,e40d028b,Gianluigi Buffon,Juventus,True
Basel,Benfica,1506537900,cz CZE,28-182,90,0,0,0,,0.0,3,9,33.3,17,3,41.2,37.3,7,28.6,34.3,10,1,10.0,3,23.0,7b456af7,Tomáš Vaclík,Basel,True
Paris Saint-Germain,Bayern Munich,1506537900,fr FRA,24-212,90,6,0,6,100.0,1.7,6,13,46.2,20,4,20.0,26.0,12,75.0,46.6,37,3,8.1,1,10.7,2f965a72,Alphonse Areola,Paris Saint-Germain,True
Anderlecht,Celtic,1506537900,be BEL,31-000,90,4,3,1,25.0,1.6,8,17,47.1,15,0,73.3,48.3,7,85.7,58.6,5,0,0.0,2,20.0,0ef05b3e,Frank Boeckx,Anderlecht,True
Manchester City,Napoli,1508265900,br BRA,24-061,90,4,1,2,100.0,2.1,5,12,41.7,44,8,18.2,24.5,6,66.7,53.8,14,1,7.1,3,16.7,3bb7b8b4,Ederson,Manchester City,True
Feyenoord,Shakhtar Donetsk,1508265900,au AUS,35-212,90,2,2,0,0.0,1.6,3,12,25.0,21,3,28.6,28.9,7,85.7,63.9,7,0,0.0,2,17.0,ffc1c226,Brad Jones,Feyenoord,True
