home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Dinamo Zagreb,Chelsea,1662482700,hr CRO,27-240,90,3,0,3,100.0,0.2,11,33,33.3,34,2,76.5,47.5,9,77.8,56.2,24,0,0.0,0,,58f077c0,Dominik Livaković,Dinamo Zagreb,True
Dortmund,FC Copenhagen,1662482700,de GER,31-146,90,2,0,2,100.0,0.5,3,7,42.9,27,0,22.2,28.8,4,25.0,38.3,11,0,0.0,2,28.3,b56dd813,Alexander Meyer,Dortmund,True
Celtic,Real Madrid,1662490800,eng ENG,35-140,90,6,3,3,50.0,2.7,2,4,50.0,15,4,20.0,25.3,8,12.5,26.6,7,0,0.0,1,30.0,cb4f24c6,Joe Hart,Celtic,True
Benfica,Maccabi Haifa,1662490800,gr GRE,28-133,90,2,0,2,100.0,0.2,5,15,33.3,23,5,47.8,40.0,11,36.4,32.0,8,1,12.5,2,16.3,03df04ff,Odisseas Vlachodimos,Benfica,True
Red Bull Salzburg,Milan,1662490800,ch SUI,24-157,90,3,1,2,66.7,0.6,5,11,45.5,17,2,41.2,39.2,7,57.1,51.6,15,0,0.0,3,18.8,ff74841d,Philipp Köhn,Red Bull Salzburg,True
Sevilla,Manchester City,1662490800,ma MAR,31-154,90,9,4,5,55.6,3.6,10,25,40.0,38,3,39.5,35.6,12,83.3,59.8,19,1,5.3,1,9.7,f6798fc3,Yassine Bounou,Sevilla,True
RB Leipzig,Shakhtar Donetsk,1662490800,hu HUN,32-123,90,4,4,0,0.0,2.7,0,2,0.0,20,3,10.0,19.2,1,0.0,14.0,2,0,0.0,1,33.0,bcb2ccd8,Péter Gulácsi,RB Leipzig,True
Paris Saint-Germain,Juventus,1662490800,it ITA,23-193,90,4,1,3,75.0,0.4,0,3,0.0,14,3,21.4,28.7,3,0.0,15.0,9,0,0.0,1,9.8,08f5afaa,Gianluigi Donnarumma,Paris Saint-Germain,True
Ajax,Rangers,1662569100,nl NED,38-303,90,1,0,1,100.0,0.2,0,3,0.0,30,1,10.0,22.0,3,0.0,21.3,7,0,0.0,3,25.0,3392603d,Remko Pasveer,Ajax,True
Eintracht Frankfurt,Sporting CP,1662569100,de GER,32-061,90,5,3,2,40.0,1.7,2,10,20.0,23,2,39.1,36.3,4,25.0,30.8,5,0,0.0,2,20.6,ce17b5eb,Kevin Trapp,Eintracht Frankfurt,True
Tottenham Hotspur,Marseille,1662577200,fr FRA,35-255,90,1,0,1,100.0,0.2,4,7,57.1,29,5,17.2,26.6,6,33.3,30.5,8,1,12.5,0,11.3,8f62b6ee,Hugo Lloris,Tottenham Hotspur,True
Napoli,Liverpool,1662577200,it ITA,25-169,90,7,1,6,85.7,1.8,2,10,20.0,34,9,29.4,28.6,8,0.0,14.6,27,1,3.7,2,14.7,9413b19f,Alex Meret,Napoli,True
Atlético Madrid,Porto,1662577200,si SVN,29-243,90,3,1,2,100.0,2.1,3,9,33.3,18,3,11.1,23.8,12,58.3,45.5,12,0,0.0,2,14.8,ee8508c0,Jan Oblak,Atlético Madrid,True
Barcelona,Viktoria Plzeň,1662577200,de GER,30-130,90,1,1,0,0.0,0.6,1,3,33.3,22,5,13.6,24.3,7,0.0,17.7,7,0,0.0,1,12.5,6f51e382,Marc-André ter Stegen,Barcelona,True
Internazionale,Bayern Munich,1662577200,cm CMR,26-158,90,11,2,10,81.8,3.5,4,18,22.2,36,10,38.9,38.7,6,66.7,55.5,9,3,33.3,0,8.0,e9c0c1b2,André Onana,Internazionale,True
Club Brugge,Bayer Leverkusen,1662577200,be BEL,34-185,90,3,0,3,100.0,0.6,9,16,56.3,21,1,47.6,35.3,12,50.0,41.8,14,0,0.0,0,9.0,d436eb94,Simon Mignolet,Club Brugge,True
Sporting CP,Tottenham Hotspur,1663087500,es ESP,35-123,90,5,0,5,100.0,1.4,6,22,27.3,50,5,32.0,31.2,10,60.0,39.3,15,1,6.7,0,7.8,65d62814,Antonio Adán,Sporting CP,True
Viktoria Plzeň,Internazionale,1663087500,cz CZE,26-139,90,8,2,6,75.0,1.9,6,17,35.3,20,2,55.0,42.9,8,75.0,49.8,19,0,0.0,2,23.0,eca17cf2,Jindřich Staněk,Viktoria Plzeň,True
Liverpool,Ajax,1663095600,br BRA,29-346,90,1,1,0,0.0,0.5,8,9,88.9,37,3,21.6,26.3,3,33.3,39.3,3,1,33.3,2,19.8,7a2e46a8,Alisson,Liverpool,True
Porto,Club Brugge,1663095600,pt POR,22-359,90,7,4,3,57.1,3.3,3,7,42.9,25,7,28.0,32.6,3,0.0,12.3,9,1,11.1,3,17.6,93fffbcf,Diogo Costa,Porto,True
Bayer Leverkusen,Atlético Madrid,1663095600,fi FIN,32-293,90,3,0,3,100.0,0.1,2,6,33.3,21,4,28.6,29.3,7,0.0,16.3,13,1,7.7,0,5.0,ad3389d5,Lukáš Hrádecký,Bayer Leverkusen,True
Marseille,Eintracht Frankfurt,1663095600,es ESP,27-274,90,7,1,6,85.7,1.1,2,6,33.3,23,6,21.7,30.7,6,16.7,23.3,5,0,0.0,3,21.0,20b9f052,Pau López,Marseille,True
Bayern Munich,Barcelona,1663095600,de GER,36-170,90,4,0,4,100.0,1.1,3,15,20.0,44,6,31.8,39.1,8,12.5,23.6,12,0,0.0,0,,8778c910,Manuel Neuer,Bayern Munich,True
Milan,Dinamo Zagreb,1663173900,fr FRA,27-073,90,3,1,2,66.7,1.2,0,3,0.0,27,3,11.1,26.1,2,0.0,9.5,5,0,0.0,0,17.0,fcb38f57,Mike Maignan,Milan,True
Shakhtar Donetsk,Celtic,1663173900,ua UKR,21-044,90,6,1,6,83.3,0.8,4,16,25.0,34,3,23.5,30.1,16,50.0,44.2,16,0,0.0,2,16.0,41f0b196,Anatolii Trubin,Shakhtar Donetsk,True
Rangers,Napoli,1663182000,sct SCO,40-226,90,10,3,6,80.0,3.7,10,26,38.5,25,4,60.0,41.2,12,91.7,64.7,10,0,0.0,0,,f3a97d02,Allan McGregor,Rangers,True
Chelsea,Red Bull Salzburg,1663182000,es ESP,27-346,90,3,1,2,66.7,0.4,2,11,18.2,36,4,27.8,29.7,3,33.3,38.0,7,0,0.0,3,34.7,28d596a0,Kepa Arrizabalaga,Chelsea,True
Manchester City,Dortmund,1663182000,br BRA,29-028,90,2,1,1,50.0,0.5,1,5,20.0,24,4,12.5,25.0,5,40.0,41.2,7,0,0.0,1,37.0,3bb7b8b4,Ederson,Manchester City,True
FC Copenhagen,Sevilla,1663182000,au AUS,30-159,90,2,0,2,100.0,0.7,5,25,20.0,31,3,61.3,42.7,6,100.0,67.0,13,2,15.4,1,14.3,4535e4bb,Mathew Ryan,FC Copenhagen,True
Juventus,Benfica,1663182000,it ITA,29-308,90,7,2,5,85.7,3.1,2,9,22.2,29,6,31.0,33.5,1,0.0,21.0,17,0,0.0,0,,4c62d0c8,Mattia Perin,Juventus,True
Real Madrid,RB Leipzig,1663182000,be BEL,30-126,90,3,0,3,100.0,0.7,1,5,20.0,32,6,9.4,24.3,8,25.0,37.8,11,2,18.2,1,13.8,1840e36d,Thibaut Courtois,Real Madrid,True
Maccabi Haifa,Paris Saint-Germain,1663182000,us USA,30-027,90,6,3,3,50.0,2.9,2,5,40.0,9,3,22.2,26.6,6,50.0,36.5,13,0,0.0,1,13.7,75c2e240,Josh Cohen,Maccabi Haifa,True
Bayern Munich,Viktoria Plzeň,1664901900,de GER,36-191,90,3,0,3,100.0,0.5,1,1,100.0,22,5,0.0,23.2,8,12.5,23.3,5,0,0.0,0,,8778c910,Manuel Neuer,Bayern Munich,True
Marseille,Sporting CP,1664902500,es ESP,27-295,90,2,1,1,50.0,0.7,3,6,50.0,14,3,42.9,35.9,5,0.0,21.8,3,1,33.3,0,5.0,20b9f052,Pau López,Marseille,True
Liverpool,Rangers,1664910000,br BRA,30-002,90,1,0,1,100.0,0.7,4,9,44.4,22,3,36.4,31.8,6,16.7,26.8,1,1,100.0,1,19.0,7a2e46a8,Alisson,Liverpool,True
Porto,Bayer Leverkusen,1664910000,pt POR,23-015,90,6,0,5,100.0,1.1,4,13,30.8,32,4,31.3,32.7,3,100.0,62.7,11,0,0.0,0,8.0,93fffbcf,Diogo Costa,Porto,True
Eintracht Frankfurt,Tottenham Hotspur,1664910000,de GER,32-088,90,1,0,1,100.0,0.0,3,11,27.3,22,2,45.5,34.8,8,12.5,23.6,8,0,0.0,0,10.0,ce17b5eb,Kevin Trapp,Eintracht Frankfurt,True
Internazionale,Barcelona,1664910000,cm CMR,26-185,90,2,0,2,100.0,0.4,9,18,50.0,26,4,46.2,36.2,10,60.0,42.2,34,3,8.8,0,6.0,e9c0c1b2,André Onana,Internazionale,True
Ajax,Napoli,1664910000,nl NED,38-330,90,13,6,7,53.8,6.5,5,29,17.2,48,8,52.1,38.8,9,44.4,44.1,10,0,0.0,0,10.0,3392603d,Remko Pasveer,Ajax,True
Club Brugge,Atlético Madrid,1664910000,be BEL,34-212,90,5,0,5,100.0,0.9,6,12,50.0,25,6,28.0,32.2,8,62.5,46.3,12,1,8.3,0,4.5,d436eb94,Simon Mignolet,Club Brugge,True
RB Leipzig,Celtic,1664988300,hu HUN,32-152,12,1,,1,,0.0,,,,,2,,,,,,,,,,14.0,bcb2ccd8,Péter Gulácsi,RB Leipzig,True
RB Leipzig,Celtic,1664988300,de GER,31-156,78,4,1,3,75.0,1.0,2,6,33.3,33,6,12.1,22.9,6,33.3,30.8,9,0,0.0,1,42.0,663e080e,Janis Blaswich,RB Leipzig,True
Red Bull Salzburg,Dinamo Zagreb,1664988300,ch SUI,24-186,90,3,0,3,100.0,0.8,4,9,44.4,14,2,57.1,43.8,5,20.0,31.0,13,0,0.0,0,9.0,ff74841d,Philipp Köhn,Red Bull Salzburg,True
Chelsea,Milan,1664996400,es ESP,28-002,90,1,0,1,100.0,0.1,6,14,42.9,19,1,47.4,39.9,5,100.0,64.2,6,0,0.0,0,8.0,28d596a0,Kepa Arrizabalaga,Chelsea,True
Benfica,Paris Saint-Germain,1664996400,gr GRE,28-162,90,7,1,6,85.7,1.1,2,10,20.0,18,5,33.3,33.1,6,66.7,48.8,12,0,0.0,0,14.3,03df04ff,Odisseas Vlachodimos,Benfica,True
Manchester City,FC Copenhagen,1664996400,br BRA,29-049,90,0,0,0,,0.0,8,8,100.0,31,4,25.8,27.6,3,0.0,23.7,4,0,0.0,0,,3bb7b8b4,Ederson,Manchester City,True
Real Madrid,Shakhtar Donetsk,1664996400,ua UKR,23-236,90,3,1,2,66.7,0.9,0,1,0.0,22,6,4.5,17.6,6,0.0,14.7,5,0,0.0,2,27.0,3061e1ec,Andriy Lunin,Real Madrid,True
Sevilla,Dortmund,1664996400,ma MAR,31-183,90,7,4,3,42.9,2.3,2,5,40.0,16,4,6.3,24.6,8,50.0,39.1,7,0,0.0,2,16.3,f6798fc3,Yassine Bounou,Sevilla,True
Juventus,Maccabi Haifa,1664996400,pl POL,32-170,90,4,1,3,75.0,1.4,3,5,60.0,26,6,3.8,22.0,7,57.1,41.0,9,1,11.1,2,23.0,01b8a2b2,Wojciech Szczęsny,Juventus,True
FC Copenhagen,Manchester City,1665506700,pl POL,23-276,90,4,0,3,100.0,1.7,5,10,50.0,24,3,29.2,30.3,7,42.9,41.9,15,2,13.3,3,17.4,62182b1d,Kamil Grabara,FC Copenhagen,True
