home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
Zenit,Club Brugge,1603212900,60e86875,Sebastián Driussi, Zenit,0.03,,Off Target,22,Right Foot,Volley,8e7f49d3,Wílmar Barrios,Pass (Live),a802405e,Danil Krugovoy,Pass (Live),3,False
Zenit,Club Brugge,1603212900,2ccd89a3,Eduard Sobol, Club Brugge,0.02,,Blocked,28,Left Foot,Volley,8104e41e,Krépin Diatta,Pass (Dead),c24544c7,Ruud Vormer,Pass (Live),6,False
Zenit,Club Brugge,1603212900,c24544c7,Ruud Vormer, Club Brugge,0.03,,Blocked,27,Right Foot,,2ccd89a3,Eduard Sobol,Pass (Live),392a7aea,Hans Vanaken,Pass (Live),29,False
Zenit,Club Brugge,1603212900,392a7aea,Hans Vanaken, Club Brugge,0.05,0.15,Saved,13,Head,,c24544c7,Ruud Vormer,Pass (Live),392a7aea,Hans Vanaken,Pass (Live),40,False
Zenit,Club Brugge,1603212900,8104e41e,Krépin Diatta, Club Brugge,0.02,,Off Target,26,Right Foot,Volley,392a7aea,Hans Vanaken,Shot,,,,41,False
Zenit,Club Brugge,1603212900,392a7aea,Hans Vanaken, Club Brugge,0.03,,Off Target,29,Right Foot,,2ccd89a3,Eduard Sobol,Pass (Live),392a7aea,Hans Vanaken,Pass (Live),43,False
Zenit,Club Brugge,1603212900,1a2935f6,Dejan Lovren, Zenit,0.06,0.03,Saved,10,Head,,60e86875,Sebastián Driussi,Pass (Dead),b0b902c8,Vyacheslav Karavayev,Pass (Live),45,False
Zenit,Club Brugge,1603212900,60e86875,Sebastián Driussi, Zenit,0.03,,Off Target,31,Right Foot,,,,,,,,47,False
Zenit,Club Brugge,1603212900,10549b49,Sardar Azmoun, Zenit,0.12,,Blocked,7,Right Foot,,1a2935f6,Dejan Lovren,Pass (Live),60e86875,Sebastián Driussi,Pass (Live),59,False
Zenit,Club Brugge,1603212900,10549b49,Sardar Azmoun, Zenit,0.35,,Off Target,7,Head,,60e86875,Sebastián Driussi,Pass (Dead),d4e93bab,Daler Kuzyaev,Pass (Live),60,False
Zenit,Club Brugge,1603212900,10549b49,Sardar Azmoun, Zenit,0.04,,Blocked,22,Right Foot,,8e7f49d3,Wílmar Barrios,Pass (Live),,,,61,False
