home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,player_id,player,squad,start
Eibar,Celta Vigo,1599919200,9,es ESP,FW,30-199,67,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.1,2,0,13,21,61.9,1,12,1,2,1,bb4b1242,Sergi Enrich,Eibar,True
Eibar,Celta Vigo,1599919200,18,es ESP,CM,29-245,23,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,1,2,0,0,0,54073b28,Recio,Eibar,False
Eibar,Celta Vigo,1599919200,17,es ESP,FW,30-292,90,0,0,0,0,1,0,0,0,56,2,0,4,0.1,0.1,0.0,4,0,17,39,43.6,0,25,1,1,0,e897d8ba,Kike,Eibar,True
Eibar,Celta Vigo,1599919200,14,jp JPN,LM,32-102,60,0,0,0,0,1,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,8,18,44.4,1,19,3,5,2,61bd33d0,Takashi Inui,Eibar,True
Eibar,Celta Vigo,1599919200,19,pl POL,"LW,RW,LM",28-088,30,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,0,0,7,12,58.3,2,8,1,0,0,bb6c6331,Damian Kądzior,Eibar,False
Eibar,Celta Vigo,1599919200,10,es ESP,CM,24-042,90,0,0,0,0,2,0,0,0,34,1,0,1,0.1,0.1,0.0,0,0,13,22,59.1,4,15,1,1,0,283c7121,Edu Expósito,Eibar,True
Eibar,Celta Vigo,1599919200,8,sn SEN,CM,34-177,86,0,0,0,0,0,0,2,1,37,3,1,2,0.0,0.0,0.0,1,0,17,29,58.6,4,14,1,1,1,7329018e,Papakouli Diop,Eibar,True
Eibar,Celta Vigo,1599919200,21,es ESP,"RM,RW",33-293,83,0,0,0,0,2,1,0,0,31,0,0,0,0.1,0.1,0.1,2,0,9,24,37.5,2,15,1,0,0,d66b9872,Pedro León,Eibar,True
Eibar,Celta Vigo,1599919200,11,pt POR,LW,25-126,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,062fc2e6,Rafa Soares,Eibar,False
Eibar,Celta Vigo,1599919200,3,es ESP,LB,29-363,90,0,0,0,0,1,0,1,0,70,1,0,1,0.0,0.0,0.0,0,0,37,63,58.7,6,9,0,0,0,697295b1,Pedro Bigas,Eibar,True
Eibar,Celta Vigo,1599919200,4,pt POR,CB,28-248,90,0,0,0,0,0,0,0,0,50,2,3,0,0.0,0.0,0.0,0,0,18,43,41.9,1,14,0,0,0,a8fbae1d,Paulo Oliveira,Eibar,True
Eibar,Celta Vigo,1599919200,6,es ESP,CB,28-233,90,0,0,0,0,0,0,1,0,47,2,1,0,0.0,0.0,0.0,2,0,24,38,63.2,3,14,0,0,0,88d91621,Sergio Álvarez,Eibar,True
Eibar,Celta Vigo,1599919200,20,es ESP,RB,27-358,90,0,0,0,0,0,0,0,0,53,2,0,0,0.0,0.0,0.0,1,0,23,44,52.3,1,15,2,1,1,46bd3a5b,Rober Correa,Eibar,True
Eibar,Celta Vigo,1599919200,1,rs SRB,GK,28-232,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,0,11,0,0,0,ac295d9e,Marko Dmitrović,Eibar,True
Granada,Athletic Club,1599928200,9,es ESP,FW,35-108,79,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,13,17,76.5,2,10,1,0,0,9d66fbe3,Roberto Soldado,Granada,True
Granada,Athletic Club,1599928200,12,ng NGA,"FW,CM",27-275,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,3,0,0,0,0cc474e7,Ramon Azeez,Granada,False
Granada,Athletic Club,1599928200,11,ve VEN,LW,27-218,61,0,0,0,0,1,0,0,0,20,0,1,0,0.0,0.0,0.0,2,0,9,16,56.3,0,15,2,3,3,ed6ea4d9,Darwin Machís,Granada,True
Granada,Athletic Club,1599928200,14,es ESP,"LW,RM",26-070,29,0,0,0,0,0,0,0,0,18,0,2,0,0.0,0.0,0.0,0,0,10,13,76.9,2,9,1,1,0,f681a8ef,Fede Vico,Granada,False
Granada,Athletic Club,1599928200,10,es ESP,"RW,FW",28-204,90,0,0,0,0,0,0,0,0,41,0,1,1,0.0,0.0,0.0,0,0,23,32,71.9,1,24,3,2,1,c77a8043,Antonio Puertas,Granada,True
Granada,Athletic Club,1599928200,21,ve VEN,AM,22-242,79,1,0,0,0,2,1,1,0,42,1,1,2,0.3,0.3,0.0,1,0,21,30,70.0,4,14,0,1,1,5083a734,Yangel Herrera,Granada,True
Granada,Athletic Club,1599928200,24,br BRA,"AM,LM",24-217,11,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,1,3,0,2,1,5eebbfdf,Kenedy,Granada,False
Granada,Athletic Club,1599928200,19,es ESP,DM,32-079,61,0,1,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.3,2,1,20,31,64.5,2,15,0,0,0,719384c1,Ángel Montoro,Granada,True
Granada,Athletic Club,1599928200,4,fr FRA,"DM,CM",31-186,29,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,7,0,0,0,b8c1de25,Maxime Gonalons,Granada,False
Granada,Athletic Club,1599928200,5,es ESP,DM,25-341,88,1,0,0,0,1,1,0,0,41,0,3,0,0.0,0.0,0.0,1,1,26,35,74.3,2,16,2,2,2,19c36442,Luis Milla,Granada,True
Granada,Athletic Club,1599928200,16,es ESP,CB,32-092,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,3624ce4c,Víctor Díaz,Granada,False
Granada,Athletic Club,1599928200,15,es ESP,LB,24-092,90,0,0,0,0,0,0,0,0,50,0,3,0,0.0,0.0,0.0,1,1,28,43,65.1,2,17,1,1,1,8d47bb39,Carlos Neva,Granada,True
Granada,Athletic Club,1599928200,22,pt POR,CB,25-186,90,0,0,0,0,0,0,0,0,33,0,1,0,0.0,0.0,0.0,0,0,16,26,61.5,2,12,0,0,0,93090f69,Domingos Duarte,Granada,True
Granada,Athletic Club,1599928200,6,es ESP,CB,33-275,90,0,0,0,0,0,0,1,0,46,0,2,0,0.0,0.0,0.0,0,0,17,34,50.0,0,16,0,0,0,ea9b2ef9,Germán Sánchez,Granada,True
Granada,Athletic Club,1599928200,2,fr FRA,RB,27-173,90,0,0,0,0,0,0,0,0,40,2,1,0,0.0,0.0,0.0,0,0,21,29,72.4,3,9,0,0,0,45e17712,Dimitri Foulquier,Granada,True
Granada,Athletic Club,1599928200,1,pt POR,GK,26-218,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,23,38,60.5,0,19,0,0,0,ea83bfa6,Rui Silva,Granada,True
Cádiz,Osasuna,1599937200,18,es ESP,FW,35-023,77,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,12,19,63.2,3,14,0,0,0,63b0ca6b,Álvaro Negredo,Cádiz,True
Cádiz,Osasuna,1599937200,9,hn HON,FW,27-140,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,38699c72,Anthony Lozano,Cádiz,False
Cádiz,Osasuna,1599937200,11,es ESP,LW,26-203,90,0,0,0,0,4,1,0,0,54,3,0,1,0.2,0.2,0.2,3,0,20,31,64.5,5,29,6,7,4,0a8bcb23,Jorge Pombo,Cádiz,True
Cádiz,Osasuna,1599937200,7,es ESP,RW,29-166,76,0,0,0,0,2,1,0,0,43,1,1,1,0.2,0.2,0.1,4,0,24,33,72.7,3,19,1,1,1,405f267a,Salvi,Cádiz,True
Cádiz,Osasuna,1599937200,14,es ESP,RW,25-215,14,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.0,2,0,5,7,71.4,0,9,3,3,2,3d7e48ce,Iván Alejo,Cádiz,False
Cádiz,Osasuna,1599937200,12,fr FRA,AM,25-216,45,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.1,1,0,8,17,47.1,0,10,0,0,0,8c2c48a9,Yann Bodiger,Cádiz,True
Cádiz,Osasuna,1599937200,24,rs SRB,AM,27-299,45,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,2,10,3,2,2,04981123,Filip Malbašić,Cádiz,False
Cádiz,Osasuna,1599937200,6,es ESP,DM,32-281,63,0,0,0,0,1,0,0,0,47,3,1,0,0.0,0.0,0.0,1,0,23,35,65.7,0,12,0,2,0,6f4c734d,José Mari,Cádiz,True
Cádiz,Osasuna,1599937200,8,es ESP,DM,27-333,27,0,0,0,0,1,0,0,0,23,0,1,0,0.0,0.0,0.1,2,0,18,21,85.7,3,12,0,0,0,aa677a35,Álex Fernández,Cádiz,False
Cádiz,Osasuna,1599937200,23,es ESP,"DM,CB",23-121,90,0,0,0,0,1,0,0,0,38,1,2,0,0.1,0.1,0.0,0,0,20,30,66.7,0,18,0,0,0,5dd16ace,Sergio González,Cádiz,True
