home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Go Ahead Eagles,Heerenveen,1628877600,sr SUR,29-059,90,5,1,4,80.0,1.6,4,12,33.3,21,4,33.3,36.4,11,45.5,39.7,24,0,0.0,0,16.5,4117e3f3,Warner Hahn,Go Ahead Eagles,True
RKC Waalwijk,AZ Alkmaar,1628951400,pt POR,25-047,90,5,0,5,100.0,1.4,18,38,47.4,39,6,64.1,43.2,15,86.7,66.2,27,2,7.4,1,10.6,881e5db7,Joel Castro Pereira,RKC Waalwijk,True
Heracles Almelo,PSV Eindhoven,1628959500,nl NED,25-057,90,6,2,4,66.7,1.7,7,19,36.8,18,3,66.7,48.7,11,63.6,51.9,13,2,15.4,0,8.3,1da4fe81,Koen Bucker,Heracles Almelo,True
Fortuna Sittard,Twente,1628964000,nl NED,24-143,90,1,1,0,0.0,0.8,4,19,21.1,29,3,41.4,35.0,9,77.8,54.2,10,0,0.0,0,13.0,f1655231,Yanick van Osch,Fortuna Sittard,True
Ajax,NEC Nijmegen,1628967600,nl NED,38-326,90,1,0,1,100.0,0.1,4,5,80.0,20,5,15.0,26.5,5,40.0,40.6,3,0,0.0,1,20.0,fefce889,Maarten Stekelenburg,Ajax,True
Cambuur,Groningen,1629022500,nl NED,29-054,90,7,2,5,71.4,1.9,0,7,0.0,30,7,20.0,27.8,9,11.1,27.1,23,0,0.0,2,19.4,7566ef9b,Sonny Stevens,Cambuur,True
Zwolle,Vitesse,1629030600,gr GRE,29-331,90,6,1,5,83.3,1.0,7,13,53.8,27,4,40.7,37.0,6,33.3,33.8,8,1,12.5,1,17.5,f9508440,Kostas Lamprou,Zwolle,True
Utrecht,Sparta Rotterdam,1629030600,nl NED,23-093,90,1,0,1,100.0,0.1,1,5,20.0,9,2,33.3,32.9,5,40.0,33.2,10,0,0.0,0,17.0,eb343262,Maarten Paes,Utrecht,True
Willem II,Feyenoord,1629038700,nl NED,34-143,90,9,4,5,55.6,4.4,8,17,47.1,28,3,46.4,37.2,8,50.0,41.8,11,0,0.0,0,12.0,911680d8,Robbin Ruiter,Willem II,True
NEC Nijmegen,Zwolle,1629482400,nl NED,27-232,90,1,0,1,100.0,0.1,6,17,35.3,19,6,57.9,40.2,12,50.0,38.3,19,0,0.0,0,2.0,b74a2c78,Mattijs Branderhorst,NEC Nijmegen,True
Heerenveen,RKC Waalwijk,1629564300,nl NED,32-171,90,3,2,1,33.3,1.0,4,13,30.8,28,1,35.7,31.0,11,27.3,31.6,17,0,0.0,1,16.0,b3576b7c,Erwin Mulder,Heerenveen,True
Sparta Rotterdam,Heracles Almelo,1629568800,ng NGA,21-358,90,4,1,3,75.0,1.5,10,16,62.5,18,6,66.7,44.9,6,66.7,52.8,21,0,0.0,1,13.0,ab5c36dd,Maduka Okoye,Sparta Rotterdam,True
PSV Eindhoven,Cambuur,1629568800,nl NED,24-278,90,4,1,3,75.0,0.9,4,8,50.0,35,6,17.1,24.6,5,40.0,35.6,7,1,14.3,7,21.9,510c6a3f,Joel Drommel,PSV Eindhoven,True
Groningen,Utrecht,1629572400,nl NED,27-151,90,0,0,0,,0.0,6,14,42.9,63,5,22.2,28.0,1,0.0,28.0,12,0,0.0,0,17.0,b7135640,Peter Leeuwenburgh,Groningen,True
Twente,Ajax,1629627300,de GER,31-033,90,3,1,2,66.7,1.8,6,16,37.5,27,4,59.3,42.3,5,0.0,22.8,22,2,9.1,0,7.0,4b1793b0,Lars Unnerstall,Twente,True
Feyenoord,Go Ahead Eagles,1629635400,nl NED,23-212,90,2,0,2,100.0,0.8,6,12,50.0,29,2,34.5,33.1,4,50.0,38.3,9,0,0.0,0,17.0,53d93280,Justin Bijlow,Feyenoord,True
Vitesse,Willem II,1629643500,de GER,23-071,90,3,3,0,0.0,1.7,5,16,31.3,34,3,38.2,32.9,10,30.0,33.3,11,1,9.1,3,24.6,289b90cd,Markus Schubert,Vitesse,True
