home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Portimonense,Belenenses SAD,1565379000,pt POR,29-249,90,2,0,2,100.0,0.7,4,19,21.1,29,1,55.2,43.9,9,33.3,38.1,9,0,0.0,4,23.4,71cab4ee,Ricardo Abel Barbosa Ferreira,Portimonense,True
Santa Clara,Famalicão,1565451000,pt POR,32-210,90,6,2,4,66.7,2.5,3,11,27.3,23,7,34.8,34.7,5,60.0,48.8,12,0,0.0,1,20.0,5cd73451,Marco André Rocha Pereira,Santa Clara,True
Gil Vicente FC,Porto,1565460000,br BRA,32-118,90,5,1,4,100.0,2.1,4,19,21.1,18,2,72.2,49.8,6,100.0,65.5,18,2,11.1,0,6.8,1a3ff093,Denis,Gil Vicente FC,True
Benfica,Paços de Ferreira,1565469000,gr GRE,25-106,90,0,0,0,,0.0,3,4,75.0,18,3,16.7,26.3,4,25.0,31.5,7,0,0.0,2,20.7,03df04ff,Odisseas Vlachodimos,Benfica,True
Boavista,Aves,1565535600,br BRA,38-098,90,2,1,1,50.0,0.2,8,23,34.8,17,2,70.6,48.8,11,100.0,63.4,19,2,10.5,0,6.8,5f7d2dfe,Rafael Bracalli,Boavista,True
Marítimo,Sporting CP,1565544600,br BRA,25-188,90,2,1,1,50.0,0.5,3,20,15.0,20,4,55.0,46.4,13,69.2,45.5,23,2,8.7,0,6.2,9dadc297,Charles,Marítimo,True
Braga,Moreirense,1565553600,br BRA,27-023,90,4,1,3,75.0,1.1,6,11,54.5,24,5,41.7,35.9,7,14.3,33.9,12,1,8.3,1,15.0,ef3909cd,Matheus,Braga,True
Vitória Setúbal,Tondela,1565637300,ge GEO,29-134,90,2,0,2,100.0,0.3,8,15,53.3,20,3,35.0,32.4,8,100.0,63.5,12,1,8.3,4,22.2,b3bb0a76,Giorgi Makaridze,Vitória Setúbal,True
Famalicão,Rio Ave,1565983800,br BRA,35-237,90,1,0,1,100.0,0.2,2,12,16.7,23,3,30.4,32.7,5,100.0,64.0,8,0,0.0,0,18.0,317d3e7b,Rafael Defendi,Famalicão,True
Moreirense,Gil Vicente FC,1566055800,br BRA,27-050,90,2,0,2,100.0,0.3,6,27,22.2,18,1,66.7,44.7,16,93.8,61.9,21,0,0.0,0,7.4,f16f9b47,Mateus Pasinato,Moreirense,True
Belenenses SAD,Benfica,1566064800,bf BFA,22-305,90,4,2,2,50.0,2.1,4,15,26.7,24,5,29.2,35.0,11,72.7,50.8,20,0,0.0,2,16.3,faf873a7,Hervé Koffi,Belenenses SAD,True
Porto,Vitória Setúbal,1566073800,ar ARG,31-154,90,5,0,5,100.0,0.9,4,8,50.0,19,4,31.6,30.5,2,100.0,60.5,5,0,0.0,1,20.0,853b7c48,Agustín Marchesín,Porto,True
Paços de Ferreira,Santa Clara,1566140400,pt POR,29-203,90,3,1,2,66.7,0.7,6,10,60.0,23,4,39.1,37.3,6,16.7,33.5,10,0,0.0,1,21.5,e7f558ff,Ricardo Ribeiro,Paços de Ferreira,True
Aves,Marítimo,1566140400,fr FRA,25-172,90,1,1,0,0.0,0.1,5,19,26.3,13,2,92.3,55.7,8,87.5,65.4,17,1,5.9,0,16.2,15285503,Quentin Beunardeau,Aves,True
Vitória Guimarães,Boavista,1566149400,pt POR,24-133,90,2,1,1,50.0,0.6,2,8,25.0,24,3,25.0,30.8,3,66.7,52.7,6,1,16.7,1,12.2,1c98558c,João Miguel Macedo Silva,Vitória Guimarães,True
Sporting CP,Braga,1566158400,br BRA,29-148,90,7,1,6,85.7,2.1,3,17,17.6,20,3,50.0,39.4,12,58.3,48.4,20,0,0.0,1,16.0,22db7a5e,Renan Ribeiro,Sporting CP,True
Tondela,Portimonense,1566242100,pt POR,27-276,90,6,2,4,66.7,2.1,6,13,46.2,28,4,35.7,33.5,10,30.0,37.6,11,0,0.0,2,21.4,23505094,Cláudio Ramos,Tondela,True
Vitória Setúbal,Moreirense,1566583200,ge GEO,29-145,90,2,0,2,100.0,0.2,6,8,75.0,21,3,38.1,36.3,2,0.0,21.5,6,1,16.7,0,9.0,b3bb0a76,Giorgi Makaridze,Vitória Setúbal,True
Rio Ave,Aves,1566591300,pl POL,35-129,90,1,1,0,0.0,0.7,10,16,62.5,29,8,27.6,31.6,11,72.7,47.1,17,2,11.8,3,15.7,8dbddd2b,Paweł Kieszek,Rio Ave,True
Benfica,Porto,1566669600,gr GRE,25-120,90,5,2,3,60.0,2.1,4,6,66.7,22,6,22.7,28.5,8,12.5,28.0,9,1,11.1,5,22.0,03df04ff,Odisseas Vlachodimos,Benfica,True
Boavista,Paços de Ferreira,1566678600,br BRA,38-111,90,5,1,4,100.0,2.0,4,13,30.8,21,6,47.6,36.5,3,100.0,71.0,17,0,0.0,0,17.0,5f7d2dfe,Rafael Bracalli,Boavista,True
Santa Clara,Belenenses SAD,1566745200,pt POR,32-225,90,1,0,1,100.0,0.1,9,21,42.9,27,1,70.4,49.7,4,50.0,44.5,6,1,16.7,0,8.7,5cd73451,Marco André Rocha Pereira,Santa Clara,True
Marítimo,Tondela,1566745200,br BRA,25-202,90,6,3,3,83.3,3.3,3,7,42.9,20,8,25.0,29.8,7,28.6,35.1,13,0,0.0,3,20.6,9dadc297,Charles,Marítimo,True
Portimonense,Sporting CP,1566754200,pt POR,29-265,90,5,3,2,40.0,2.8,6,16,37.5,23,0,52.2,42.5,6,66.7,51.5,10,0,0.0,1,12.3,71cab4ee,Ricardo Abel Barbosa Ferreira,Portimonense,True
Gil Vicente FC,Braga,1566761400,br BRA,32-133,90,4,1,3,75.0,0.5,7,14,50.0,27,5,33.3,35.6,7,71.4,49.9,11,1,9.1,2,14.0,1a3ff093,Denis,Gil Vicente FC,True
Vitória Guimarães,Famalicão,1566763200,br BRA,36-169,90,3,1,2,66.7,1.4,4,12,33.3,27,2,25.9,29.1,9,55.6,47.0,10,0,0.0,1,30.0,e961d3ac,Douglas,Vitória Guimarães,True
Moreirense,Portimonense,1567188000,br BRA,27-063,90,2,0,2,100.0,0.3,9,19,47.4,28,4,42.9,37.1,7,100.0,71.6,14,0,0.0,3,23.0,f16f9b47,Mateus Pasinato,Moreirense,True
Belenenses SAD,Boavista,1567196100,bf BFA,22-318,90,7,1,6,85.7,1.1,2,7,28.6,26,7,23.1,29.5,6,16.7,24.2,7,0,0.0,1,24.0,faf873a7,Hervé Koffi,Belenenses SAD,True
Paços de Ferreira,Marítimo,1567265400,br BRA,26-090,90,2,1,1,50.0,0.5,5,12,41.7,33,6,27.3,29.1,5,60.0,41.2,6,0,0.0,3,17.6,d7817a3d,Simão Bertelli,Paços de Ferreira,True
Aves,Famalicão,1567265400,fr FRA,25-185,90,7,3,4,71.4,3.4,2,5,40.0,16,5,31.3,30.2,5,0.0,25.0,9,0,0.0,1,11.0,15285503,Quentin Beunardeau,Aves,True
Sporting CP,Rio Ave,1567274400,br BRA,29-161,90,3,3,0,100.0,2.9,4,15,26.7,26,3,42.3,39.2,6,66.7,52.5,9,0,0.0,3,21.0,22db7a5e,Renan Ribeiro,Sporting CP,True
Gil Vicente FC,Vitória Setúbal,1567283400,br BRA,32-139,90,3,0,3,100.0,0.4,5,12,41.7,24,2,33.3,36.8,8,50.0,43.5,15,1,6.7,3,14.2,1a3ff093,Denis,Gil Vicente FC,True
Tondela,Santa Clara,1567350000,pt POR,27-289,90,4,0,4,100.0,0.5,10,23,43.5,18,3,77.8,51.8,9,100.0,59.0,21,4,19.0,0,6.3,23505094,Cláudio Ramos,Tondela,True
Porto,Vitória Guimarães,1567359000,ar ARG,31-169,90,4,0,4,100.0,0.5,3,3,100.0,9,2,22.2,27.0,8,12.5,29.8,10,0,0.0,1,19.0,853b7c48,Agustín Marchesín,Porto,True
Braga,Benfica,1567368000,br BRA,27-044,90,5,4,3,40.0,1.4,9,16,56.3,26,10,53.8,36.7,4,50.0,42.0,14,1,7.1,2,16.0,ef3909cd,Matheus,Braga,True
Rio Ave,Vitória Guimarães,1567951200,pl POL,35-145,90,5,1,4,80.0,1.6,6,13,46.2,20,3,40.0,33.4,13,38.5,37.5,19,0,0.0,1,7.7,8dbddd2b,Paweł Kieszek,Rio Ave,True
Vitória Setúbal,Braga,1568403000,ge GEO,29-166,90,6,0,6,100.0,0.3,12,28,42.9,29,5,62.1,44.8,15,66.7,49.7,34,1,2.9,1,12.0,b3bb0a76,Giorgi Makaridze,Vitória Setúbal,True
Famalicão,Paços de Ferreira,1568475000,br BRA,35-266,90,3,2,1,33.3,1.8,3,17,17.6,42,6,23.8,30.5,10,70.0,54.6,18,0,0.0,0,7.5,317d3e7b,Rafael Defendi,Famalicão,True
Benfica,Gil Vicente FC,1568484000,gr GRE,25-141,90,1,0,1,100.0,0.1,1,3,33.3,26,3,11.5,24.0,6,0.0,19.8,12,0,0.0,5,20.6,03df04ff,Odisseas Vlachodimos,Benfica,True
