home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,player_id,player,squad,start
Cuiabá,Juventude,1622325600,9,br BRA,FW,35-301,90,8,15,53.3,89,23,6,8,75.0,0,1,0.0,1,1,100.0,0,0.0,0.0,1,1,0,0,1,e59be3c8,Élton Rodrigues Brandão,Cuiabá,True
Cuiabá,Juventude,1622325600,10,br BRA,LW,26-071,79,24,35,68.6,460,109,11,14,78.6,8,8,100.0,4,10,40.0,1,0.4,0.3,3,1,1,1,2,85c1009d,Clayson,Cuiabá,True
Cuiabá,Juventude,1622325600,18,br BRA,LW,22-047,11,1,2,50.0,8,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,31737e86,Rafael Elias,Cuiabá,False
Cuiabá,Juventude,1622325600,7,br BRA,RW,29-323,82,19,25,76.0,310,79,7,10,70.0,11,12,91.7,1,1,100.0,0,0.0,0.1,0,1,2,0,5,8d043f1d,Jonathan Cafu,Cuiabá,True
Cuiabá,Juventude,1622325600,19,br BRA,RW,31-122,8,4,4,100.0,50,23,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,1,0,1,0,2,30139a1c,Felipe Marques,Cuiabá,False
Cuiabá,Juventude,1622325600,8,br BRA,LM,28-009,70,18,20,90.0,314,76,6,6,100.0,9,10,90.0,2,2,100.0,0,0.0,0.0,0,1,0,0,1,713e1a36,Rafael Gava,Cuiabá,True
Cuiabá,Juventude,1622325600,21,br BRA,LM,20-101,20,6,9,66.7,109,33,2,2,100.0,4,4,100.0,0,0,,1,0.4,0.5,1,1,1,1,0,d5fd5774,Guilherme Pato,Cuiabá,False
Cuiabá,Juventude,1622325600,5,br BRA,CM,23-143,90,41,52,78.8,865,157,17,21,81.0,15,15,100.0,9,13,69.2,0,0.1,0.1,1,4,0,0,2,d75471eb,João Pedro Pepê,Cuiabá,True
Cuiabá,Juventude,1622325600,11,br BRA,RM,22-095,90,39,46,84.8,652,152,23,24,95.8,11,13,84.6,5,8,62.5,0,0.0,0.0,1,4,0,0,4,dfb81359,Camilo,Cuiabá,True
Cuiabá,Juventude,1622325600,6,br BRA,LB,32-233,90,63,71,88.7,1170,474,30,31,96.8,24,27,88.9,9,10,90.0,0,0.2,0.2,4,8,2,1,12,0bd9e045,Uendel,Cuiabá,True
Cuiabá,Juventude,1622325600,4,br BRA,CB,31-217,90,67,75,89.3,1626,477,9,12,75.0,43,44,97.7,15,19,78.9,0,0.0,0.0,0,1,0,0,3,d50b1371,Anderson Conceição,Cuiabá,True
Cuiabá,Juventude,1622325600,3,br BRA,CB,29-043,90,74,80,92.5,1446,283,13,13,100.0,54,57,94.7,5,7,71.4,0,0.0,0.0,0,1,0,0,1,d0b29bbd,Marllon Borges,Cuiabá,True
Cuiabá,Juventude,1622325600,2,br BRA,RB,27-083,45,18,35,51.4,334,116,7,10,70.0,10,16,62.5,1,5,20.0,0,0.0,0.0,0,1,1,0,1,58933a04,Lucas Ramon,Cuiabá,True
Cuiabá,Juventude,1622325600,13,br BRA,RB,23-081,45,25,30,83.3,435,135,11,11,100.0,10,11,90.9,4,6,66.7,0,0.2,0.0,1,3,1,0,5,289dc81e,João Lucas,Cuiabá,False
Cuiabá,Juventude,1622325600,1,br BRA,GK,33-192,90,40,45,88.9,957,422,9,9,100.0,21,21,100.0,10,15,66.7,0,0.0,0.0,0,0,0,0,0,8bae322b,Walter,Cuiabá,True
Bahia,Santos,1622329200,9,br BRA,FW,31-358,73,3,3,100.0,27,9,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,1,0,0,0,5da22685,Gilberto,Bahia,True
Bahia,Santos,1622329200,22,br BRA,FW,23-153,17,2,3,66.7,13,0,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,7a7c9837,Thonny Anderson,Bahia,False
