home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,player_id,player,squad,start
Huddersfield Town,Burnley,1659121200,25,eng ENG,FW,30-230,90,2,0,0,1,1,1,1,100.0,0,1,0,1,0,2,4,0,cfb29823,Danny Ward,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,10,eng ENG,LM,23-263,55,1,0,0,0,1,1,3,33.3,2,1,0,1,0,1,0,0,68ea7714,Josh Koroma,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,22,eng ENG,LM,22-064,35,2,1,1,1,0,0,2,0.0,2,0,0,0,0,2,1,0,4d395e2b,Jack Rudoni,Huddersfield Town,False
Huddersfield Town,Burnley,1659121200,19,us USA,CM,27-265,56,2,1,1,1,0,2,4,50.0,2,1,0,1,2,4,0,0,47a050ed,Duane Holmes,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,8,eng ENG,"FW,AM",20-248,34,4,1,1,2,1,2,2,100.0,0,0,0,0,0,4,0,0,b105919e,Faustino Anjorin,Huddersfield Town,False
Huddersfield Town,Burnley,1659121200,5,jm JAM,CM,21-293,71,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,125ddc1e,Jonathan Russell,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,18,eng ENG,CM,22-297,17,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,1,0,9af82a9f,David Kasumu,Huddersfield Town,False
Huddersfield Town,Burnley,1659121200,9,sct SCO,FW,32-174,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,3b8b641c,Jordan Rhodes,Huddersfield Town,False
Huddersfield Town,Burnley,1659121200,7,wls WAL,RM,22-341,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8725a42e,Sorba Thomas,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,6,eng ENG,"DM,CM",33-235,90,2,2,1,1,0,2,4,50.0,2,2,0,2,0,2,3,0,9306d5ea,Jonathan Hogg,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,14,eng ENG,LB,28-279,90,5,4,4,0,1,3,4,75.0,1,1,0,1,1,6,7,0,01086c66,Josh Ruffels,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,32,eng ENG,CB,31-243,90,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,11,0,8c9aab00,Tom Lees,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,23,eng ENG,CB,23-196,88,1,0,1,0,0,1,1,100.0,0,2,2,0,1,2,5,0,dc43f033,Rarmani Edmonds-Green,Huddersfield Town,True
Huddersfield Town,Burnley,1659121200,33,jp JPN,"CB,CM",25-163,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1b9707e4,Yuta Nakayama,Huddersfield Town,False
Huddersfield Town,Burnley,1659121200,2,eng ENG,RB,29-235,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,01753a47,Oliver Turton,Huddersfield Town,True
