home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,player_id,player,squad,start
Los Angeles FC,Colorado Rapids,1645907400,10,mx MEX,FW,32-362,85,0,0,0,1,2,0,3,0,0,0,0,0,2,1,0,100.0,e0cd04e0,Carlos Vela,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,24,us USA,FW,30-316,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,28b58797,Ryan Hollingshead,Los Angeles FC,False
Los Angeles FC,Colorado Rapids,1645907400,17,uy URU,LW,21-282,79,0,0,0,1,2,0,0,0,0,0,0,0,4,0,1,0.0,c86041d7,Brian Rodríguez,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,29,us USA,LW,26-088,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,925a2703,Daniel Musovski,Los Angeles FC,False
Los Angeles FC,Colorado Rapids,1645907400,22,gh GHA,RW,20-228,72,0,0,0,1,1,0,0,1,1,0,0,0,3,0,6,0.0,226a288e,Kwadwo Opoku,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,9,co COL,RW,26-354,18,1,0,0,2,1,0,1,0,0,0,0,0,1,1,1,50.0,fea9401e,Cristian Arango,Los Angeles FC,False
Los Angeles FC,Colorado Rapids,1645907400,11,ec ECU,LM,22-351,90,1,0,0,3,1,0,2,1,1,0,0,0,7,0,1,0.0,8c8c07a7,José Cifuentes,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,6,es ESP,CM,31-097,90,0,0,0,0,0,0,0,2,5,0,0,0,10,3,0,100.0,72979f65,Ilie Sánchez,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,23,us USA,RM,26-217,72,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,,ece10cfe,Kellyn Acosta,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,7,gh GHA,RM,25-058,18,0,0,0,0,2,0,0,1,0,0,0,0,5,0,2,0.0,5153d32e,Latif Blessing,Los Angeles FC,False
Los Angeles FC,Colorado Rapids,1645907400,12,ec ECU,LB,22-229,90,0,0,0,0,2,0,6,1,1,0,0,0,7,0,0,,6ec37f2e,Diego Palacios,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,5,sn SEN,CB,19-097,90,1,0,0,3,0,0,0,2,0,0,0,0,6,3,0,100.0,805a2a11,Mamadou Fall,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,3,co COL,CB,28-008,85,0,0,0,1,1,0,0,2,0,0,0,0,3,2,1,66.7,68d48a71,Jesús David Murillo Largacha,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,44,ca CAN,CB,28-312,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,22636117,Doneil Henry,Los Angeles FC,False
Los Angeles FC,Colorado Rapids,1645907400,2,ar ARG,RB,27-005,90,0,0,0,1,0,0,1,1,1,0,0,0,4,2,0,100.0,54f33d0e,Franco Escobar,Los Angeles FC,True
Los Angeles FC,Colorado Rapids,1645907400,16,ca CAN,GK,27-291,90,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,ea42e480,Maxime Crépeau,Los Angeles FC,True
Philadelphia Union,Minnesota United,1645898400,9,ar ARG,FW,21-280,74,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,100.0,3e9ae1db,Julián Carranza,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,17,br BRA,FW,27-175,16,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,100.0,a930b263,Sergio Santos Gomes,Philadelphia Union,False
Philadelphia Union,Minnesota United,1645898400,19,jm JAM,FW,30-060,90,0,0,0,0,2,0,0,0,0,0,0,0,2,5,4,55.6,39fde61c,Cory Burke,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,6,hu HUN,AM,25-361,74,0,0,0,1,4,2,2,1,3,0,0,0,2,0,1,0.0,527d0e31,Dániel Gazdag,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,30,us USA,AM,18-184,16,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0.0,4cd41883,Paxten Aaronson,Philadelphia Union,False
Philadelphia Union,Minnesota United,1645898400,31,us USA,LM,20-363,67,0,0,0,1,0,0,2,2,1,0,0,0,3,2,0,100.0,39859fa1,Leon Flach,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,16,us USA,LM,18-234,23,0,0,0,0,2,0,0,0,2,0,0,0,3,0,1,0.0,e2b8c25c,Jack McGlynn,Philadelphia Union,False
Philadelphia Union,Minnesota United,1645898400,11,us USA,RM,34-303,90,0,0,0,1,1,1,1,1,1,0,0,0,7,2,2,50.0,9a6f8dfd,Alejandro Bedoya,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,8,ve VEN,DM,27-203,90,1,0,0,1,1,0,2,1,1,0,0,0,11,0,2,0.0,c8364e8e,José Andrés Martínez,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,27,de GER,LB,25-011,90,0,0,0,1,1,0,17,2,0,0,0,0,6,2,1,66.7,fdc715d9,Kai Wagner,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,3,eng ENG,CB,26-185,90,0,0,0,0,0,0,0,4,0,0,0,0,8,3,1,75.0,041deebd,Jack Elliott,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,5,no NOR,CB,27-338,90,1,0,0,3,0,0,1,1,0,0,0,0,7,1,0,100.0,ac65aef3,Jakob Glesnes,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,15,cm CMR,RB,24-195,90,0,0,0,0,0,0,8,0,0,0,0,0,4,1,0,100.0,f6315619,Olivier Mbaizo,Philadelphia Union,True
Philadelphia Union,Minnesota United,1645898400,18,jm JAM,GK,31-097,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,b3b21a11,Andre Blake,Philadelphia Union,True
San Jose Earthquakes,New York Red Bulls,1645916400,35,cv CPV,FW,28-095,90,0,0,0,2,3,0,1,0,0,0,0,0,10,0,1,0.0,d384bddd,Jamiro Monteiro,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,11,us USA,LW,25-012,90,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,100.0,5fa7b2ec,Jeremy Ebobisse,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,10,ar ARG,RW,26-329,85,0,0,0,0,0,0,8,0,0,0,0,0,2,1,0,100.0,9c794a80,Cristian Espinoza,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,19,so SOM,RW,22-087,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,9212f1cb,Siad Haji,San Jose Earthquakes,False
San Jose Earthquakes,New York Red Bulls,1645916400,44,us USA,LM,18-135,64,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,50.0,f8e95f87,Cade Cowell,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,28,us USA,LM,22-051,26,0,0,0,0,2,0,1,0,1,0,0,0,1,1,1,50.0,fe11d61b,Benjamin Kikanovic,San Jose Earthquakes,False
San Jose Earthquakes,New York Red Bulls,1645916400,17,sk SVK,CM,31-028,90,0,0,0,0,1,0,3,1,0,0,0,0,9,2,2,50.0,7d974435,Ján Greguš,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,5,ar ARG,CM,26-267,64,0,0,0,0,6,0,0,1,0,0,0,0,6,1,3,25.0,38e2cbd6,Eric Remedi,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,22,us USA,CM,26-195,26,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,5f6c69d8,Tommy Thompson,San Jose Earthquakes,False
San Jose Earthquakes,New York Red Bulls,1645916400,9,mx MEX,RM,27-162,90,0,0,0,1,1,0,6,0,1,0,0,0,2,0,0,,f851b52f,Javier Eduardo López,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,80,cr CRC,CB,29-233,90,0,0,0,1,2,0,1,4,1,0,0,0,6,4,0,100.0,706bd23f,Francisco Calvo,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,14,us USA,CB,24-344,90,0,0,0,0,1,0,0,3,1,0,0,0,6,0,0,,7dce16bf,Jackson Yueill,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,13,br BRA,CB,26-289,21,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,100.0,d4438745,Nathan Cardoso,San Jose Earthquakes,True
San Jose Earthquakes,New York Red Bulls,1645916400,15,us USA,CB,24-340,69,0,0,0,0,2,0,0,1,0,0,0,0,6,4,3,57.1,3f1b018e,Tanner Beason,San Jose Earthquakes,False
San Jose Earthquakes,New York Red Bulls,1645916400,1,us USA,GK,24-293,90,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,977791f4,J.T. Marcinkowski,San Jose Earthquakes,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,27,es ESP,FW,24-163,72,0,0,0,2,1,1,0,0,0,0,0,0,1,0,6,0.0,a5532e80,Miguel Berry,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,11,us USA,FW,30-177,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,09ae7f92,Gyasi Zardes,Columbus Crew,False
Columbus Crew,Vancouver Whitecaps FC,1645907400,22,ht HAI,LW,25-093,87,1,0,0,2,1,1,0,0,1,0,0,0,4,1,1,50.0,59059f1e,Derrick Etienne,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,20,ro ROU,LW,22-181,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3bd3bcc4,Alexandru Mățan,Columbus Crew,False
Columbus Crew,Vancouver Whitecaps FC,1645907400,14,gh GHA,RW,24-335,68,1,0,0,1,2,0,0,0,0,0,0,0,9,0,0,,36292031,Yaw Yeboah,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,12,cr CRC,RW,23-082,22,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,,1c9838aa,Luis Díaz,Columbus Crew,False
Columbus Crew,Vancouver Whitecaps FC,1645907400,10,am ARM,AM,29-251,90,0,0,0,2,2,1,10,1,0,0,0,0,8,0,2,0.0,3ce30893,Lucas Zelarayán,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,6,us USA,DM,31-222,87,0,0,0,0,2,0,0,2,0,0,0,0,5,0,0,,6219c704,Darlington Nagbe,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,26,ng NGA,DM,26-237,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,c9ce0fc8,James Igbekeme,Columbus Crew,False
Columbus Crew,Vancouver Whitecaps FC,1645907400,8,br BRA,DM,25-352,68,0,0,0,1,1,0,0,1,0,0,0,0,6,1,2,33.3,ea6803c7,Artur,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,21,us USA,DM,20-102,22,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,,3778339c,Aidan Morris,Columbus Crew,False
Columbus Crew,Vancouver Whitecaps FC,1645907400,7,pt POR,LB,33-310,90,0,0,0,4,1,0,5,2,4,0,0,0,11,2,1,66.7,789da0f2,Pedro Santos,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,5,au AUS,CB,27-304,90,0,0,0,1,0,0,0,1,1,0,0,0,4,4,5,44.4,c8e65157,Miloš Degenek,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,4,gh GHA,CB,31-228,90,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,60.0,8087e6cb,Jonathan Mensah,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,31,fr FRA,RB,27-197,90,0,0,0,1,1,0,0,2,0,0,0,0,7,1,0,100.0,f10983ae,Steven Moreira,Columbus Crew,True
Columbus Crew,Vancouver Whitecaps FC,1645907400,1,cw CUW,GK,33-020,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,6b33d86b,Eloy Room,Columbus Crew,True
FC Dallas,Toronto FC,1645914600,10,us USA,FW,21-064,90,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0.0,f61246d8,Jesús Ferreira,FC Dallas,True
FC Dallas,Toronto FC,1645914600,8,co COL,LW,26-284,90,1,0,0,1,0,3,0,1,0,0,0,0,5,0,1,0.0,1471b2a8,Jáder Obrian,FC Dallas,True
FC Dallas,Toronto FC,1645914600,7,us USA,RW,27-021,78,0,0,0,1,2,1,2,0,1,0,0,0,3,0,0,,1bb2acce,Paul Arriola,FC Dallas,True
FC Dallas,Toronto FC,1645914600,31,gw GNB,RW,27-285,12,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,d9b9b71a,Eulânio Ângelo Chipela Gomes,FC Dallas,False
FC Dallas,Toronto FC,1645914600,19,us USA,LM,22-071,90,0,0,0,2,3,0,0,1,4,0,0,0,9,1,0,100.0,c1f0fb45,Paxton Pomykal,FC Dallas,True
FC Dallas,Toronto FC,1645914600,6,us USA,CM,21-146,90,0,0,0,2,0,0,0,0,2,0,0,0,8,0,1,0.0,bd060315,Edwin Cerrillo,FC Dallas,True
FC Dallas,Toronto FC,1645914600,18,us USA,RM,22-351,72,0,0,0,0,0,0,2,0,1,0,0,0,9,0,1,0.0,4d825a2d,Brandon Servania,FC Dallas,True
FC Dallas,Toronto FC,1645914600,16,za RSA,RM,24-017,18,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,,bcbc53d5,Tsiki Ntsabeleng,FC Dallas,False
FC Dallas,Toronto FC,1645914600,4,us USA,LB,23-106,90,0,0,0,2,1,0,0,0,1,0,0,0,10,3,1,75.0,cfc68595,Marco Farfan,FC Dallas,True
FC Dallas,Toronto FC,1645914600,3,es ESP,CB,29-014,90,0,0,0,0,0,0,0,1,0,0,0,0,4,2,3,40.0,8e049cbd,José Martínez,FC Dallas,True
FC Dallas,Toronto FC,1645914600,24,us USA,CB,31-331,90,0,0,0,0,0,0,0,5,2,0,0,0,13,0,1,0.0,5e2a4d0e,Matt Hedges,FC Dallas,True
FC Dallas,Toronto FC,1645914600,22,gh GHA,RB,24-284,87,0,0,0,1,0,0,1,1,3,0,0,0,10,2,1,66.7,9ca4b140,Ema Twumasi,FC Dallas,True
FC Dallas,Toronto FC,1645914600,21,us USA,RB,22-192,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,272c1aaf,Kalil ElMedkhar,FC Dallas,False
FC Dallas,Toronto FC,1645914600,30,nl NED,GK,23-288,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eb343262,Maarten Paes,FC Dallas,True
Austin FC,FC Cincinnati,1645916400,7,ar ARG,FW,26-017,84,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,,60e86875,Sebastián Driussi,Austin FC,True
Austin FC,FC Cincinnati,1645916400,22,br BRA,FW,31-149,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2415bd0a,Felipe,Austin FC,False
Austin FC,FC Cincinnati,1645916400,37,ar ARG,FW,31-004,84,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,,6c8fb474,Maximiliano Urruti,Austin FC,True
Austin FC,FC Cincinnati,1645916400,2,sn SEN,FW,22-145,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,627b570a,Moussa Djitte,Austin FC,False
Austin FC,FC Cincinnati,1645916400,10,py PAR,LM,27-199,64,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,100.0,3162d667,Cecilio Domínguez,Austin FC,True
Austin FC,FC Cincinnati,1645916400,13,us USA,LM,31-204,26,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,,c16a59af,Ethan Finlay,Austin FC,False
Austin FC,FC Cincinnati,1645916400,8,fi FIN,CM,30-323,70,0,0,0,1,0,0,2,0,1,0,0,0,5,0,0,,6c1221d6,Alexander Ring,Austin FC,True
Austin FC,FC Cincinnati,1645916400,5,co COL,CM,25-214,20,1,0,0,5,0,0,0,1,0,0,0,0,4,0,0,,3fbe573e,Jhojan Valencia,Austin FC,False
Austin FC,FC Cincinnati,1645916400,6,ve VEN,CM,21-227,90,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,,b8862e65,Daniel Pereira,Austin FC,True
Austin FC,FC Cincinnati,1645916400,14,uy URU,RM,27-012,90,0,0,0,0,1,0,4,1,0,0,0,0,5,0,0,,fe81682e,Diego Fagúndez,Austin FC,True
Austin FC,FC Cincinnati,1645916400,23,si SVN,LB,21-360,90,0,0,0,2,0,0,4,0,1,0,0,0,6,0,1,0.0,4501fd21,Žan Kolmanič,Austin FC,True
Austin FC,FC Cincinnati,1645916400,15,us USA,CB,21-227,64,1,0,0,4,0,0,0,0,1,0,0,0,6,2,2,50.0,fe5fea9f,Kipp Keller,Austin FC,True
Austin FC,FC Cincinnati,1645916400,4,no NOR,CB,29-353,26,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0,9e64fc85,Ruben Gabrielsen,Austin FC,False
Austin FC,FC Cincinnati,1645916400,18,cr CRC,CB,28-146,90,0,0,0,0,0,0,0,3,1,0,0,0,3,2,1,66.7,cc120b4f,Julio Cascante,Austin FC,True
Austin FC,FC Cincinnati,1645916400,24,us USA,RB,27-101,90,0,0,0,0,0,0,1,0,2,0,0,0,3,2,1,66.7,959686eb,Nick Lima,Austin FC,True
Austin FC,FC Cincinnati,1645916400,1,us USA,GK,30-316,90,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,6a1940d5,Brad Stuver,Austin FC,True
D.C. United,Charlotte FC,1645916400,7,ec ECU,FW,25-325,63,1,0,0,2,2,0,0,0,0,0,0,0,1,0,2,0.0,773f5f12,Michael Estrada,D.C. United,True
D.C. United,Charlotte FC,1645916400,9,no NOR,FW,32-134,27,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,,e134351a,Ola Kamara,D.C. United,False
D.C. United,Charlotte FC,1645916400,10,pe PER,AM,27-288,75,0,0,0,0,1,0,0,2,0,0,0,0,5,1,1,50.0,ef2c82f8,Edison Flores,D.C. United,True
D.C. United,Charlotte FC,1645916400,16,us USA,AM,26-136,15,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,,298a167b,Adrien Perez,D.C. United,False
D.C. United,Charlotte FC,1645916400,22,us USA,AM,19-154,81,0,0,0,2,0,0,1,0,1,0,0,0,3,0,1,0.0,ddd5cf39,Griffin Yow,D.C. United,True
D.C. United,Charlotte FC,1645916400,24,us USA,AM,23-288,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,ba702426,Azaad Liadi,D.C. United,False
D.C. United,Charlotte FC,1645916400,12,us USA,CM,26-162,90,0,0,0,2,0,0,0,2,1,0,0,0,10,1,2,33.3,51f50135,Drew Skundrich,D.C. United,True
D.C. United,Charlotte FC,1645916400,27,us USA,CM,18-113,63,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,,09d33255,Moses Nyeman,D.C. United,True
D.C. United,Charlotte FC,1645916400,13,fr FRA,AM,22-323,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,29d85f83,Sofiane Djeffal,D.C. United,False
D.C. United,Charlotte FC,1645916400,5,au AUS,WB,27-323,90,0,0,0,1,1,0,6,0,1,0,0,0,9,0,1,0.0,c76c717c,Brad Smith,D.C. United,True
D.C. United,Charlotte FC,1645916400,31,us USA,WB,28-072,90,0,0,0,0,1,0,8,0,0,0,0,0,7,2,3,40.0,acd47bc0,Julian Gressel,D.C. United,True
D.C. United,Charlotte FC,1645916400,15,us USA,CB,31-034,90,0,0,0,0,0,0,0,1,1,0,0,0,7,8,0,100.0,26637ac8,Steve Birnbaum,D.C. United,True
D.C. United,Charlotte FC,1645916400,4,us USA,CB,27-088,90,1,0,0,2,3,0,1,0,1,0,0,0,3,2,2,50.0,b807c1dc,Brendan Hines-Ike,D.C. United,True
D.C. United,Charlotte FC,1645916400,14,hn HON,CB,28-347,74,1,0,0,1,3,0,1,1,0,0,0,0,8,2,2,50.0,f8280175,Andy Najar,D.C. United,True
D.C. United,Charlotte FC,1645916400,3,us USA,WB,26-274,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,375ec69e,Chris Odoi-Atsem,D.C. United,False
D.C. United,Charlotte FC,1645916400,28,us USA,GK,31-093,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,012fc030,Bill Hamid,D.C. United,True
Inter Miami,Chicago Fire,1645916400,10,ar ARG,FW,34-078,90,0,0,0,0,1,0,5,0,0,0,0,0,2,2,0,100.0,8a08491a,Gonzalo Higuaín,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,9,ec ECU,FW,21-217,65,0,0,0,1,1,1,1,0,1,0,0,0,1,0,3,0.0,bf9c0749,Leonardo Campana,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,11,cr CRC,FW,27-152,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,bd7b916c,Ariel Lassiter,Inter Miami,False
Inter Miami,Chicago Fire,1645916400,6,eng ENG,CM,25-156,65,0,0,0,1,1,0,0,1,0,0,0,0,6,0,2,0.0,00362ef7,Mo Adams,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,16,fi FIN,CM,27-128,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1fc0973f,Robert Taylor,Inter Miami,False
Inter Miami,Chicago Fire,1645916400,26,br BRA,CM,27-361,90,0,0,0,3,0,0,0,2,2,0,0,0,6,4,3,57.1,49815f34,Gregore,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,7,br BRA,CM,28-134,90,0,0,0,2,1,0,2,0,0,0,0,0,9,0,3,0.0,1ee0513b,Jean Mota,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,32,us USA,WB,17-304,77,0,0,0,0,0,0,3,2,1,0,0,0,4,1,2,33.3,043f389a,Noah Allen,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,20,us USA,WB,31-363,13,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,,adb6ae24,Brek Shea,Inter Miami,False
Inter Miami,Chicago Fire,1645916400,2,us USA,WB,28-232,90,1,0,0,3,3,0,1,1,0,0,0,0,2,2,0,100.0,ae0a7ddf,DeAndre Yedlin,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,4,se SWE,CB,24-320,90,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,,149d8165,Christopher McVey,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,31,jm JAM,CB,28-297,90,1,0,0,3,1,0,1,3,1,0,0,0,7,4,1,80.0,b6e2e54c,Damion Lowe,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,15,bo BOL,CB,21-019,90,1,0,0,1,0,0,0,1,3,0,0,0,1,1,3,25.0,8363a7e8,Jairo Quinteros,Inter Miami,True
Inter Miami,Chicago Fire,1645916400,94,sn SEN,GK,28-137,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0d5c0218,Clément Diop,Inter Miami,True
Orlando City,CF Montréal,1645984800,7,br BRA,FW,32-178,75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,7dd83c7d,Alexandre Pato,Orlando City,True
Orlando City,CF Montréal,1645984800,14,nl NED,FW,25-150,15,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,5d83500d,Silvester van der Water,Orlando City,False
Orlando City,CF Montréal,1645984800,19,us USA,LW,24-127,68,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0.0,151ca25f,Benji Michel,Orlando City,True
Orlando City,CF Montréal,1645984800,9,at AUT,"LW,LM",26-055,22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50.0,540c9a17,Ercan Kara,Orlando City,False
Orlando City,CF Montréal,1645984800,17,uy URU,RW,21-320,82,0,0,0,0,1,1,7,0,0,0,0,0,4,0,0,,4de3b2c0,Facundo Torres,Orlando City,True
Orlando City,CF Montréal,1645984800,15,ar ARG,CB,24-330,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5bb02df4,Rodrigo Schlegel,Orlando City,False
Orlando City,CF Montréal,1645984800,10,uy URU,AM,31-349,75,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,,f45eb18d,Mauricio Pereyra,Orlando City,True
Orlando City,CF Montréal,1645984800,8,ec ECU,"CM,AM",24-307,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,db0c5324,Jhegson Méndez,Orlando City,False
Orlando City,CF Montréal,1645984800,21,us USA,DM,21-105,45,0,0,0,1,1,0,0,0,0,0,0,0,6,2,2,50.0,7e1dbecf,Andrés Perea,Orlando City,True
Orlando City,CF Montréal,1645984800,11,br BRA,"DM,RM",32-354,45,0,0,0,0,2,0,0,2,1,0,0,0,1,1,0,100.0,b40424f1,Júnior Urso,Orlando City,False
Orlando City,CF Montréal,1645984800,5,uy URU,"DM,CM",20-331,90,1,0,0,3,3,0,0,2,0,0,0,0,3,0,1,0.0,3ed214ff,César Araujo,Orlando City,True
Orlando City,CF Montréal,1645984800,4,pt POR,LB,24-046,90,1,0,0,3,1,0,1,0,0,0,0,0,4,0,0,,a0aee24e,João Moutinho,Orlando City,True
Orlando City,CF Montréal,1645984800,6,se SWE,CB,30-104,80,2,1,1,2,2,0,0,0,2,0,0,0,5,0,0,,8ca5c176,Robin Jansson,Orlando City,True
Orlando City,CF Montréal,1645984800,25,br BRA,CB,28-357,90,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,100.0,949fe1e8,Antonio Carlos,Orlando City,True
Orlando City,CF Montréal,1645984800,2,br BRA,RB,26-274,90,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,,f2665f7c,Ruan,Orlando City,True
