home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Heerenveen,Willem II,1599929100,nl NED,31-193,90,4,0,4,100.0,0.5,9,19,47.4,19,4,47.4,36.4,11,90.9,66.1,18,0,0.0,0,3.0,b3576b7c,Erwin Mulder,Heerenveen,True
Zwolle,Feyenoord,1599933600,de GER,25-062,90,6,2,4,83.3,2.2,4,8,50.0,26,4,23.1,27.7,7,28.6,40.4,7,2,28.6,2,15.6,9b688ae1,Michael Zetterer,Zwolle,True
Twente,Fortuna Sittard,1599937200,nl NED,23-301,90,0,0,0,,0.0,9,25,36.0,33,5,66.7,45.1,3,100.0,64.0,11,0,0.0,0,,510c6a3f,Joel Drommel,Twente,True
Emmen,VVV-Venlo,1599992100,nl NED,33-127,90,7,5,3,42.9,4.0,3,12,25.0,28,5,35.7,32.4,4,50.0,37.5,11,0,0.0,1,21.0,2d7ed298,Dennis Telgenkamp,Emmen,True
Heracles Almelo,ADO Den Haag,1600000200,de GER,29-134,90,1,0,1,100.0,0.1,1,7,14.3,25,3,24.0,29.8,6,16.7,31.2,9,1,11.1,2,18.0,663e080e,Janis Blaswich,Heracles Almelo,True
Sparta Rotterdam,Ajax,1600000200,nl NED,28-157,90,4,1,3,75.0,1.2,8,17,47.1,20,2,65.0,48.0,8,50.0,37.0,8,0,0.0,0,6.5,0df43081,Benjamin van Leer,Sparta Rotterdam,True
RKC Waalwijk,Vitesse,1600008300,gr GRE,28-361,90,5,1,4,80.0,0.9,6,22,27.3,41,14,39.0,36.6,12,50.0,43.3,18,2,11.1,1,9.0,f9508440,Kostas Lamprou,RKC Waalwijk,True
Groningen,PSV Eindhoven,1600008300,nl NED,30-099,90,6,3,2,50.0,2.2,14,24,58.3,51,6,41.2,35.9,8,37.5,32.6,6,0,0.0,3,14.7,be855308,Sergio Padt,Groningen,True
VVV-Venlo,Utrecht,1600452000,de GER,33-151,90,7,1,6,85.7,1.9,11,28,39.3,21,2,76.2,52.0,13,92.3,61.8,20,0,0.0,0,11.5,f70e46e6,Thorsten Kirschbaum,VVV-Venlo,True
AZ Alkmaar,Zwolle,1600525800,nl NED,29-193,90,4,1,3,75.0,0.8,9,31,29.0,41,2,61.0,43.2,10,60.0,45.2,9,0,0.0,3,20.5,3d214e5f,Marco Bizot,AZ Alkmaar,True
Vitesse,Sparta Rotterdam,1600533900,nl NED,36-316,90,1,0,1,100.0,0.3,4,8,50.0,32,6,18.8,28.7,5,40.0,34.4,9,1,11.1,3,23.6,3392603d,Remko Pasveer,Vitesse,True
PSV Eindhoven,Emmen,1600538400,ch SUI,26-105,90,2,1,2,50.0,0.5,1,1,100.0,21,3,4.8,21.0,2,0.0,24.0,8,0,0.0,2,17.1,dc29b608,Yvon Mvogo,PSV Eindhoven,True
Fortuna Sittard,Heerenveen,1600542000,md MDA,26-305,90,5,3,2,60.0,2.8,3,7,42.9,17,3,29.4,30.9,4,50.0,45.8,5,0,0.0,2,22.4,5594f2ee,Alexei Koșelev,Fortuna Sittard,True
ADO Den Haag,Groningen,1600596900,nl NED,26-307,90,5,1,5,80.0,0.7,12,30,40.0,31,4,67.7,46.7,10,90.0,62.7,17,1,5.9,1,22.3,71be74bb,Luuk Koopmans,ADO Den Haag,True
Feyenoord,Twente,1600605000,nl NED,22-242,90,3,1,2,66.7,1.2,4,15,26.7,34,10,44.1,35.0,4,0.0,25.0,6,2,33.3,1,16.0,53d93280,Justin Bijlow,Feyenoord,True
Willem II,Heracles Almelo,1600605000,nl NED,33-179,90,2,0,2,100.0,0.0,10,19,52.6,26,3,42.3,37.6,12,66.7,57.4,10,1,10.0,1,12.0,911680d8,Robbin Ruiter,Willem II,True
Ajax,RKC Waalwijk,1600613100,cm CMR,24-171,90,3,0,3,100.0,0.4,7,14,50.0,43,7,30.2,29.7,1,100.0,70.0,11,1,9.1,2,18.0,e9c0c1b2,André Onana,Ajax,True
Twente,Groningen,1601056800,nl NED,23-314,90,5,1,4,80.0,0.9,7,26,26.9,25,2,68.0,49.5,11,81.8,59.5,19,0,0.0,0,8.0,510c6a3f,Joel Drommel,Twente,True
Zwolle,Sparta Rotterdam,1601130600,de GER,25-076,90,2,0,2,100.0,0.4,2,4,50.0,21,6,19.0,27.3,3,0.0,26.0,10,0,0.0,2,24.7,9b688ae1,Michael Zetterer,Zwolle,True
Fortuna Sittard,AZ Alkmaar,1601138700,md MDA,26-312,90,4,3,1,25.0,1.7,5,21,23.8,21,2,52.4,40.6,11,90.9,60.0,15,1,6.7,4,13.1,5594f2ee,Alexei Koșelev,Fortuna Sittard,True
Heerenveen,VVV-Venlo,1601143200,nl NED,31-207,90,2,0,2,100.0,0.4,1,6,16.7,14,4,7.1,25.5,10,50.0,46.6,18,0,0.0,2,21.5,b3576b7c,Erwin Mulder,Heerenveen,True
Ajax,Vitesse,1601146800,cm CMR,24-177,90,5,1,4,80.0,0.8,10,23,43.5,28,3,57.1,41.4,14,50.0,36.6,13,0,0.0,3,21.8,e9c0c1b2,André Onana,Ajax,True
Feyenoord,ADO Den Haag,1601201700,nl NED,22-249,90,5,2,3,80.0,2.3,3,8,37.5,23,7,26.1,31.7,7,28.6,34.1,14,2,14.3,0,13.0,53d93280,Justin Bijlow,Feyenoord,True
Utrecht,RKC Waalwijk,1601209800,nl NED,22-136,90,3,1,2,66.7,0.3,2,4,50.0,12,4,8.3,23.6,6,50.0,46.8,12,0,0.0,0,,eb343262,Maarten Paes,Utrecht,True
Emmen,Willem II,1601217900,nl NED,33-141,90,2,1,1,50.0,0.3,15,31,48.4,31,1,54.8,43.8,14,100.0,62.6,12,0,0.0,1,20.5,2d7ed298,Dennis Telgenkamp,Emmen,True
Heracles Almelo,PSV Eindhoven,1601217900,nl NED,27-250,90,2,1,1,100.0,1.0,6,23,26.1,24,1,66.7,48.0,9,77.8,56.7,8,0,0.0,0,,4f521fcf,Michael Brouwer,Heracles Almelo,True
Utrecht,Heerenveen,1601661600,nl NED,22-141,90,3,1,2,66.7,0.9,2,6,33.3,21,6,14.3,28.3,9,33.3,39.0,5,0,0.0,1,16.7,eb343262,Maarten Paes,Utrecht,True
Vitesse,Heracles Almelo,1601735400,nl NED,36-330,90,0,0,0,,0.0,4,12,33.3,43,4,25.6,29.2,3,33.3,29.3,8,0,0.0,1,29.5,3392603d,Remko Pasveer,Vitesse,True
VVV-Venlo,ADO Den Haag,1601748000,de GER,33-166,45,3,1,2,100.0,1.2,2,5,40.0,5,,40.0,36.8,5,60.0,46.2,3,,,1,17.0,f70e46e6,Thorsten Kirschbaum,VVV-Venlo,True
VVV-Venlo,ADO Den Haag,1601748000,nl NED,29-120,45,2,1,1,50.0,0.5,6,10,60.0,7,0,42.9,42.9,9,77.8,53.9,4,0,0.0,0,,cbd1cdf2,Delano van Crooy,VVV-Venlo,True
Twente,Emmen,1601751600,nl NED,23-322,90,2,1,1,50.0,0.9,4,17,23.5,44,1,31.8,34.3,7,42.9,42.9,9,0,0.0,1,18.7,510c6a3f,Joel Drommel,Twente,True
Groningen,Ajax,1601806500,nl NED,30-120,90,2,0,2,100.0,0.2,12,41,29.3,39,3,79.5,51.7,10,100.0,69.5,27,0,0.0,0,7.7,be855308,Sergio Padt,Groningen,True
Sparta Rotterdam,AZ Alkmaar,1601814600,nl NED,28-178,90,6,4,2,33.3,2.4,7,22,31.8,22,3,63.6,47.6,9,88.9,64.0,11,0,0.0,0,,0df43081,Benjamin van Leer,Sparta Rotterdam,True
Willem II,Feyenoord,1601814600,nl NED,33-193,90,8,4,4,50.0,2.4,2,11,18.2,24,2,29.2,31.4,11,36.4,35.9,8,0,0.0,5,25.3,911680d8,Robbin Ruiter,Willem II,True
PSV Eindhoven,Fortuna Sittard,1601822700,ch SUI,26-120,90,5,0,5,100.0,0.4,3,5,60.0,23,8,17.4,28.9,7,14.3,30.1,11,0,0.0,1,29.0,dc29b608,Yvon Mvogo,PSV Eindhoven,True
Heracles Almelo,RKC Waalwijk,1602953100,nl NED,27-270,90,1,1,0,0.0,0.5,4,4,100.0,18,3,16.7,26.9,5,20.0,30.2,5,0,0.0,0,8.0,4f521fcf,Michael Brouwer,Heracles Almelo,True
AZ Alkmaar,VVV-Venlo,1602957600,nl NED,27-198,90,4,2,2,75.0,2.0,13,21,61.9,19,1,68.4,43.1,8,100.0,64.3,20,0,0.0,1,19.0,9f82f7c2,Hobie Verhulst,AZ Alkmaar,True
Willem II,Twente,1602961200,nl NED,33-206,90,8,3,4,62.5,2.9,9,19,47.4,38,9,39.5,34.2,6,66.7,47.8,8,0,0.0,1,24.0,911680d8,Robbin Ruiter,Willem II,True
Feyenoord,Sparta Rotterdam,1603016100,nl NED,22-270,90,5,1,4,100.0,1.8,5,14,35.7,27,6,33.3,33.0,7,71.4,52.0,10,1,10.0,2,23.3,53d93280,Justin Bijlow,Feyenoord,True
Ajax,Heerenveen,1603024200,cm CMR,24-199,90,5,1,4,80.0,2.2,5,12,41.7,43,6,27.9,30.1,1,0.0,9.0,17,0,0.0,0,8.0,e9c0c1b2,André Onana,Ajax,True
ADO Den Haag,Vitesse,1603024200,nl NED,26-335,90,8,2,6,75.0,1.5,4,10,40.0,15,4,20.0,27.9,11,63.6,47.2,9,0,0.0,1,24.0,71be74bb,Luuk Koopmans,ADO Den Haag,True
Zwolle,PSV Eindhoven,1603032300,de GER,25-098,90,5,3,2,40.0,2.5,6,20,30.0,41,8,41.5,35.8,8,37.5,32.9,6,0,0.0,6,24.1,9b688ae1,Michael Zetterer,Zwolle,True
Groningen,Utrecht,1603032300,nl NED,30-134,90,6,0,6,100.0,1.6,5,14,35.7,50,10,28.0,30.3,4,0.0,21.3,9,0,0.0,3,16.5,be855308,Sergio Padt,Groningen,True
