home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,player_id,player,squad,start
Valencia,Getafe,1628881200,7,pt POR,"RM,FW",24-257,85,0,0,0,0,3,1,3,1,2,0,0,0,7,0,1,0.0,e6bc67d7,Gonçalo Guedes,Valencia,True
Valencia,Getafe,1628881200,23,es ESP,RM,27-038,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,9038c2a1,Jason,Valencia,False
Valencia,Getafe,1628881200,9,uy URU,FW,24-364,90,1,0,0,2,6,0,1,0,0,0,0,0,3,6,2,75.0,4c2e9442,Maxi Gómez,Valencia,True
Valencia,Getafe,1628881200,17,ru RUS,LM,30-230,76,0,0,0,1,1,1,1,4,0,1,0,0,7,0,0,,0ac94a23,Denis Cheryshev,Valencia,True
Valencia,Getafe,1628881200,11,es ESP,LM,29-073,14,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,100.0,19b776e9,Rubén Sobrino,Valencia,False
Valencia,Getafe,1628881200,6,,CM,21-194,2,0,1,0,1,0,0,0,0,0,,,0,,,,,45d96179,Hugo Guillamón,Valencia,True
Valencia,Getafe,1628881200,18,dk DEN,CM,32-074,68,1,0,0,2,0,0,0,0,1,0,0,0,2,2,0,100.0,d83bbc54,Daniel Wass,Valencia,True
Valencia,Getafe,1628881200,8,rs SRB,CM,23-149,22,0,0,0,4,0,0,0,0,0,0,0,0,1,2,1,66.7,faed84db,Uroš Račić,Valencia,False
Valencia,Getafe,1628881200,10,es ESP,"CM,RM",24-223,85,1,0,0,2,0,0,2,1,0,0,0,0,4,3,1,75.0,fed17f5a,Carlos Soler,Valencia,True
Valencia,Getafe,1628881200,12,gn GUI,CM,24-237,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,d2110326,Mouctar Diakhaby,Valencia,False
Valencia,Getafe,1628881200,14,es ESP,LB,26-080,90,1,0,0,4,2,0,0,1,0,0,0,0,1,0,1,0.0,b05e2dbd,José Luis Gayà,Valencia,True
Valencia,Getafe,1628881200,15,py PAR,CB,24-230,90,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,,bb08bce9,Omar Alderete,Valencia,True
Valencia,Getafe,1628881200,5,br BRA,CB,30-260,90,0,0,0,0,1,0,0,2,0,0,0,0,1,3,1,75.0,b7ca5c51,Gabriel Paulista,Valencia,True
Valencia,Getafe,1628881200,2,pt POR,RB,22-157,90,0,0,0,2,2,0,0,1,1,0,0,0,1,1,0,100.0,c78b352d,Thierry Correia,Valencia,True
Valencia,Getafe,1628881200,28,ge GEO,GK,20-318,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,d4b73232,Giorgi Mamardashvili,Valencia,True
Mallorca,Real Betis,1628962200,22,es ESP,FW,34-110,60,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,,8cfc2f69,Ángel Rodríguez,Mallorca,True
Mallorca,Real Betis,1628962200,23,sn SEN,FW,25-029,30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0.0,f3b1d9a2,Amath,Mallorca,False
Mallorca,Real Betis,1628962200,14,es ESP,"LW,RM",33-069,89,0,0,0,3,1,0,3,1,0,0,0,0,3,1,1,50.0,70f8e0bd,Dani Rodríguez,Mallorca,True
Mallorca,Real Betis,1628962200,20,rs SRB,RM,29-244,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,a35134ae,Aleksandar Sedlar,Mallorca,False
Mallorca,Real Betis,1628962200,7,es ESP,RW,22-151,71,0,0,0,1,3,2,2,0,1,0,0,0,2,2,1,66.7,4887118d,Jordi Mboula,Mallorca,True
Mallorca,Real Betis,1628962200,11,ci CIV,RW,30-226,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,360d70f8,Lago Junior,Mallorca,False
Mallorca,Real Betis,1628962200,4,es ESP,LM,28-008,71,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,,91f7631f,Iñigo Ruiz de Galarreta,Mallorca,True
Mallorca,Real Betis,1628962200,6,es ESP,LM,25-193,19,1,0,0,2,1,0,0,0,0,0,0,0,3,1,1,50.0,38126309,Aleix Febas,Mallorca,False
Mallorca,Real Betis,1628962200,12,gh GHA,CM,25-204,90,0,0,0,1,1,0,1,2,4,0,0,0,6,2,0,100.0,bfd381b3,Iddrisu Baba,Mallorca,True
Mallorca,Real Betis,1628962200,8,es ESP,RM,37-149,60,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0.0,75bd85ea,Salva Sevilla,Mallorca,True
Mallorca,Real Betis,1628962200,17,jp JPN,"LW,RM",20-071,30,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,,16aa3654,Takefusa Kubo,Mallorca,False
Mallorca,Real Betis,1628962200,3,es ESP,LB,27-135,90,0,0,0,0,0,0,4,0,2,0,0,0,3,0,1,0.0,a3e4bf46,Brian Oliván,Mallorca,True
Mallorca,Real Betis,1628962200,21,es ESP,CB,29-310,90,0,0,0,1,2,0,0,0,0,0,0,0,3,1,1,50.0,b857bd29,Antonio Raillo,Mallorca,True
