home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,player_id,player,squad,start
Internazionale,Genoa,1629563400,9,ba BIH,FW,35-157,90,1,1,0,0,4,3,0,0,45,1,0,2,0.5,0.5,0.0,3,3,25,32,78.1,4,21,1,3,2,3bb7f478,Edin Džeko,Internazionale,True
Internazionale,Genoa,1629563400,12,it ITA,FW,26-016,68,0,0,0,0,1,0,0,0,42,1,0,1,0.0,0.0,0.0,3,0,28,35,80.0,7,23,2,0,0,b70bde8f,Stefano Sensi,Internazionale,True
Internazionale,Genoa,1629563400,22,cl CHI,DM,34-091,22,1,1,0,0,1,1,0,0,29,0,1,0,0.4,0.4,0.2,3,1,22,25,88.0,3,17,2,2,2,67cdbc0e,Arturo Vidal,Internazionale,False
Internazionale,Genoa,1629563400,20,tr TUR,"DM,FW",27-194,76,1,1,0,0,1,1,0,0,66,1,1,0,0.0,0.0,0.4,8,2,48,60,80.0,5,36,1,2,0,cd0fa27b,Hakan Çalhanoğlu,Internazionale,True
Internazionale,Genoa,1629563400,48,uy URU,FW,20-182,14,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,0,0,86383d0e,Martin Satriano,Internazionale,False
Internazionale,Genoa,1629563400,77,hr CRO,DM,28-278,90,0,0,0,0,3,1,0,0,101,3,0,1,0.1,0.1,0.1,1,0,88,94,93.6,9,65,1,1,1,33b8d077,Marcelo Brozović,Internazionale,True
Internazionale,Genoa,1629563400,23,it ITA,DM,24-195,76,0,1,0,0,1,0,0,0,62,3,1,0,0.0,0.0,0.4,6,2,47,55,85.5,8,40,6,2,1,6928979a,Nicolò Barella,Internazionale,True
Internazionale,Genoa,1629563400,8,uy URU,DM,29-362,14,0,0,0,0,0,0,1,0,20,1,0,0,0.0,0.0,0.0,0,0,17,19,89.5,2,17,1,0,0,44ac04e9,Matías Vecino,Internazionale,False
Internazionale,Genoa,1629563400,14,hr CRO,WB,32-200,68,0,0,0,0,1,0,0,0,40,2,0,0,0.1,0.1,0.0,3,0,25,34,73.5,3,22,5,0,0,6fe90922,Ivan Perišić,Internazionale,True
Internazionale,Genoa,1629563400,32,it ITA,"WB,CB",23-284,22,0,0,0,0,1,1,0,0,21,1,0,2,0.1,0.1,0.2,2,0,13,17,76.5,1,10,1,0,0,970b8574,Federico Dimarco,Internazionale,False
Internazionale,Genoa,1629563400,36,it ITA,WB,31-262,90,0,0,0,0,0,0,0,0,43,1,0,1,0.0,0.0,0.1,2,0,35,38,92.1,1,27,2,1,0,96e0490d,Matteo Darmian,Internazionale,True
Internazionale,Genoa,1629563400,95,it ITA,CB,22-130,83,0,0,0,0,0,0,0,0,68,2,1,0,0.0,0.0,0.1,1,0,54,58,93.1,2,41,1,1,1,75b86fb3,Alessandro Bastoni,Internazionale,True
Internazionale,Genoa,1629563400,2,nl NED,WB,25-125,7,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,5,0,1,1,481c9ece,Denzel Dumfries,Internazionale,False
Internazionale,Genoa,1629563400,6,nl NED,CB,29-197,90,0,0,0,0,1,0,0,0,80,0,1,0,0.1,0.1,0.0,0,0,70,74,94.6,4,43,1,0,0,d0d8dd44,Stefan de Vrij,Internazionale,True
Internazionale,Genoa,1629563400,37,sk SVK,CB,26-191,90,1,0,0,0,2,1,0,0,75,1,0,1,0.2,0.2,0.0,0,0,59,64,92.2,5,42,2,0,0,30f5ffa9,Milan Škriniar,Internazionale,True
Internazionale,Genoa,1629563400,1,si SVN,GK,37-038,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,24,24,100.0,0,19,0,0,0,74419746,Samir Handanović,Internazionale,True
Hellas Verona,Sassuolo,1629563400,9,hr CRO,FW,33-228,45,0,0,0,0,1,0,0,0,8,0,0,0,0.7,0.7,0.0,2,0,4,7,57.1,1,6,0,0,0,d4931a5a,Nikola Kalinić,Hellas Verona,True
Hellas Verona,Sassuolo,1629563400,18,it ITA,"RM,AM",19-190,45,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,6,1,1,1,b6a1cdf9,Matteo Cancellieri,Hellas Verona,False
Hellas Verona,Sassuolo,1629563400,10,it ITA,"AM,LM",26-066,90,2,0,1,1,3,2,0,0,54,2,2,1,1.1,0.3,1.0,10,2,32,39,82.1,5,33,6,5,4,d85c238b,Mattia Zaccagni,Hellas Verona,True
Hellas Verona,Sassuolo,1629563400,7,cz CZE,"AM,CM",26-261,71,0,0,0,0,3,1,0,0,40,0,0,3,0.1,0.1,0.0,2,0,26,31,83.9,8,31,2,0,0,01efac19,Antonín Barák,Hellas Verona,True
Hellas Verona,Sassuolo,1629563400,14,rs SRB,CM,20-157,19,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,0,0,12,16,75.0,1,10,1,0,0,bb376bed,Ivan Ilić,Hellas Verona,False
Hellas Verona,Sassuolo,1629563400,4,pt POR,CM,35-102,44,0,0,0,0,1,0,2,1,29,0,0,0,0.0,0.0,0.1,2,0,19,26,73.1,3,17,0,0,0,ab1ca213,Miguel Veloso,Hellas Verona,True
Hellas Verona,Sassuolo,1629563400,78,cm CMR,CM,23-158,53,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,1,0,16,18,88.9,0,19,0,0,0,b85bf253,Martin Hongla,Hellas Verona,True
Hellas Verona,Sassuolo,1629563400,61,cm CMR,CM,27-198,37,0,0,0,0,0,0,0,0,14,0,0,2,0.0,0.0,0.0,0,0,9,11,81.8,0,8,0,0,0,8da74c05,Adrien Tameze,Hellas Verona,False
Hellas Verona,Sassuolo,1629563400,8,rs SRB,"WB,LB",30-340,90,0,1,0,0,2,0,0,0,50,1,0,1,0.1,0.1,0.1,5,2,33,43,76.7,9,27,3,0,0,5128bde4,Darko Lazović,Hellas Verona,True
Hellas Verona,Sassuolo,1629563400,16,it ITA,"WB,RB",23-188,71,0,0,0,0,0,0,0,0,38,2,0,0,0.0,0.0,0.2,1,0,21,33,63.6,2,19,2,0,0,3f5f38fb,Nicolò Casale,Hellas Verona,True
Hellas Verona,Sassuolo,1629563400,23,it ITA,CB,25-321,19,0,0,0,0,1,0,0,0,12,0,0,0,0.2,0.2,0.0,0,0,5,7,71.4,0,6,0,0,0,cce9f582,Giangiacomo Magnani,Hellas Verona,False
Hellas Verona,Sassuolo,1629563400,17,it ITA,CB,29-102,54,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,15,19,78.9,1,14,0,1,0,d9624b51,Federico Ceccherini,Hellas Verona,True
