url,home_team,away_team,datetime,home_team_manager,away_team_manager,stadium,attendance
https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Schalke 04,1600453800,Hansi Flick,David Wagner,Officials: Felix Zwayer (Referee) · Thorsten Schiffner (AR1) · Marco Achmüller (AR2) · Daniel Schlager (4th) · Tobias Welz (VAR),0
https://fbref.com/en/matches/4504b4a4/Koln-Hoffenheim-September-19-2020-Bundesliga,Köln,Hoffenheim,1600522200,Markus Gisdol,Sebastian Hoeneß,Officials: Daniel Siebert (Referee) · Christian Dietz (AR1) · Marcel Pelgrim (AR2) · Sören Storks (4th) · Frank Willenborg (VAR),0
https://fbref.com/en/matches/74ee6b62/Union-Berlin-Augsburg-September-19-2020-Bundesliga,Union Berlin,Augsburg,1600522200,Urs Fischer,Heiko Herrlich,"Stadion An der Alten Försterei, Berlin",4600
https://fbref.com/en/matches/8dd8f0c2/Stuttgart-Freiburg-September-19-2020-Bundesliga,Stuttgart,Freiburg,1600522200,Pellegrino Matarazzo,Christian Streich,"Mercedes-Benz Arena, Stuttgart",7123
https://fbref.com/en/matches/dd3427f7/Werder-Bremen-Hertha-BSC-September-19-2020-Bundesliga,Werder Bremen,Hertha BSC,1600522200,Florian Kohfeldt,Bruno Labbadia,"Weserstadion, Bremen",8400
https://fbref.com/en/matches/e10b719d/Eintracht-Frankfurt-Arminia-September-19-2020-Bundesliga,Eintracht Frankfurt,Arminia,1600522200,Adi Hütter,Uwe Neuhaus,"Deutsche Bank Park, Frankfurt am Main",6500
https://fbref.com/en/matches/991d308f/Dortmund-Monchengladbach-September-19-2020-Bundesliga,Dortmund,Mönchengladbach,1600533000,Lucien Favre,Marco Rose,"Signal Iduna Park, Dortmund",9300
https://fbref.com/en/matches/101ecf68/RB-Leipzig-Mainz-05-September-20-2020-Bundesliga,RB Leipzig,Mainz 05,1600608600,Julian Nagelsmann,Achim Beierlorzer,"Red Bull Arena, Leipzig",8500
https://fbref.com/en/matches/53a856bf/Wolfsburg-Bayer-Leverkusen-September-20-2020-Bundesliga,Wolfsburg,Bayer Leverkusen,1600617600,Oliver Glasner,Peter Bosz,Officials: Sven Jablonski (Referee) · Norbert Grudzinski (AR1) · Eduard Beitinger (AR2) · Christof Günsch (4th) · Martin Petersen (VAR),0
https://fbref.com/en/matches/8c8f082f/Hertha-BSC-Eintracht-Frankfurt-September-25-2020-Bundesliga,Hertha BSC,Eintracht Frankfurt,1601058600,Bruno Labbadia,Adi Hütter,"Olympiastadion Berlin, Berlin",4000
https://fbref.com/en/matches/88a5c544/Augsburg-Dortmund-September-26-2020-Bundesliga,Augsburg,Dortmund,1601127000,Heiko Herrlich,Lucien Favre,"WWK Arena, Augsburg",6000
https://fbref.com/en/matches/8e94dce6/Bayer-Leverkusen-RB-Leipzig-September-26-2020-Bundesliga,Bayer Leverkusen,RB Leipzig,1601127000,Peter Bosz,Julian Nagelsmann,"BayArena, Leverkusen",6042
https://fbref.com/en/matches/9a25fd98/Monchengladbach-Union-Berlin-September-26-2020-Bundesliga,Mönchengladbach,Union Berlin,1601127000,Marco Rose,Urs Fischer,"Stadion im Borussia-Park, Mönchengladbach",10383
https://fbref.com/en/matches/e2a3b864/Mainz-05-Stuttgart-September-26-2020-Bundesliga,Mainz 05,Stuttgart,1601127000,Achim Beierlorzer,Pellegrino Matarazzo,"Opel Arena, Mainz",3403
