url,home_team,away_team,datetime,home_team_manager,away_team_manager,stadium,attendance
https://fbref.com/en/matches/2e0ed1fb/Pumas-UNAM-Queretaro-August-14-2021-Liga-MX,Pumas UNAM,Querétaro,1628978400,Andrés Lillini,Héctor Altamirano,Officials: Oscar Mejia (Referee) · Karen Díaz (AR1) · Mauricio Nieto Torres (AR2) · Victor Caceres (4th) · Diego Montaño (VAR),0
https://fbref.com/en/matches/8898df77/Puebla-UANL-August-13-2021-Liga-MX,Puebla,UANL,1628899200,Nicolás Larcamón,Miguel Herrera,"Estadio Cuauhtémoc, Puebla",7654
https://fbref.com/en/matches/d28d1d23/FC-Juarez-Tijuana-August-13-2021-Liga-MX,FC Juárez,Tijuana,1628906400,Tuca Ferretti,Robert Siboldi,"Estadio Olímpico Benito Juárez, Ciudad Juárez",7806
https://fbref.com/en/matches/fd42fb64/Atlas-America-August-15-2021-Liga-MX,Atlas,América,1629064800,Diego Cocca,Santiago Solari,"Estadio Jalisco, Guadalajara",13637
https://fbref.com/en/matches/b3f61efa/Leon-Mazatlan-August-14-2021-Liga-MX,León,Mazatlán,1628985600,Ariel Holan,Beñat San José,"Estadio León, León",9663
https://fbref.com/en/matches/82c495ec/Cruz-Azul-Toluca-August-14-2021-Liga-MX,Cruz Azul,Toluca,1628992800,Juan Reynoso,Rolando Cristante,"Estadio Azteca, Coyoacán",8588
https://fbref.com/en/matches/e1c1873e/Monterrey-Pachuca-August-14-2021-Liga-MX,Monterrey,Pachuca,1628993160,Javier Aguirre,Paulo Pezzolano,"Estadio BBVA Bancomer, Guadalupe",15833
https://fbref.com/en/matches/3478ae4a/Santos-Laguna-Guadalajara-August-15-2021-Liga-MX,Santos Laguna,Guadalajara,1629072360,Guillermo Almada,Víctor Vucetich,"Estadio Nuevo Corona, Torreón",13082
https://fbref.com/en/matches/a4182a7b/Toluca-Mazatlan-August-17-2021-Liga-MX,Toluca,Mazatlán,1629237600,Rolando Cristante,Beñat San José,Officials: Saul Silva (Referee) · Andres Hernández (AR1) · Leonardo Castillo (AR2) · Daniel Quintero (4th) · Óscar Macias (VAR),0
https://fbref.com/en/matches/9044ec6d/UANL-Queretaro-August-17-2021-Liga-MX,UANL,Querétaro,1629244800,Miguel Herrera,Héctor Altamirano,"Estadio Universitario de Nuevo León, San Nicolás de los Garza",9264
https://fbref.com/en/matches/ded896c9/Tijuana-Puebla-August-17-2021-Liga-MX,Tijuana,Puebla,1629252360,Robert Siboldi,Nicolás Larcamón,Officials: Fernando Hernández (Referee) · Karen Díaz (AR1) · Enrique Martìnez (AR2) · Guillermo Pacheco Larios (4th),0
https://fbref.com/en/matches/1e481dd0/Necaxa-Pumas-UNAM-August-17-2021-Liga-MX,Necaxa,Pumas UNAM,1629252000,Guillermo Vázquez,Andrés Lillini,"Estadio Victoria de Aguascalientes, Aguascalientes",9242
https://fbref.com/en/matches/4a3547c6/Santos-Laguna-Atlas-August-18-2021-Liga-MX,Santos Laguna,Atlas,1629331200,Guillermo Almada,Diego Cocca,"Estadio Nuevo Corona, Torreón",11998
https://fbref.com/en/matches/ce7c8600/Cruz-Azul-Monterrey-August-18-2021-Liga-MX,Cruz Azul,Monterrey,1629331200,Juan Reynoso,Javier Aguirre,"Estadio Azteca, Coyoacán",7720
https://fbref.com/en/matches/1bc7ef44/FC-Juarez-America-August-18-2021-Liga-MX,FC Juárez,América,1629338400,Tuca Ferretti,Santiago Solari,"Estadio Olímpico Benito Juárez, Ciudad Juárez",13992
https://fbref.com/en/matches/c2e4fd57/Guadalajara-Leon-August-18-2021-Liga-MX,Guadalajara,León,1629338400,Víctor Vucetich,Ariel Holan,"Estadio Akron, Zapopan",10892
https://fbref.com/en/matches/01a4a307/Atlas-Toluca-August-21-2021-Liga-MX,Atlas,Toluca,1629583200,Diego Cocca,Rolando Cristante,"Estadio Jalisco, Guadalajara",7239
https://fbref.com/en/matches/e0879376/Mazatlan-UANL-August-20-2021-Liga-MX,Mazatlán,UANL,1629511200,Beñat San José,Miguel Herrera,"Estadio de Mazatlán, Mazatlán",7733
https://fbref.com/en/matches/237c3dfc/Pumas-UNAM-Puebla-August-22-2021-Liga-MX,Pumas UNAM,Puebla,1629651600,Andrés Lillini,Nicolás Larcamón,Officials: Brian Gonzalez (Referee) · Michel Morales (AR1) · Manuel Martínez (AR2) · Juan Esquivel (4th) · Jorge Pérez (VAR),0
https://fbref.com/en/matches/e7426780/America-Tijuana-August-22-2021-Liga-MX,América,Tijuana,1629669600,Santiago Solari,Robert Siboldi,Officials: Jorge Rojas (Referee) · José Ibrahim Martínez (AR1) · Marco Bisguerra (AR2) · Ismael Lopez  (4th) · Fernando Guerrero (VAR),0
https://fbref.com/en/matches/45006c78/Leon-Santos-Laguna-August-21-2021-Liga-MX,León,Santos Laguna,1629590400,Ariel Holan,Guillermo Almada,"Estadio León, León",9239
https://fbref.com/en/matches/ed15cf7a/Atletico-Cruz-Azul-August-21-2021-Liga-MX,Atlético,Cruz Azul,1629597600,Marcelo Méndez,Juan Reynoso,"Estadio Alfonso Lastras Ramírez, San Luis Potosí",3909
https://fbref.com/en/matches/b09a43c7/Monterrey-Guadalajara-August-21-2021-Liga-MX,Monterrey,Guadalajara,1629599760,Javier Aguirre,Víctor Vucetich,"Estadio BBVA Bancomer, Guadalupe",15467
https://fbref.com/en/matches/1e9a3b4f/Necaxa-FC-Juarez-August-22-2021-Liga-MX,Necaxa,FC Juárez,1629676800,Guillermo Vázquez,Tuca Ferretti,"Estadio Victoria de Aguascalientes, Aguascalientes",8983
https://fbref.com/en/matches/10f766e1/Queretaro-Pachuca-August-22-2021-Liga-MX,Querétaro,Pachuca,1629684000,Héctor Altamirano,Paulo Pezzolano,"Estadio La Corregidora, Santiago de Querétaro",5190
https://fbref.com/en/matches/00f617bf/Guadalajara-Necaxa-August-28-2021-Liga-MX,Guadalajara,Necaxa,1630188000,Víctor Vucetich,Guillermo Vázquez,"Estadio Akron, Zapopan",9603
https://fbref.com/en/matches/d2a5b717/Mazatlan-Atletico-August-27-2021-Liga-MX,Mazatlán,Atlético,1630108800,Beñat San José,Marcelo Méndez,"Estadio de Mazatlán, Mazatlán",5477
https://fbref.com/en/matches/bba581cf/Tijuana-Monterrey-August-27-2021-Liga-MX,Tijuana,Monterrey,1630116360,Robert Siboldi,Javier Aguirre,"Estadio Caliente, Tijuana",3333
https://fbref.com/en/matches/c8ed43cc/Puebla-Queretaro-August-27-2021-Liga-MX,Puebla,Querétaro,1630116000,Nicolás Larcamón,Juan Carlos de la Barrera,"Estadio Cuauhtémoc, Puebla",6086
https://fbref.com/en/matches/f29958e8/Toluca-Pumas-UNAM-August-29-2021-Liga-MX,Toluca,Pumas UNAM,1630256400,Hernán Cristante,Andrés Lillini,"Estadio Nemesio Díez, Toluca",9566
https://fbref.com/en/matches/403cdd2b/Santos-Laguna-FC-Juarez-August-29-2021-Liga-MX,Santos Laguna,FC Juárez,1630278000,Guillermo Almada,Tuca Ferretti,"Estadio Nuevo Corona, Torreón",11691
https://fbref.com/en/matches/5773827a/UANL-Atlas-August-28-2021-Liga-MX,UANL,Atlas,1630195200,Miguel Herrera,Diego Cocca,"Estadio Universitario de Nuevo León, San Nicolás de los Garza",11225
https://fbref.com/en/matches/7a8c7ad4/Leon-America-August-28-2021-Liga-MX,León,América,1630202400,Ariel Holan,Santiago Solari,"Estadio León, León",12719
https://fbref.com/en/matches/5a1e8a8f/Cruz-Azul-Pachuca-August-29-2021-Liga-MX,Cruz Azul,Pachuca,1630285200,Juan Reynoso,Paulo Pezzolano,"Estadio Azteca, Coyoacán",14626
https://fbref.com/en/matches/287c9b88/Atlas-Monterrey-September-11-2021-Liga-MX,Atlas,Monterrey,1631397600,Diego Cocca,Javier Aguirre,"Estadio Jalisco, Guadalajara",5568
https://fbref.com/en/matches/86168859/Puebla-Atletico-September-10-2021-Liga-MX,Puebla,Atlético,1631318400,Nicolás Larcamón,Marcelo Méndez,"Estadio Cuauhtémoc, Puebla",3370
https://fbref.com/en/matches/67a707cf/Tijuana-Santos-Laguna-September-10-2021-Liga-MX,Tijuana,Santos Laguna,1631325960,Robert Siboldi,Guillermo Almada,"Estadio Caliente, Tijuana",6333
https://fbref.com/en/matches/59403e0b/FC-Juarez-Cruz-Azul-September-10-2021-Liga-MX,FC Juárez,Cruz Azul,1631325600,Tuca Ferretti,Juan Reynoso,"Estadio Olímpico Benito Juárez, Ciudad Juárez",11623
https://fbref.com/en/matches/708233da/Pumas-UNAM-Guadalajara-September-12-2021-Liga-MX,Pumas UNAM,Guadalajara,1631484000,Andrés Lillini,Víctor Vucetich,Officials: Fernando Guerrero (Referee) · Miguel Ángel Hernández (AR1) · Jorge Sánchez (AR2) · Adonai Escobedo (4th) · Erick Miranda (VAR),0
https://fbref.com/en/matches/929bd5b7/UANL-Leon-September-11-2021-Liga-MX,UANL,León,1631404800,Miguel Herrera,Ariel Holan,"Estadio Universitario de Nuevo León, San Nicolás de los Garza",12962
https://fbref.com/en/matches/7fb56154/America-Mazatlan-September-11-2021-Liga-MX,América,Mazatlán,1631412000,Santiago Solari,Beñat San José,"Estadio Azteca, Coyoacán",14637
https://fbref.com/en/matches/f2ea33fc/Queretaro-Necaxa-September-12-2021-Liga-MX,Querétaro,Necaxa,1631491200,Leonardo Ramos,Guillermo Vázquez,"Estadio La Corregidora, Santiago de Querétaro",5704
https://fbref.com/en/matches/f1205cdd/Pachuca-Toluca-September-13-2021-Liga-MX,Pachuca,Toluca,1631584800,Paulo Pezzolano,Rolando Cristante,Officials: Oscar Mejia (Referee) · Enrique Bustos (AR1) · José de Jesús Baños (AR2) · Jorge Rojas (4th) · Adonai Escobedo (VAR),0
https://fbref.com/en/matches/7292f9cf/Atletico-Tijuana-September-16-2021-Liga-MX,Atlético,Tijuana,1631836800,Marcelo Méndez,Robert Siboldi,"Estadio Alfonso Lastras Ramírez, San Luis Potosí",3038
https://fbref.com/en/matches/d39acbc8/Leon-FC-Juarez-September-18-2021-Liga-MX,León,FC Juárez,1632002400,Ariel Holan,Tuca Ferretti,"Estadio León, León",10078
https://fbref.com/en/matches/0dfc9e4b/Necaxa-Atlas-September-17-2021-Liga-MX,Necaxa,Atlas,1631930400,Guillermo Vázquez,Diego Cocca,"Estadio Victoria de Aguascalientes, Aguascalientes",11020
https://fbref.com/en/matches/4ad27ce5/Toluca-America-September-18-2021-Liga-MX,Toluca,América,1632009600,Rolando Cristante,Santiago Solari,"Estadio Nemesio Díez, Toluca",10297
https://fbref.com/en/matches/22c836de/Mazatlan-Pumas-UNAM-September-18-2021-Liga-MX,Mazatlán,Pumas UNAM,1632016800,Beñat San José,Andrés Lillini,"Estadio de Mazatlán, Mazatlán",7902
https://fbref.com/en/matches/833d55ca/Guadalajara-Pachuca-September-18-2021-Liga-MX,Guadalajara,Pachuca,1632016800,Víctor Vucetich,Paulo Pezzolano,"Estadio Akron, Zapopan",11135
https://fbref.com/en/matches/f9bb4249/Cruz-Azul-Queretaro-September-19-2021-Liga-MX,Cruz Azul,Querétaro,1632096000,Juan Reynoso,Leonardo Ramos,"Estadio Azteca, Coyoacán",14882
https://fbref.com/en/matches/9f33dfe6/Monterrey-UANL-September-19-2021-Liga-MX,Monterrey,UANL,1632096360,Javier Aguirre,Miguel Herrera,"Estadio BBVA Bancomer, Guadalupe",26755
https://fbref.com/en/matches/518b49bf/Santos-Laguna-Puebla-September-19-2021-Liga-MX,Santos Laguna,Puebla,1632103560,Guillermo Almada,Nicolás Larcamón,"Estadio Nuevo Corona, Torreón",11431
https://fbref.com/en/matches/2ed80683/FC-Juarez-Atletico-September-21-2021-Liga-MX,FC Juárez,Atlético,1632276000,Tuca Ferretti,Marcelo Méndez,"Estadio Olímpico Benito Juárez, Ciudad Juárez",11906
https://fbref.com/en/matches/cf641a7f/Monterrey-Toluca-September-22-2021-Liga-MX,Monterrey,Toluca,1632355560,Javier Aguirre,Rolando Cristante,"Estadio BBVA Bancomer, Guadalupe",19836
https://fbref.com/en/matches/52e2d328/Pachuca-Necaxa-September-23-2021-Liga-MX,Pachuca,Necaxa,1632448800,Paulo Pezzolano,Guillermo Vázquez,"Estadio Hidalgo, Pachuca",4710
https://fbref.com/en/matches/16e3dbbd/Atlas-Leon-September-25-2021-Liga-MX,Atlas,León,1632607200,Diego Cocca,Ariel Holan,"Estadio Jalisco, Guadalajara",8832
https://fbref.com/en/matches/eb75c787/Tijuana-Mazatlan-September-24-2021-Liga-MX,Tijuana,Mazatlán,1632535560,Robert Siboldi,Beñat San José,"Estadio Caliente, Tijuana",7333
https://fbref.com/en/matches/baa45c35/Puebla-Cruz-Azul-September-24-2021-Liga-MX,Puebla,Cruz Azul,1632531600,Nicolás Larcamón,Juan Reynoso,"Estadio Cuauhtémoc, Puebla",14782
https://fbref.com/en/matches/795614b1/Toluca-Atletico-September-26-2021-Liga-MX,Toluca,Atlético,1632675600,Rolando Cristante,Marcelo Méndez,"Estadio Nemesio Díez, Toluca",6833
https://fbref.com/en/matches/2e15342d/UANL-Pumas-UNAM-September-25-2021-Liga-MX,UANL,Pumas UNAM,1632614400,Miguel Herrera,Andrés Lillini,"Estadio Universitario de Nuevo León, San Nicolás de los Garza",15581
https://fbref.com/en/matches/6f5a536d/America-Guadalajara-September-25-2021-Liga-MX,América,Guadalajara,1632621600,Santiago Solari,Marcelo Leaño,"Estadio Azteca, Coyoacán",42862
https://fbref.com/en/matches/ff4f30b8/Santos-Laguna-Monterrey-September-26-2021-Liga-MX,Santos Laguna,Monterrey,1632701160,Guillermo Almada,Javier Aguirre,"Estadio Nuevo Corona, Torreón",14484
https://fbref.com/en/matches/769acca5/Necaxa-Tijuana-September-28-2021-Liga-MX,Necaxa,Tijuana,1632866400,Guillermo Vázquez,Robert Siboldi,"Estadio Victoria de Aguascalientes, Aguascalientes",7251
https://fbref.com/en/matches/00584c59/Atletico-UANL-September-29-2021-Liga-MX,Atlético,UANL,1632952800,Marcelo Méndez,Miguel Herrera,"Estadio Alfonso Lastras Ramírez, San Luis Potosí",9545
https://fbref.com/en/matches/aae6287d/Mazatlan-FC-Juarez-September-28-2021-Liga-MX,Mazatlán,FC Juárez,1632873600,Beñat San José,Tuca Ferretti,"Estadio de Mazatlán, Mazatlán",5880
https://fbref.com/en/matches/59bc80bd/Atlas-Puebla-September-28-2021-Liga-MX,Atlas,Puebla,1632880800,Diego Cocca,Nicolás Larcamón,"Estadio Jalisco, Guadalajara",9902
https://fbref.com/en/matches/949af4be/Pachuca-America-September-28-2021-Liga-MX,Pachuca,América,1632881100,Paulo Pezzolano,Santiago Solari,"Estadio Hidalgo, Pachuca",7454
https://fbref.com/en/matches/dddef9cf/Queretaro-Guadalajara-September-29-2021-Liga-MX,Querétaro,Guadalajara,1632968100,Leonardo Ramos,Marcelo Leaño,"Estadio La Corregidora, Santiago de Querétaro",6812
https://fbref.com/en/matches/c1dac94f/Leon-Atletico-October-2-2021-Liga-MX,León,Atlético,1633212000,Ariel Holan,Marcelo Méndez,"Estadio León, León",9675
https://fbref.com/en/matches/a9f97717/Puebla-Pachuca-October-1-2021-Liga-MX,Puebla,Pachuca,1633132800,Nicolás Larcamón,Paulo Pezzolano,"Estadio Cuauhtémoc, Puebla",5906
https://fbref.com/en/matches/9f23dd45/FC-Juarez-Monterrey-October-1-2021-Liga-MX,FC Juárez,Monterrey,1633140000,Tuca Ferretti,Javier Aguirre,"Estadio Olímpico Benito Juárez, Ciudad Juárez",9608
https://fbref.com/en/matches/eb3cb84f/Toluca-Queretaro-October-3-2021-Liga-MX,Toluca,Querétaro,1633280400,Hernán Cristante,Leonardo Ramos,"Estadio Nemesio Díez, Toluca",6585
https://fbref.com/en/matches/72d3d439/America-Pumas-UNAM-October-3-2021-Liga-MX,América,Pumas UNAM,1633298400,Santiago Solari,Andrés Lillini,"Estadio Azteca, Coyoacán",27571
https://fbref.com/en/matches/466e589c/Santos-Laguna-Mazatlan-October-2-2021-Liga-MX,Santos Laguna,Mazatlán,1633219560,Guillermo Almada,Beñat San José,"Estadio Nuevo Corona, Torreón",11293
https://fbref.com/en/matches/12e2586b/Guadalajara-Atlas-October-2-2021-Liga-MX,Guadalajara,Atlas,1633226400,Marcelo Leaño,Diego Cocca,"Estadio Akron, Zapopan",21709
https://fbref.com/en/matches/43dbc061/UANL-Necaxa-October-3-2021-Liga-MX,UANL,Necaxa,1633305600,Miguel Herrera,Pablo Guede,"Estadio Universitario de Nuevo León, San Nicolás de los Garza",15797
https://fbref.com/en/matches/013bd77d/Tijuana-Cruz-Azul-October-3-2021-Liga-MX,Tijuana,Cruz Azul,1633313160,Robert Siboldi,Juan Reynoso,"Estadio Caliente, Tijuana",10333
https://fbref.com/en/matches/75453686/FC-Juarez-Queretaro-October-8-2021-Liga-MX,FC Juárez,Querétaro,1633737600,Tuca Ferretti,Leonardo Ramos,"Estadio Olímpico Benito Juárez, Ciudad Juárez",10646
https://fbref.com/en/matches/48075351/Queretaro-Tijuana-October-14-2021-Liga-MX,Querétaro,Tijuana,1634259600,Leonardo Ramos,Sebastián Méndez,"Estadio La Corregidora, Santiago de Querétaro",8471
https://fbref.com/en/matches/58bb9b84/Monterrey-Leon-October-16-2021-Liga-MX,Monterrey,León,1634421600,Javier Aguirre,Ariel Holan,"Estadio BBVA Bancomer, Guadalupe",26078
https://fbref.com/en/matches/fe805ab9/Necaxa-Puebla-October-15-2021-Liga-MX,Necaxa,Puebla,1634342400,Pablo Guede,Nicolás Larcamón,"Estadio Victoria de Aguascalientes, Aguascalientes",8723
https://fbref.com/en/matches/54faa4d5/Mazatlan-Atlas-October-15-2021-Liga-MX,Mazatlán,Atlas,1634349600,Beñat San José,Diego Cocca,"Estadio de Mazatlán, Mazatlán",8120
https://fbref.com/en/matches/f5bc7ee6/Pumas-UNAM-FC-Juarez-October-17-2021-Liga-MX,Pumas UNAM,FC Juárez,1634490000,Andrés Lillini,Tuca Ferretti,"Estadio Olímpico de Universitario, Ciudad de México",9000
https://fbref.com/en/matches/b4beab34/Guadalajara-Toluca-October-17-2021-Liga-MX,Guadalajara,Toluca,1634508000,Marcelo Leaño,Rolando Cristante,"Estadio Akron, Zapopan",15019
https://fbref.com/en/matches/0d280d1b/Atletico-America-October-16-2021-Liga-MX,Atlético,América,1634428800,Marcelo Méndez,Santiago Solari,"Estadio Alfonso Lastras Ramírez, San Luis Potosí",16373
https://fbref.com/en/matches/2a144896/Pachuca-Santos-Laguna-October-16-2021-Liga-MX,Pachuca,Santos Laguna,1634429100,Paulo Pezzolano,Guillermo Almada,"Estadio Hidalgo, Pachuca",5503
