home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,player_id,player,squad,start
Zenit,Club Brugge,1603212900,22,ru RUS,FW,32-059,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,448a3608,Artem Dzyuba,Zenit,True
Zenit,Club Brugge,1603212900,7,ir IRN,FW,25-293,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,10549b49,Sardar Azmoun,Zenit,True
Zenit,Club Brugge,1603212900,11,ar ARG,LM,24-254,71,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,1,0,60e86875,Sebastián Driussi,Zenit,True
Zenit,Club Brugge,1603212900,17,ru RUS,LM,22-350,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,dfb50e5c,Andrei Mostovoy,Zenit,False
Zenit,Club Brugge,1603212900,27,ru RUS,CM,27-350,87,4,1,2,2,0,1,3,33.3,2,1,0,1,2,6,0,0,3ef0af0d,Magomed Ozdoyev,Zenit,True
Zenit,Club Brugge,1603212900,21,ru RUS,CM,31-007,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1c78737d,Aleksandr Erokhin,Zenit,False
Zenit,Club Brugge,1603212900,5,co COL,CM,27-004,90,2,2,2,0,0,0,2,0.0,2,0,0,0,2,4,2,0,8e7f49d3,Wílmar Barrios,Zenit,True
Zenit,Club Brugge,1603212900,14,ru RUS,RM,27-279,71,6,2,4,1,1,0,1,0.0,1,2,1,1,1,7,0,0,d4e93bab,Daler Kuzyaev,Zenit,True
Zenit,Club Brugge,1603212900,20,br BRA,RM,23-053,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33b11df6,Wendel,Zenit,False
Zenit,Club Brugge,1603212900,4,ru RUS,LB,22-145,90,0,0,0,0,0,0,3,0.0,3,2,0,2,2,2,2,0,a802405e,Danil Krugovoy,Zenit,True
Zenit,Club Brugge,1603212900,44,ua UKR,CB,31-078,90,1,1,0,1,0,0,0,,0,3,3,0,2,3,0,0,47fd5136,Yaroslav Rakitskiy,Zenit,True
Zenit,Club Brugge,1603212900,6,hr CRO,CB,31-107,90,0,0,0,0,0,0,1,0.0,1,2,0,2,3,3,6,0,1a2935f6,Dejan Lovren,Zenit,True
Zenit,Club Brugge,1603212900,15,ru RUS,RB,25-153,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,b0b902c8,Vyacheslav Karavayev,Zenit,True
Zenit,Club Brugge,1603212900,41,ru RUS,GK,33-266,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2fabebc0,Mikhail Kerzhakov,Zenit,True
